#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,162884540.8312934
2,162873449.8545757
3,162862567.7834684
4,162851890.4522337
5,162841413.7782144
6,162831133.7601767
7,162821046.4766867
8,162811148.0845186
9,162801434.8170951
10,162791902.9829587
11,162782548.9642734
12,162773369.2153566
13,162764360.2612401
14,162755518.6962595
15,162746841.1826722
16,162738324.4493031
17,162729965.2902162
18,162721760.5634145
19,162713707.1895638
20,162705802.1507439
21,162698042.4892229
22,162690425.3062575
23,162682947.7609163
24,162675607.0689267
25,162668400.501545
26,162661325.3844489
27,162654379.0966523
28,162647559.0694415
29,162640862.7853324
30,162634287.7770494
31,162627831.6265233
32,162621491.9639105
33,162615266.466631
34,162609152.858426
35,162603148.9084335
36,162597252.4302837
37,162591461.2812108
38,162585773.3611844
39,162580186.6120563
40,162574699.0167253
41,162569308.5983193
42,162564013.4193922
43,162558811.581138
44,162553701.2226197
45,162548680.520015
46,162543747.685875
47,162538900.9683995
48,162534138.6507257
49,162529459.0502314
50,162524860.5178526
51,162520341.4374136
52,162515900.2249711
53,162511535.3281721
54,162507245.225623
55,162503028.4262726
56,162498883.4688068
57,162494808.9210559
58,162490803.3794128
59,162486865.4682636
60,162482993.8394293
61,162479187.171619
62,162475444.1698928
63,162471763.5651371
64,162468144.1135491
65,162464584.5961321
66,162461083.8182009
67,162457640.6088967
68,162454253.820712
69,162450922.3290249
70,162447645.0316429
71,162444420.848355
72,162441248.7204941
73,162438127.6105064
74,162435056.5015312
75,162432034.3969878
76,162429060.3201708
77,162426133.3138543
78,162423252.4399027
79,162420416.7788908
80,162417625.4297297
81,162414877.509302
82,162412172.1521028
83,162409508.5098885
84,162406885.7513329
85,162404303.0616893
86,162401759.6424604
87,162399254.7110737
88,162396787.5005641
89,162394357.2592629
90,162391963.2504922
91,162389604.7522665
92,162387281.0569991
93,162384991.4712153
94,162382735.3152712
95,162380511.9230771
96,162378320.6418279
97,162376160.8317376
98,162374031.8657804
99,162371933.1294351
100,162369864.020437
101,162367823.9485322
102,162365812.3352392
103,162363828.6136132
104,162361872.2280165
105,162359942.633893
106,162358039.2975471
107,162356161.6959268
108,162354309.3164118
109,162352481.6566057
110,162350678.2241313
111,162348898.5364314
112,162347142.120573
113,162345408.5130548
114,162343697.2596196
115,162342007.9150698
116,162340340.0430867
117,162338693.2160533
118,162337067.014881
119,162335461.0288392
120,162333874.8553891
121,162332308.1000197
122,162330760.3760882
123,162329231.3046629
124,162327720.5143692
125,162326227.6412392
126,162324752.328564
127,162323294.2267487
128,162321852.9931705
129,162320428.2920398
130,162319019.7942642
131,162317627.177314
132,162316250.1250925
133,162314888.3278069
134,162313541.4818428
135,162312209.289641
136,162310891.4595768
137,162309587.7058414
138,162308297.7483263
139,162307021.3125092
140,162305758.129343
141,162304507.935146
142,162303270.4714958
143,162302045.4851234
144,162300832.7278112
145,162299631.9562919
146,162298442.9321499
147,162297265.4217243
148,162296099.1960145
149,162294944.0305866
150,162293799.7054833
151,162292666.0051335
152,162291542.7182658
153,162290429.637822
154,162289326.5608737
155,162288233.2885392
156,162287149.6259037
157,162286075.3819395
158,162285010.3694285
159,162283954.4048866
160,162282907.3084891
161,162281868.9039976
162,162280839.0186884
163,162279817.4832826
164,162278804.1318775
165,162277798.8018788
166,162276801.3339352
167,162275811.5718731
168,162274829.362634
169,162273854.5562115
170,162272887.0055912
171,162271926.5666905
172,162270973.0983003
173,162270026.4620279
174,162269086.5222405
175,162268153.1460103
176,162267226.2030606
177,162266305.5657127
178,162265391.1088347
179,162264482.7097898
180,162263580.2483873
181,162262683.6068334
182,162261792.6696834
183,162260907.3237953
184,162260027.4582833
185,162259152.9644732
186,162258283.735858
187,162257419.6680549
188,162256560.6587628
189,162255706.6077209
190,162254857.4166679
191,162254012.9893023
192,162253173.231243
193,162252338.0499913
194,162251507.3548931
195,162250681.0571025
196,162249859.0695453
197,162249041.306884
198,162248227.6854828
199,162247418.123374
200,162246612.5402248
201,162245810.8573042
202,162245012.9974515
203,162244218.8850449
204,162243428.4459707
205,162242641.6075932
206,162241858.2987254
207,162241078.4496
208,162240301.9918411
209,162239528.8584364
210,162238758.9837099
211,162237992.3032958
212,162237228.7541116
213,162236468.274333
214,162235710.8033686
215,162234956.2818356
216,162234204.6515352
217,162233455.8554296
218,162232709.8376182
219,162231966.5433154
220,162231225.9188282
221,162230487.9115343
222,162229752.469861
223,162229019.5432642
224,162228289.0822074
225,162227561.0381426
226,162226835.3634894
227,162226112.0116166
228,162225390.9368232
229,162224672.0943191
230,162223955.440208
231,162223240.9314685
232,162222528.5259376
233,162221818.1822928
234,162221109.8600361
235,162220403.5194768
236,162219699.121716
237,162218996.6286304
238,162218296.0028569
239,162217597.2077778
240,162216900.2075056
241,162216204.9668682
242,162215511.4513954
243,162214819.6273041
244,162214129.461485
245,162213440.9214891
246,162212753.9755147
247,162212068.592394
248,162211384.7415809
249,162210702.3931386
250,162210021.5177273
251,162209342.0865921
252,162208664.0715518
253,162207987.444987
254,162207312.1798292
255,162206638.2495498
256,162205965.6281492
257,162205294.2901461
258,162204624.2105676
259,162203955.3649388
260,162203287.7292728
261,162202621.280061
262,162201955.9942639
263,162201291.8493012
264,162200628.823043
265,162199966.8938006
266,162199306.040318
267,162198646.2417631
268,162197987.4777191
269,162197329.7281763
270,162196672.9735243
271,162196017.1945436
272,162195362.372398
273,162194708.4886268
274,162194055.5251378
275,162193403.4641993
276,162192752.2884332
277,162192101.9808081
278,162191452.5246322
279,162190803.9035465
280,162190156.1015183
281,162189509.1028345
282,162188862.8920955
283,162188217.4542088
284,162187572.7743827
285,162186928.8381206
286,162186285.6312149
287,162185643.1397415
288,162185001.3500538
289,162184360.2487773
290,162183719.8228044
291,162183080.0592887
292,162182440.9456399
293,162181802.4695192
294,162181164.6188334
295,162180527.3817306
296,162179890.7465953
297,162179254.7020435
298,162178619.2369183
299,162177984.3402853
300,162177350.0014282
301,162176716.2098441
302,162176082.9552397
303,162175450.2275273
304,162174818.0168197
305,162174186.3134274
306,162173555.1078538
307,162172924.3907919
308,162172294.15312
309,162171664.3858986
310,162171035.0803663
311,162170406.2279363
312,162169777.8201932
313,162169149.8488893
314,162168522.3059415
315,162167895.1834276
316,162167268.4735836
317,162166642.1688004
318,162166016.2616202
319,162165390.7447344
320,162164765.6109797
321,162164140.8533361
322,162163516.4649231
323,162162892.4389977
324,162162268.7689512
325,162161645.4483067
326,162161022.4707165
327,162160399.8299594
328,162159777.5199383
329,162159155.5346777
330,162158533.8683211
331,162157912.5151289
332,162157291.4694757
333,162156670.7258487
334,162156050.2788446
335,162155430.123168
336,162154810.2536292
337,162154190.6651417
338,162153571.3527206
339,162152952.3114803
340,162152333.5366328
341,162151715.0234852
342,162151096.7674384
343,162150478.7639851
344,162149861.0087076
345,162149243.4972764
346,162148626.2254483
347,162148009.1890647
348,162147392.38405
349,162146775.8064096
350,162146159.4522288
351,162145543.3176708
352,162144927.3989753
353,162144311.692457
354,162143696.1945042
355,162143080.9015768
356,162142465.8102056
357,162141850.9169906
358,162141236.2185994
359,162140621.711766
360,162140007.3932897
361,162139393.2600334
362,162138779.3089227
363,162138165.5369444
364,162137551.9411453
365,162136938.5186312
366,162136325.2665656
367,162135712.1821683
368,162135099.2627148
369,162134486.5055348
370,162133873.9080112
371,162133261.4675789
372,162132649.1817244
373,162132037.0479839
374,162131425.0639426
375,162130813.2272342
376,162130201.5355395
377,162129589.9865852
378,162128978.5781437
379,162128367.3080315
380,162127756.1741087
381,162127145.1742783
382,162126534.3064846
