#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-98.991007385552,5e-08,860.8709274892669
4e-05,-49.49045272892447,4e-05,861.018836531691
4.2e-05,-32.98802266509885,4.2e-05,861.0262412396972
4.5e-05,-24.73512340576169,4.5e-05,861.0373483017065
6.8e-05,-19.78203608314996,6.8e-05,861.122502443778
7.1e-05,-16.47885431616576,7.1e-05,861.1336095057874
7.3e-05,-14.11847529122614,7.3e-05,861.1410142137936
7.7e-05,-12.34734753245612,7.7e-05,861.155823629806
8.8e-05,-10.96905349173444,8.8e-05,861.1965495238402
0.000461,-9.865742584695909,0.000461,862.5775275669992
0.000462,-8.962418934354009,0.000462,862.5812299210022
0.000466,-8.209085242898299,0.000466,862.5960393370146
0.000472,-7.571127953419066,0.000472,862.6182534610333
0.00048,-7.023823056595053,0.00048,862.6478722930582
0.000482,-6.549039574695097,0.000482,862.6552770010644
0.000485,-6.133179239068623,0.000485,862.6663840630737
0.000487,-5.765843340276542,0.000487,862.6737887710799
0.000494,-5.438943961502385,0.000494,862.6997052491017
0.000523,-5.146095875087711,0.000523,862.8070735151917
0.000962,-4.882190870098178,0.000962,864.4324069225559
0.0009959999999999999,-4.6430937005767,0.0009959999999999999,864.5582869586615
0.00146,-4.425420956992163,0.00146,866.2761792161032
0.001487,-4.226377623389461,0.001487,866.3761427741871
0.001501,-4.043634495244405,0.001501,866.4279757302306
0.001966,-3.875235017026158,0.001966,868.1495703416754
0.001982,-3.719523618776579,0.001982,868.2088080057251
0.002453,-3.575089977887199,0.002453,869.9526167411885
0.002476,-3.315387209442315,0.002476,870.03777088326
0.002476,-3.315387209442315,0.002476,870.03777088326
0.002479,-3.198172714727628,0.002479,870.0488779452694
0.002484,-3.088295047618354,0.002484,870.0673897152849
0.002501,-2.985065832194957,0.002501,870.1303297333377
0.002987,-2.887880112939269,0.002987,871.9296737788478
0.003002,-2.79620408686519,0.003002,871.9852090888944
0.003412,-2.709564938706668,0.003412,873.5031742301684
0.003465,-2.62754237023506,0.003465,873.699398992333
0.003476,-2.549761503194786,0.003476,873.7401248863672
0.003481,-2.475886902822271,0.003481,873.7586366563827
0.003486,-2.405617520817706,0.003486,873.7771484263983
0.003499,-2.338682396865285,0.003499,873.8252790284387
0.003523,-2.274836989193565,0.003523,873.9141355245132
0.003961,-2.213860029335784,0.003961,875.5357665778741
0.003982,-2.155550815755187,0.003982,875.6135160119394
0.003987,-2.099726876515802,0.003987,875.632027781955
0.004455,-2.046221943591479,0.004455,877.3647294554091
0.004462,-1.994884191389884,0.004462,877.3906459334308
0.004474,-1.945574700140176,0.004474,877.4350741814682
0.00448,-1.898166111351595,0.00448,877.4572883054868
0.00449,-1.852541447904186,0.00449,877.4943118455178
0.004953,-1.808593075723015,0.004953,879.2085017489565
0.004975,-1.76622178760274,0.004975,879.2899535370249
0.004976,-1.725335992739099,0.004976,879.2936558910279
0.004978,-1.68585099800588,0.004978,879.3010605990341
0.005479,-1.647688369084348,0.005479,881.1559399545908
0.005493,-1.610775361281933,0.005493,881.2077729106343
0.005959,-1.575044411328901,0.005959,882.9330698760823
0.005969,-1.540432682664355,0.005969,882.9700934161133
0.005982,-1.506881657755812,0.005982,883.0182240181538
0.005984,-1.474336771871976,0.005984,883.02562872616
0.0065,-1.442747083472354,0.0065,884.9360433917633
0.006518,-1.41206497701164,0.006518,885.0026857638192
0.006521,-1.382245894498989,0.006521,885.0137928258284
0.00747,-1.353248092617064,0.00747,888.5273267747772
0.008,-1.325032422605066,0.008,890.489574396424
0.008015,-1.297562130454134,0.008015,890.5451097064706
0.008484999999999999,-1.270802675260586,0.008484999999999999,892.285216087931
0.008501,-1.244721563839763,0.008501,892.3444537519806
