#Exponential - Cost J(iterations) convergence
#iterations, J(iterations)
1,2.72433436611148
2,2.712493750337159
3,2.700888250761675
4,2.689513178330706
5,2.678363937507423
6,2.667436024407404
7,2.656725024970727
8,2.646226613170538
9,2.635936549257333
10,2.625850678038268
11,2.615964927190769
12,2.606275305609795
13,2.596777901788045
14,2.587468882228486
15,2.578344489888521
16,2.56940104265521
17,2.560634931850883
18,2.552042620768565
19,2.5436206432366
20,2.535365602211926
21,2.527274168401373
22,2.519343078910478
23,2.511569135919252
24,2.503949205384336
25,2.496480215767062
26,2.48915915678687
27,2.48198307819959
28,2.474949088600085
29,2.468054354248787
30,2.461296097921617
31,2.454671597782859
32,2.448178186280507
33,2.441813249063634
34,2.43557422392137
35,2.429458599743025
36,2.423463915498968
37,2.417587759241807
38,2.411827767127515
39,2.406181622456062
40,2.400647054731184
41,2.395221838738907
42,2.389903793644449
43,2.384690782107125
44,2.379580709412914
45,2.37457152262432
46,2.369661209747196
47,2.364847798914167
48,2.360129357584362
49,2.355503991759087
50,2.350969845213149
51,2.346525098741516
52,2.342167969420984
53,2.33789670988659
54,2.333709607622438
55,2.329604984266686
56,2.325581194930372
57,2.321636627529851
58,2.317769702132523
59,2.313978870315628
60,2.31026261453781
61,2.306619447523239
62,2.303047911657984
63,2.29954657839846
64,2.296114047691644
65,2.292748947406867
66,2.289449932778941
67,2.286215685862384
68,2.283044914996534
69,2.279936354281331
70,2.276888763063552
71,2.273900925433295
72,2.270971649730502
73,2.268099768061324
74,2.265284135824138
75,2.262523631245008
76,2.259817154922411
77,2.257163629381056
78,2.254561998634583
79,2.252011227756995
80,2.249510302462637
81,2.247058228694549
82,2.244654032221022
83,2.24229675824022
84,2.239985470992665
85,2.237719253381464
86,2.235497206600104
87,2.233318449767678
88,2.231182119571373
89,2.229087369916102
90,2.227033371581113
91,2.225019311883457
92,2.223044394348152
93,2.221107838384943
94,2.219208878971497
95,2.217346766342919
96,2.215520765687466
97,2.213730156848317
98,2.211974234031302
99,2.21025230551846
100,2.208563693387298
101,2.206907733235665
102,2.205283773912099
103,2.203691177251564
104,2.202129317816446
105,2.200597582642724
106,2.199095370991198
107,2.197622094103676
108,2.196177174964036
109,2.194760048064034
110,2.193370159173806
111,2.192006965116919
112,2.190669933549939
113,2.18935854274637
114,2.188072281384913
115,2.186810648341954
116,2.185573152488174
117,2.184359312489232
118,2.183168656610413
119,2.182000722525176
120,2.180855057127518
121,2.179731216348082
122,2.178628764973936
123,2.177547276471935
124,2.176486332815621
125,2.17544552431556
126,2.174424449453077
127,2.173422714717293
128,2.172439934445428
129,2.171475730666274
130,2.170529732946793
131,2.169601578241789
132,2.168690910746551
133,2.167797381752466
134,2.166920649505482
135,2.16606037906742
136,2.165216242180029
137,2.16438791713177
138,2.163575088627248
139,2.162777447659247
140,2.161994691383323
141,2.161226522994895
142,2.160472651608787
143,2.159732792141171
144,2.159006665193868
145,2.158293996940952
146,2.157594519017623
147,2.156907968411285
148,2.15623408735481
149,2.155572623221917
150,2.154923328424649
151,2.154285960312885
152,2.153660281075867
153,2.153046057645678
154,2.152443061602657
155,2.151851069082691
156,2.151269860686366
157,2.150699221389917
158,2.150138940457965
159,2.149588811357992
160,2.149048631676515
161,2.14851820303694
162,2.147997331019053
163,2.147485825080107
164,2.146983498477505
165,2.146490168192992
166,2.146005654858394
167,2.145529782682813
168,2.145062379381283
169,2.144603276104853
170,2.144152307372051
171,2.143709311001737
172,2.143274128047268
173,2.142846602732
174,2.14242658238606
175,2.142013917384389
176,2.141608461086016
177,2.141210069774542
178,2.140818602599815
179,2.140433921520764
180,2.140055891249383
181,2.13968437919581
182,2.139319255414531
183,2.138960392551632
184,2.138607665793112
185,2.13826095281424
186,2.137920133729892
187,2.137585091045909
188,2.137255709611406
189,2.136931876572043
190,2.136613481324215
191,2.136300415470173
192,2.135992572774026
193,2.135689849118624
194,2.135392142463309
195,2.135099352802494
196,2.134811382125079
197,2.134528134374676
198,2.13424951541062
199,2.133975432969767
200,2.133705796629044
201,2.133440517768758
202,2.133179509536621
203,2.132922686812508
204,2.132669966173909
205,2.132421265862071
206,2.132176505748819
207,2.131935607304033
208,2.131698493563777
209,2.131465089099069
210,2.13123531998526
211,2.131009113772038
212,2.130786399454018
213,2.130567107441935
214,2.130351169534388
215,2.130138518890172
216,2.129929090001144
217,2.12972281866564
218,2.129519641962415
219,2.129319498225114
220,2.129122327017234
221,2.128928069107607
222,2.128736666446353
223,2.128548062141325
224,2.128362200435018
225,2.12817902668194
226,2.127998487326434
227,2.127820529880943
228,2.127645102904708
229,2.127472155982892
230,2.127301639706117
231,2.127133505650411
232,2.126967706357559
233,2.126804195315838
234,2.126642926941145
235,2.12648385655849
236,2.12632694038387
237,2.126172135506502
238,2.126019399871398
239,2.125868692262308
240,2.125719972284983
241,2.125573200350788
242,2.125428337660633
243,2.125285346189224
244,2.125144188669636
245,2.12500482857818
246,2.124867230119592
247,2.12473135821249
248,2.124597178475152
249,2.124464657211551
250,2.124333761397684
251,2.124204458668174
252,2.12407671730312
253,2.123950506215241
254,2.123825794937249
255,2.123702553609487
256,2.123580752967808
257,2.123460364331703
258,2.123341359592655
259,2.123223711202738
260,2.123107392163432
261,2.122992376014664
262,2.122878636824077
263,2.1227661491765
264,2.12265488816363
265,2.122544829373931
266,2.122435948882723
267,2.12232822324247
268,2.122221629473266
269,2.122116145053511
270,2.122011747910765
271,2.121908416412797
272,2.121806129358798
273,2.121704865970784
274,2.121604605885158
275,2.121505329144449
276,2.12140701618921
277,2.12130964785008
278,2.121213205340007
279,2.121117670246619
280,2.121023024524756
281,2.120929250489141
282,2.12083633080721
283,2.12074424849207
284,2.120652986895609
285,2.120562529701739
286,2.120472860919775
287,2.120383964877941
288,2.120295826217016
289,2.120208429884096
290,2.120121761126487
291,2.120035805485714
292,2.119950548791663
293,2.119865977156814
294,2.119782076970619
295,2.119698834893975
296,2.119616237853805
297,2.119534273037757
298,2.119452927889003
299,2.119372190101143
300,2.119292047613213
301,2.119212488604785
302,2.119133501491171
303,2.119055074918725
304,2.118977197760235
305,2.1188998591104
306,2.118823048281414
307,2.118746754798623
308,2.118670968396271
309,2.11859567901334
310,2.118520876789465
311,2.11844655206093
312,2.118372695356748
313,2.118299297394814
314,2.118226349078146
315,2.118153841491183
316,2.118081765896172
317,2.118010113729625
318,2.117938876598834
319,2.117868046278474
320,2.117797614707263
321,2.117727573984685
322,2.11765791636779
323,2.117588634268047
324,2.11751972024827
325,2.117451167019591
326,2.117382967438514
327,2.117315114504
328,2.11724760135464
329,2.117180421265866
330,2.117113567647215
331,2.117047034039666
332,2.116980814113009
333,2.116914901663281
334,2.116849290610248
335,2.116783974994933
336,2.116718948977205
337,2.1166542068334
338,2.116589742954007
339,2.116525551841385
340,2.116461628107535
341,2.116397966471911
342,2.116334561759282
343,2.116271408897624
344,2.116208502916066
345,2.116145838942875
346,2.116083412203475
347,2.116021218018508
348,2.115959251801942
349,2.115897509059202
350,2.11583598538535
351,2.115774676463297
352,2.115713578062048
353,2.11565268603499
354,2.115591996318206
355,2.115531504928826
356,2.115471207963411
357,2.115411101596368
358,2.115351182078399
359,2.115291445734978
360,2.115231888964861
361,2.115172508238622
362,2.115113300097225
363,2.115054261150615
364,2.114995388076347
365,2.114936677618234
366,2.114878126585029
367,2.114819731849125
368,2.114761490345289
369,2.114703399069422
370,2.114645455077332
371,2.114587655483541
372,2.114529997460118
373,2.11447247823553
374,2.114415095093513
375,2.114357845371977
376,2.114300726461917
377,2.114243735806362
378,2.114186870899335
379,2.11413012928483
380,2.114073508555825
381,2.114017006353298
382,2.113960620365274
383,2.113904348325883
384,2.113848188014446
385,2.113792137254564
386,2.113736193913245
387,2.113680355900037
388,2.113624621166169
389,2.113568987703734
390,2.113513453544867
391,2.113458016760944
392,2.113402675461804
393,2.113347427794982
394,2.113292271944952
395,2.113237206132399
396,2.113182228613484
397,2.113127337679152
398,2.113072531654423
399,2.113017808897728
400,2.112963167800228
401,2.112908606785169
402,2.112854124307242
403,2.112799718851955
404,2.112745388935017
405,2.112691133101736
406,2.11263694992643
407,2.11258283801185
408,2.112528795988608
409,2.112474822514624
410,2.112420916274584
411,2.112367075979401
412,2.112313300365697
413,2.112259588195286
414,2.112205938254675
415,2.112152349354568
416,2.112098820329388
417,2.112045350036798
418,2.111991937357245
419,2.111938581193498
420,2.111885280470207
421,2.111832034133467
422,2.111778841150389
423,2.111725700508681
424,2.111672611216236
425,2.111619572300731
426,2.111566582809235
427,2.111513641807816
428,2.111460748381167
429,2.111407901632233
430,2.111355100681845
431,2.111302344668369
432,2.11124963274735
433,2.111196964091173
434,2.111144337888724
435,2.111091753345067
436,2.111039209681115
437,2.110986706133315
438,2.11093424195334
439,2.110881816407789
440,2.11082942877788
441,2.110777078359165
442,2.110724764461243
443,2.110672486407482
444,2.110620243534736
445,2.110568035193089
446,2.110515860745579
447,2.110463719567946
448,2.110411611048379
449,2.110359534587266
450,2.110307489596949
451,2.110255475501488
452,2.110203491736428
453,2.110151537748567
454,2.110099612995737
455,2.110047716946574
456,2.109995849080315
457,2.109944008886575
458,2.10989219586515
459,2.109840409525807
460,2.109788649388087
461,2.109736914981112
462,2.109685205843391
463,2.109633521522635
464,2.109581861575574
465,2.109530225567771
466,2.109478613073458
467,2.10942702367535
468,2.109375456964483
469,2.109323912540048
470,2.109272390009225
471,2.109220888987028
472,2.109169409096145
473,2.109117949966786
474,2.109066511236534
475,2.109015092550197
476,2.108963693559666
477,2.108912313923768
478,2.108860953308135
479,2.108809611385065
480,2.108758287833386
481,2.108706982338334
482,2.108655694591413
483,2.108604424290282
484,2.108553171138625
485,2.108501934846036
486,2.108450715127892
487,2.108399511705251
488,2.108348324304728
489,2.108297152658386
490,2.108245996503631
491,2.108194855583105
492,2.108143729644578
493,2.108092618440846
494,2.108041521729637
495,2.107990439273506
496,2.10793937083974
497,2.107888316200265
498,2.107837275131553
499,2.107786247414534
500,2.107735232834499
501,2.107684231181024
502,2.107633242247874
503,2.10758226583293
504,2.107531301738096
505,2.107480349769229
506,2.107429409736051
507,2.107378481452077
508,2.107327564734542
509,2.10727665940432
510,2.107225765285856
511,2.107174882207093
512,2.107124009999404
513,2.10707314849752
514,2.107022297539469
515,2.106971456966504
516,2.106920626623042
517,2.1068698063566
518,2.106818996017735
519,2.10676819545998
520,2.106717404539785
521,2.106666623116466
522,2.106615851052138
523,2.106565088211661
524,2.106514334462593
525,2.106463589675127
526,2.106412853722044
527,2.106362126478659
528,2.106311407822769
529,2.10626069763461
530,2.1062099957968
531,2.106159302194299
532,2.106108616714353
533,2.10605793924646
534,2.106007269682315
535,2.105956607915775
536,2.105905953842806
537,2.10585530736145
538,2.105804668371777
539,2.10575403677585
540,2.10570341247768
541,2.105652795383192
542,2.105602185400183
543,2.105551582438288
544,2.10550098640894
545,2.105450397225335
546,2.1053998148024
547,2.105349239056754
548,2.105298669906678
549,2.105248107272077
550,2.105197551074456
551,2.105147001236878
552,2.105096457683939
553,2.105045920341738
554,2.104995389137844
555,2.104944864001267
556,2.104894344862432
557,2.104843831653147
558,2.104793324306579
559,2.104742822757224
560,2.104692326940884
561,2.104641836794636
562,2.10459135225681
563,2.104540873266964
564,2.104490399765858
565,2.104439931695433
566,2.104389468998783
567,2.104339011620133
568,2.104288559504822
569,2.104238112599272
570,2.104187670850975
571,2.104137234208464
572,2.104086802621299
573,2.104036376040041
574,2.103985954416234
575,2.103935537702388
576,2.103885125851956
577,2.103834718819318
578,2.103784316559759
579,2.103733919029454
580,2.103683526185452
581,2.10363313798565
582,2.103582754388789
583,2.103532375354427
584,2.103482000842924
585,2.103431630815432
586,2.103381265233872
587,2.103330904060921
588,2.103280547260002
589,2.103230194795263
590,2.10317984663156
591,2.103129502734455
592,2.103079163070189
593,2.103028827605674
594,2.102978496308482
595,2.102928169146825
596,2.10287784608955
597,2.102827527106121
598,2.102777212166608
599,2.102726901241678
600,2.102676594302576
601,2.10262629132112
602,2.10257599226969
603,2.102525697121209
604,2.102475405849142
605,2.10242511842748
606,2.102374834830725
607,2.102324555033891
608,2.102274279012486
609,2.102224006742501
610,2.102173738200407
611,2.10212347336314
612,2.102073212208095
613,2.102022954713111
614,2.101972700856468
615,2.101922450616881
616,2.101872203973481
617,2.101821960905816
618,2.101771721393838
619,2.101721485417896
620,2.101671252958728
621,2.101621023997456
622,2.101570798515572
623,2.101520576494939
624,2.101470357917774
625,2.101420142766651
626,2.101369931024485
627,2.101319722674532
628,2.101269517700376
629,2.10121931608593
630,2.101169117815421
631,2.101118922873392
632,2.101068731244688
633,2.101018542914455
634,2.100968357868134
635,2.100918176091451
636,2.100867997570418
637,2.100817822291317
638,2.10076765024071
639,2.100717481405415
640,2.100667315772517
641,2.100617153329351
642,2.100566994063507
643,2.100516837962816
644,2.100466685015349
645,2.100416535209418
646,2.100366388533556
647,2.10031624497653
648,2.100266104527326
649,2.100215967175144
650,2.100165832909402
651,2.100115701719723
652,2.100065573595935
653,2.100015448528066
654,2.099965326506341
655,2.099915207521177
656,2.099865091563179
657,2.099814978623138
658,2.099764868692024
659,2.099714761760988
660,2.09966465782135
661,2.099614556864603
662,2.09956445888241
663,2.099514363866591
664,2.099464271809132
665,2.099414182702175
666,2.099364096538015
667,2.099314013309098
668,2.09926393300802
669,2.099213855627519
670,2.099163781160477
671,2.099113709599916
672,2.099063640938994
673,2.099013575171001
674,2.098963512289362
675,2.098913452287626
676,2.098863395159472
677,2.098813340898699
678,2.098763289499229
679,2.098713240955104
680,2.098663195260479
681,2.098613152409626
682,2.098563112396926
683,2.09851307521687
684,2.098463040864059
685,2.098413009333194
686,2.098362980619084
687,2.098312954716635
688,2.098262931620857
689,2.098212911326851
690,2.098162893829816
691,2.098112879125045
692,2.09806286720792
693,2.098012858073915
694,2.097962851718588
695,2.097912848137587
696,2.097862847326643
697,2.097812849281568
698,2.097762853998256
699,2.09771286147268
700,2.097662871700891
701,2.097612884679015
702,2.097562900403255
703,2.097512918869885
704,2.097462940075251
705,2.097412964015771
706,2.097362990687928
707,2.097313020088277
708,2.097263052213438
709,2.097213087060092
710,2.097163124624988
711,2.097113164904936
712,2.097063207896805
713,2.097013253597528
714,2.096963302004093
715,2.096913353113544
716,2.096863406922988
717,2.09681346342958
718,2.096763522630532
719,2.09671358452311
720,2.096663649104631
721,2.096613716372461
722,2.096563786324022
723,2.096513858956776
724,2.096463934268239
725,2.096414012255972
726,2.096364092917585
727,2.096314176250727
728,2.096264262253096
729,2.096214350922433
730,2.09616444225652
731,2.09611453625318
732,2.09606463291028
733,2.096014732225722
734,2.095964834197453
735,2.095914938823454
736,2.095865046101745
737,2.095815156030383
738,2.09576526860746
739,2.095715383831107
740,2.095665501699485
741,2.095615622210792
742,2.09556574536326
743,2.095515871155149
744,2.095465999584756
745,2.095416130650408
746,2.095366264350461
747,2.095316400683304
748,2.095266539647353
749,2.095216681241055
750,2.095166825462883
751,2.095116972311341
752,2.095067121784957
753,2.095017273882288
754,2.094967428601915
755,2.094917585942448
756,2.094867745902519
757,2.094817908480786
758,2.094768073675931
759,2.09471824148666
760,2.0946684119117
761,2.094618584949806
762,2.094568760599749
763,2.094518938860325
764,2.094469119730352
765,2.094419303208669
766,2.094369489294133
767,2.094319677985622
768,2.094269869282037
769,2.094220063182294
770,2.094170259685332
771,2.094120458790104
772,2.094070660495584
773,2.094020864800765
774,2.093971071704656
775,2.093921281206283
776,2.093871493304687
777,2.09382170799893
778,2.093771925288086
779,2.093722145171248
780,2.093672367647521
781,2.093622592716029
782,2.093572820375908
783,2.09352305062631
784,2.0934732834664
785,2.093423518895361
786,2.093373756912383
787,2.093323997516675
788,2.093274240707458
789,2.093224486483965
790,2.093174734845441
791,2.093124985791145
