#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-0.003220614700042172,5e-08,-1.046055806545248
4e-05,-0.006451635281488719,4e-05,-1.046100134303459
4.2e-05,-0.00969312920565968,4.2e-05,-1.046102353465322
4.5e-05,-0.01294516459203696,4.5e-05,-1.046105682208116
6.8e-05,-0.01620781022685331,6.8e-05,-1.046131202569539
7.1e-05,-0.01948113557182254,7.1e-05,-1.046134531312334
7.3e-05,-0.02276521077301243,7.3e-05,-1.046136750474197
7.7e-05,-0.02606010666986495,7.7e-05,-1.046141188797922
8.8e-05,-0.02936589480436454,8.8e-05,-1.046153394188168
0.000461,-0.03268264743035842,0.000461,-1.046567267875597
0.000462,-0.03601043752303305,0.000462,-1.046568377456528
0.000466,-0.03934933878854777,0.000466,-1.046572815780254
0.000472,-0.04269942567382971,0.000472,-1.046579473265843
0.00048,-0.04606077337653451,0.00048,-1.046588349913294
0.000482,-0.04943345785517372,0.000482,-1.046590569075157
0.000485,-0.05281755583941435,0.000485,-1.046593897817951
0.000487,-0.05621314484055253,0.000487,-1.046596116979814
0.000494,-0.0596203031621668,0.000494,-1.046603884046335
0.000523,-0.06303910991095245,0.000523,-1.046636061893346
0.000962,-0.06646964500774165,0.000962,-1.04712316792225
0.0009959999999999999,-0.06991198919871441,0.0009959999999999999,-1.047160893673919
0.00146,-0.07336622406680193,0.00146,-1.047675739226109
0.001487,-0.07683243204328824,0.001487,-1.047705697911258
0.001501,-0.08031069641961303,0.001501,-1.047721232044298
0.001966,-0.08380110135938151,0.001966,-1.04823718717742
0.001982,-0.08730373191058366,0.001982,-1.048254940472323
0.002453,-0.09081867401802812,0.002453,-1.048777553091033
0.002476,-0.0978858412411205,0.002476,-1.048803073452456
0.002476,-0.0978858412411205,0.002476,-1.048803073452456
0.002479,-0.1014382428454883,0.002479,-1.048806402195251
0.002484,-0.1050033090099845,0.002484,-1.048811950099908
0.002501,-0.1085811303578685,0.002501,-1.048830812975742
