#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,1.109580927138865e-08
1.020960662306048e-08,1.132838478579146e-08
1.042360673976401e-08,1.156583517847309e-08
1.064209244064725e-08,1.180826281199643e-08
1.086515774652537e-08,1.205577182528117e-08
1.109289864895223e-08,1.230846868871538e-08
1.132541315152813e-08,1.256646242620008e-08
1.156280131207375e-08,1.282986372697081e-08
1.180516528568806e-08,1.309878616684301e-08
1.205260936870841e-08,1.337334543105584e-08
1.230524004359262e-08,1.365365964733911e-08
1.256316602474122e-08,1.393984938591331e-08
1.28264983052806e-08,1.423203788153415e-08
1.309535020482668e-08,1.453035081144805e-08
1.336983741824945e-08,1.483491651743662e-08
1.365007806546014e-08,1.51458662278614e-08
1.393619274224144e-08,1.546333361357455e-08
1.422830457214352e-08,1.578745534303039e-08
1.452653925946781e-08,1.611837086024082e-08
1.483102514336103e-08,1.645622260681989e-08
1.514189325304352e-08,1.680115591096154e-08
1.545927736419478e-08,1.715331920948415e-08
1.578331405652117e-08,1.751286415885289e-08
1.61141427725302e-08,1.787994541313509e-08
1.645190587753661e-08,1.825472084604485e-08
1.679674872092653e-08,1.863735188400995e-08
1.714881969870541e-08,1.902800317310493e-08
1.750827031735723e-08,1.942684269007344e-08
1.787525525904235e-08,1.983404218641738e-08
1.824993244816151e-08,2.024977685533003e-08
1.86324631193156e-08,2.067422555374065e-08
1.902301188668946e-08,2.110757102435912e-08
1.942174681489025e-08,2.154999967363125e-08
1.982883949127072e-08,2.200170190480577e-08
2.024446509976802e-08,2.24628722289566e-08
2.066880249629082e-08,2.293370882089363e-08
2.110203428568597e-08,2.341441462938576e-08
2.154434690031882e-08,2.390519626693788e-08
2.199593068030075e-08,2.440626500899157e-08
2.245697995539776e-08,2.491783646085821e-08
2.292769312865649e-08,2.544013077976359e-08
2.340827276178294e-08,2.59733727858702e-08
2.389892566231048e-08,2.651779185125491e-08
2.43998629725955e-08,2.707362234399824e-08
2.491130026067791e-08,2.764110340613968e-08
2.543345761304648e-08,2.822047917572235e-08
2.596655972934873e-08,2.881199911985988e-08
2.651083601908536e-08,2.941591770166951e-08
2.706652070033241e-08,3.003249482436132e-08
2.763385290053173e-08,3.066199572021588e-08
2.821307675939471e-08,3.130469150569581e-08
2.880444153396298e-08,3.196085851531194e-08
2.940820170587061e-08,3.263077930082403e-08
3.002461709085549e-08,3.331474207612928e-08
3.06539529505653e-08,3.401304105032921e-08
3.12964801067075e-08,3.472597698284119e-08
3.195247505759214e-08,3.545385640624232e-08
3.262222009711667e-08,3.619699273649246e-08
3.330600343624589e-08,3.695570560680039e-08
3.40041193270371e-08,3.773032164477996e-08
3.471686818926559e-08,3.852117425040547e-08
3.544455673970436e-08,3.932860348498934e-08
3.618749812411276e-08,4.015295707038291e-08
3.694601205199302e-08,4.099458961182023e-08
3.772042493417001e-08,4.185386337507424e-08
3.851107002325569e-08,4.273114806441214e-08
3.93182875570577e-08,4.36268211556623e-08
4.014242490499318e-08,4.454126822928117e-08
4.098383671757262e-08,4.547488263728638e-08
4.184288507901584e-08,4.642806628041285e-08
4.271993966306777e-08,4.740122927504586e-08
4.361537789208006e-08,4.839479050833262e-08
4.45295850994266e-08,4.940917730511529e-08
4.546295469532399e-08,5.044482631610947e-08
4.641588833612782e-08,5.150218329585954e-08
4.738879609717651e-08,5.258170310273869e-08
4.838209664925958e-08,5.368385047610502e-08
4.939621743878326e-08,5.480909948119006e-08
5.043159487171359e-08,5.595793439727714e-08
5.148867450137498e-08,5.713084982872374e-08
5.256791122018419e-08,5.832835014984994e-08
5.366976945540476e-08,5.955095105925068e-08
5.479472336900293e-08,6.079917835855042e-08
5.594325706169378e-08,6.207356939569308e-08
5.711586478126435e-08,6.337467239880823e-08
5.831305113526219e-08,6.470304747541178e-08
5.95353313081437e-08,6.605926616831681e-08
6.078323128297236e-08,6.744391212176737e-08
6.2057288067765e-08,6.885758108143847e-08
6.335804992658255e-08,7.030088156056991e-08
6.46860766154632e-08,7.177443461792166e-08
6.604193962330306e-08,7.327887419084078e-08
6.742622241778349e-08,7.481484787241754e-08
6.883952069645497e-08,7.638301657841851e-08
7.028244264308353e-08,7.798405510239803e-08
7.175560918936921e-08,7.961865255978751e-08
7.32596542821523e-08,8.128751216585073e-08
7.479522515621828e-08,8.299135212386233e-08
7.636298261282242e-08,8.473090573613007e-08
7.796360130405237e-08,8.650692162603946e-08
7.959777002314978e-08,8.832016384907604e-08
8.126619200091946e-08,9.017141300304843e-08
8.296958520834915e-08,9.206146545093219e-08
8.470868266557402e-08,9.399113454211516e-08
8.648423275731727e-08,9.596125094546437e-08
8.829699955494083e-08,9.797266220523682e-08
9.014776314524918e-08,1.000262339623248e-07
9.20373199661823e-08,1.021228499542559e-07
9.396648314954691e-08,1.042634124592823e-07
9.593608287093146e-08,1.064488425184251e-07
9.794696670695386e-08,1.086800806016086e-07
1e-07,1.109580869407267e-07
1.020960662306048e-07,1.132838418627102e-07
1.042360673976401e-07,1.156583460115712e-07
1.064209244064725e-07,1.180826214586261e-07
1.086515774652537e-07,1.205577112584066e-07
1.109289864895223e-07,1.230846805588826e-07
1.132541315152813e-07,1.256646168235065e-07
1.156280131207375e-07,1.282986302753031e-07
1.180516528568806e-07,1.309878543409582e-07
1.205260936870841e-07,1.337334463169526e-07
1.230524004359261e-07,1.365365878136515e-07
1.256316602474121e-07,1.393984848663266e-07
1.28264983052806e-07,1.423203692674235e-07
1.309535020482668e-07,1.453034982334955e-07
1.336983741824945e-07,1.483491555154259e-07
1.365007806546014e-07,1.514586518425176e-07
1.393619274224144e-07,1.546333252555598e-07
1.422830457214352e-07,1.578745418839844e-07
1.452653925946781e-07,1.611836966119995e-07
1.483102514336103e-07,1.645622134116564e-07
1.514189325304352e-07,1.68011546120006e-07
1.545927736419479e-07,1.715331791052321e-07
1.578331405652117e-07,1.751286278217634e-07
1.61141427725302e-07,1.78799439476407e-07
1.645190587753661e-07,1.825471938055045e-07
1.679674872092653e-07,1.863735035190217e-07
1.714881969870541e-07,1.902800151887263e-07
1.750827031735723e-07,1.942684100253445e-07
1.787525525904236e-07,1.983404041006054e-07
1.824993244816151e-07,2.024977499015534e-07
1.86324631193156e-07,2.067422364415705e-07
1.902301188668946e-07,2.110756902595767e-07
1.942174681489024e-07,2.154999759751419e-07
1.982883949127071e-07,2.200169977317756e-07
2.024446509976802e-07,2.246286991969271e-07
2.066880249629082e-07,2.293370650052751e-07
2.110203428568597e-07,2.341441212028172e-07
2.154434690031882e-07,2.390519364681154e-07
2.199593068030075e-07,2.440626227784293e-07
2.245697995539772e-07,2.49178336297895e-07
2.292769312865649e-07,2.544012785987704e-07
2.340827276178294e-07,2.597336972165465e-07
2.389892566231048e-07,2.651778867601706e-07
2.43998629725955e-07,2.707361902443139e-07
2.491130026067786e-07,2.764109993114161e-07
2.543345761304648e-07,2.822047560080421e-07
2.596655972934872e-07,2.881199537840828e-07
2.651083601908536e-07,2.941591379368447e-07
2.706652070033241e-07,3.003249073874059e-07
2.763385290053167e-07,3.066199153467508e-07
2.82130767593947e-07,3.130468708700818e-07
2.880444153396298e-07,3.196085396339754e-07
2.940820170587061e-07,3.263077451576279e-07
3.002461709085549e-07,3.331473704681898e-07
3.065395295056524e-07,3.401303588779214e-07
3.12964801067075e-07,3.472597152054391e-07
3.195247505759214e-07,3.545385075520713e-07
3.262222009711673e-07,3.619698680790151e-07
3.330600343624589e-07,3.695569948947153e-07
3.400411932703703e-07,3.773031528320203e-07
3.471686818926559e-07,3.852116752245394e-07
3.544455673970435e-07,3.932859654609544e-07
3.618749812411284e-07,4.015294980952433e-07
3.694601205199302e-07,4.099458206230366e-07
3.772042493416994e-07,4.185385547028631e-07
3.851107002325569e-07,4.273113981545507e-07
3.93182875570577e-07,4.362681261804724e-07
4.014242490499326e-07,4.454125929198582e-07
4.098383671757261e-07,4.547487337802636e-07
4.184288507901585e-07,4.642805662147254e-07
4.271993966306776e-07,4.740121920532303e-07
4.361537789208006e-07,4.839477991680496e-07
4.45295850994266e-07,4.940916630280512e-07
4.5462954695324e-07,5.044481489191455e-07
4.641588833612782e-07,5.150217134985979e-07
4.738879609717651e-07,5.258169069044527e-07
4.838209664925957e-07,5.368383745318894e-07
4.939621743878326e-07,5.480908593646916e-07
5.043159487171359e-07,5.595792035295588e-07
5.148867450137498e-07,5.71308350960642e-07
5.25679112201842e-07,5.832833488428335e-07
5.366976945540476e-07,5.955093504983466e-07
5.479472336900293e-07,6.079916171630728e-07
5.594325706169378e-07,6.207355200960052e-07
5.711586478126435e-07,6.337465435768408e-07
5.831305113526218e-07,6.470302865713151e-07
5.95353313081437e-07,6.605924655067597e-07
6.078323128297237e-07,6.744389163815256e-07
6.205728806776501e-07,6.885755978736086e-07
6.335804992658255e-07,7.030085934500718e-07
6.468607661546321e-07,7.177441138095375e-07
6.604193962330305e-07,7.327885003238777e-07
6.742622241778349e-07,7.481482269255935e-07
6.883952069645496e-07,7.638299032164397e-07
7.028244264308353e-07,7.798402776870716e-07
7.175560918936921e-07,7.961862398264685e-07
7.32596542821523e-07,8.128748240077144e-07
7.479522515621828e-07,8.299132115974217e-07
7.636298261282241e-07,8.47308734841512e-07
7.796360130405236e-07,8.650688794187289e-07
7.959777002314978e-07,8.832012879933515e-07
8.126619200091945e-07,9.017137636568862e-07
8.296958520834915e-07,9.206142725926014e-07
8.470868266557403e-07,9.39910948405398e-07
8.648423275731727e-07,9.596120948973663e-07
8.829699955494083e-07,9.797261901756116e-07
9.014776314524917e-07,1.000261889760878e-06
9.20373199661823e-07,1.021228030695376e-06
9.396648314954691e-07,1.042633635428558e-06
9.593608287093148e-07,1.064487915369838e-06
9.794696670695385e-07,1.086800274885391e-06
1e-06,1.109580315850067e-06
1.020960662306047e-06,1.132837840978063e-06
1.042360673976401e-06,1.1565828587079e-06
1.064209244064725e-06,1.180825587088208e-06
1.086515774652537e-06,1.205576458551683e-06
1.109289864895223e-06,1.230846124022911e-06
1.132541315152813e-06,1.256645457803351e-06
1.156280131207375e-06,1.282985562012229e-06
1.180516528568805e-06,1.309877771471513e-06
1.205260936870841e-06,1.337333658701922e-06
1.230524004359262e-06,1.365365038807909e-06
1.256316602474121e-06,1.393983974362634e-06
1.28264983052806e-06,1.423202780959087e-06
1.309535020482668e-06,1.453034032095069e-06
1.336983741824945e-06,1.483490565168388e-06
1.365007806546014e-06,1.514585486472875e-06
1.393619274224143e-06,1.546332176749488e-06
1.422830457214352e-06,1.578744297736634e-06
1.452653925946781e-06,1.611835797166172e-06
1.483102514336103e-06,1.645620915202706e-06
1.514189325304352e-06,1.680114190549808e-06
1.545927736419479e-06,1.715330466556253e-06
1.57833140565212e-06,1.751284897655303e-06
1.61141427725302e-06,1.787992956248097e-06
1.645190587753661e-06,1.825470438587828e-06
1.679674872092653e-06,1.863733472329265e-06
1.714881969870541e-06,1.902798523079063e-06
1.750827031735727e-06,1.942682401612217e-06
1.787525525904235e-06,1.983402271088508e-06
1.82499324481615e-06,2.024975654157934e-06
1.86324631193156e-06,2.06742044117636e-06
1.902301188668946e-06,2.110754897199918e-06
1.942174681489028e-06,2.154997670089642e-06
1.982883949127071e-06,2.200167798838137e-06
2.024446509976802e-06,2.246284721341141e-06
2.066880249629082e-06,2.293368282835218e-06
2.110203428568597e-06,2.341438744668523e-06
2.154434690031886e-06,2.390516792849517e-06
2.199593068030075e-06,2.440623546928755e-06
2.245697995539772e-06,2.491780569102708e-06
2.292769312865649e-06,2.544009873761688e-06
2.340827276178294e-06,2.597333936371626e-06
2.389892566231052e-06,2.651775703688131e-06
2.43998629725955e-06,2.707358603526444e-06
2.491130026067786e-06,2.764106554531409e-06
2.543345761304648e-06,2.822043976835609e-06
2.596655972934872e-06,2.88119580238444e-06
2.651083601908542e-06,2.941587485816299e-06
2.706652070033241e-06,3.003245015231748e-06
2.763385290053167e-06,3.06619492329574e-06
2.821307675939471e-06,3.130464299005986e-06
2.880444153396298e-06,3.196080799239276e-06
2.940820170587067e-06,3.263072660297794e-06
3.002461709085549e-06,3.331468710454644e-06
3.065395295056524e-06,3.401298382277318e-06
3.129648010670751e-06,3.472591725284246e-06
3.195247505759214e-06,3.545379418712358e-06
3.262222009711673e-06,3.619692785061801e-06
3.330600343624589e-06,3.695563802974533e-06
3.400411932703702e-06,3.773025121667217e-06
3.47168681892656e-06,3.852110074809012e-06
3.544455673970436e-06,3.93285269451038e-06
3.618749812411284e-06,4.015287726200079e-06
3.694601205199302e-06,4.099450643835212e-06
3.772042493416993e-06,4.185377664556178e-06
3.851107002325569e-06,4.273105765006946e-06
3.93182875570577e-06,4.362672696545111e-06
4.014242490499326e-06,4.454117002006264e-06
4.098383671757261e-06,4.547478032135288e-06
4.184288507901576e-06,4.64279596223971e-06
4.271993966306777e-06,4.74011180984224e-06
4.361537789208005e-06,4.839467452444346e-06
4.45295850994266e-06,4.940905644845728e-06
4.5462954695324e-06,5.044470038351179e-06
4.641588833612773e-06,5.150205198978242e-06
4.738879609717651e-06,5.258156627219179e-06
4.838209664925957e-06,5.368370776803744e-06
4.939621743878326e-06,5.480895075349324e-06
5.043159487171359e-06,5.595777944789049e-06
5.148867450137487e-06,5.713068821577849e-06
5.25679112201842e-06,5.83281817867487e-06
5.366976945540476e-06,5.955077546748733e-06
5.479472336900293e-06,6.079899536715061e-06
5.594325706169378e-06,6.207337862274009e-06
5.711586478126423e-06,6.337447362669835e-06
5.831305113526219e-06,6.47028402700478e-06
5.95353313081437e-06,6.605905017553759e-06
6.078323128297237e-06,6.744368694966418e-06
6.205728806776501e-06,6.885734642914088e-06
6.335804992658241e-06,7.030063694180022e-06
6.468607661546321e-06,7.177417956416576e-06
6.604193962330305e-06,7.327860839234646e-06
6.742622241778349e-06,7.481457081182086e-06
6.883952069645496e-06,7.638272777721333e-06
7.028244264308338e-06,7.798375409762137e-06
7.175560918936921e-06,7.961833872527357e-06
7.32596542821523e-06,8.128718505306942e-06
7.479522515621829e-06,8.299101121878039e-06
7.636298261282242e-06,8.473055041036126e-06
7.796360130405221e-06,8.650655118236372e-06
7.959777002314978e-06,8.831977778123168e-06
8.126619200091945e-06,9.017101047281706e-06
8.296958520834915e-06,9.206104587211605e-06
