#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,2.129212732793206e-07
1.020960662306048e-08,2.173842436059559e-07
1.042360673976401e-08,2.219407608805568e-07
1.064209244064725e-08,2.265927856459626e-07
1.086515774652537e-08,2.313423199673537e-07
1.109289864895223e-08,2.361914076542959e-07
1.132541315152813e-08,2.411421353709642e-07
1.156280131207375e-08,2.461966336353427e-07
1.180516528568806e-08,2.513570774853591e-07
1.205260936870841e-08,2.566256875891071e-07
1.230524004359262e-08,2.6200473135507e-07
1.256316602474122e-08,2.674965232651871e-07
1.28264983052806e-08,2.731034267622334e-07
1.309535020482668e-08,2.788278546939083e-07
1.336983741824945e-08,2.846722704230586e-07
1.365007806546014e-08,2.9063918882688e-07
1.393619274224144e-08,2.967311778512283e-07
1.422830457214352e-08,3.029508588436869e-07
1.452653925946781e-08,3.093009085519682e-07
1.483102514336103e-08,3.157840594569805e-07
1.514189325304352e-08,3.224031014381623e-07
1.545927736419478e-08,3.291608827726833e-07
1.578331405652117e-08,3.360603118007788e-07
1.61141427725302e-08,3.431043572588166e-07
1.645190587753661e-08,3.502960506107655e-07
1.679674872092653e-08,3.576384864922844e-07
1.714881969870541e-08,3.651348247091235e-07
1.750827031735723e-08,3.72788291014281e-07
1.787525525904235e-08,3.806021789953817e-07
1.824993244816151e-08,3.885798511849003e-07
1.86324631193156e-08,3.967247406144736e-07
1.902301188668946e-08,4.050403522581902e-07
1.942174681489025e-08,4.135302644758809e-07
1.982883949127072e-08,4.221981309004974e-07
2.024446509976802e-08,4.310476814373132e-07
2.066880249629082e-08,4.400827243733474e-07
2.110203428568597e-08,4.493071477096322e-07
2.154434690031882e-08,4.587249209375699e-07
2.199593068030075e-08,4.683400968152895e-07
2.245697995539776e-08,4.781568130329816e-07
2.292769312865649e-08,4.881792941002772e-07
2.340827276178294e-08,4.984118529005599e-07
2.389892566231048e-08,5.088588928003901e-07
2.43998629725955e-08,5.195249094258614e-07
2.491130026067791e-08,5.304144926610022e-07
2.543345761304648e-08,5.415323287571994e-07
2.596655972934873e-08,5.528832018875107e-07
2.651083601908536e-08,5.644719967001777e-07
2.706652070033241e-08,5.763037002060045e-07
2.763385290053173e-08,5.883834038877822e-07
2.821307675939471e-08,6.007163060317566e-07
2.880444153396298e-08,6.133077138370524e-07
2.940820170587061e-08,6.261630456361189e-07
3.002461709085549e-08,6.392878336702879e-07
3.06539529505653e-08,6.526877256440855e-07
3.12964801067075e-08,6.663684880559018e-07
3.195247505759214e-08,6.803360081963916e-07
3.262222009711667e-08,6.945962965909658e-07
3.330600343624589e-08,7.091554897753483e-07
3.40041193270371e-08,7.240198531821562e-07
3.471686818926559e-08,7.391957832503238e-07
3.544455673970436e-08,7.546898105337263e-07
3.618749812411276e-08,7.705086026987829e-07
3.694601205199302e-08,7.866589669669466e-07
3.772042493417001e-08,8.031478533343517e-07
3.851107002325569e-08,8.199823573473708e-07
3.93182875570577e-08,8.371697234332842e-07
4.014242490499318e-08,8.547173477868597e-07
4.098383671757262e-08,8.726327817010215e-07
4.184288507901584e-08,8.909237345644527e-07
4.271993966306777e-08,9.095980776363533e-07
4.361537789208006e-08,9.2866384693302e-07
4.45295850994266e-08,9.481292470026048e-07
4.546295469532399e-08,9.680026543668063e-07
4.641588833612782e-08,9.882926210735832e-07
4.738879609717651e-08,1.009007878582935e-06
4.838209664925958e-08,1.030157340986548e-06
4.939621743878326e-08,1.051750109781757e-06
5.043159487171359e-08,1.073795476869144e-06
5.148867450137498e-08,1.096302928882409e-06
5.256791122018419e-08,1.119282151518242e-06
5.366976945540476e-08,1.142743033311078e-06
5.479472336900293e-08,1.166695670185014e-06
5.594325706169378e-08,1.191150369561633e-06
5.711586478126435e-08,1.216117655022941e-06
5.831305113526219e-08,1.241608270752259e-06
5.95353313081437e-08,1.267633185864092e-06
6.078323128297236e-08,1.294203599844224e-06
6.2057288067765e-08,1.321330946546517e-06
6.335804992658255e-08,1.34902689963301e-06
6.46860766154632e-08,1.377303377458894e-06
6.604193962330306e-08,1.406172548068518e-06
6.742622241778349e-08,1.435646834857529e-06
6.883952069645497e-08,1.465738921346826e-06
7.028244264308353e-08,1.496461756955725e-06
7.175560918936921e-08,1.527828562442046e-06
7.32596542821523e-08,1.559852836119369e-06
7.479522515621828e-08,1.592548358519963e-06
7.636298261282242e-08,1.625929199833287e-06
7.796360130405237e-08,1.660009724346878e-06
7.959777002314978e-08,1.694804598106892e-06
8.126619200091946e-08,1.730328794247171e-06
8.296958520834915e-08,1.76659759976161e-06
8.470868266557402e-08,1.803626622054466e-06
8.648423275731727e-08,1.841431795823745e-06
8.829699955494083e-08,1.880029389611515e-06
9.014776314524918e-08,1.919436012909337e-06
9.20373199661823e-08,1.959668623596755e-06
9.396648314954691e-08,2.000744534824683e-06
9.593608287093146e-08,2.042681422453896e-06
9.794696670695386e-08,2.085497333381703e-06
1e-07,2.129210692092265e-06
1.020960662306048e-07,2.173840309982467e-06
1.042360673976401e-07,2.219405392023255e-06
1.064209244064725e-07,2.265925546196534e-06
1.086515774652537e-07,2.313420791488774e-06
1.109289864895223e-07,2.361911566217678e-06
1.132541315152813e-07,2.41141873724704e-06
1.156280131207375e-07,2.461963608868523e-06
1.180516528568806e-07,2.513567931794469e-06
1.205260936870841e-07,2.56625391281684e-06
1.230524004359261e-07,2.620044224022067e-06
1.256316602474121e-07,2.674962012783055e-06
1.28264983052806e-07,2.731030911640175e-06
1.309535020482668e-07,2.78827504851531e-06
1.336983741824945e-07,2.846719057036928e-06
1.365007806546014e-07,2.906388087198231e-06
1.393619274224144e-07,2.967307816015285e-06
1.422830457214352e-07,3.029504458851306e-06
1.452653925946781e-07,3.093004780629904e-06
1.483102514336103e-07,3.157836106937317e-06
1.514189325304352e-07,3.224026336456909e-06
1.545927736419479e-07,3.29160395262651e-06
1.578331405652117e-07,3.360598035517803e-06
1.61141427725302e-07,3.431038275270026e-06
1.645190587753661e-07,3.502954983969353e-06
1.679674872092653e-07,3.576379109193617e-06
1.714881969870541e-07,3.651342247112943e-06
1.750827031735723e-07,3.727876656256512e-06
1.787525525904236e-07,3.806015271279328e-06
1.824993244816151e-07,3.885791717062048e-06
1.86324631193156e-07,3.96724032347695e-06
1.902301188668946e-07,4.050396139820833e-06
1.942174681489024e-07,4.135294949914048e-06
1.982883949127071e-07,4.221973287976688e-06
2.024446509976802e-07,4.3104684536166e-06
