#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
1,2.655972300457604
2,2.602668338372395
3,2.567067840011648
4,2.543016910801232
5,2.526501791025853
6,2.514904579528697
7,2.506517794948144
8,2.500227758363684
9,2.495308086200657
10,2.49128500026506
11,2.487849479010269
12,2.484799960024671
13,2.482004968918827
14,2.479378744792943
15,2.476865342454032
16,2.474428263417032
17,2.472043692940472
18,2.469696089023302
19,2.467375305419544
20,2.465074715184236
21,2.462789986795125
22,2.460518285903331
23,2.458257754691707
24,2.456007172297011
25,2.453765733327225
26,2.45153290340396
27,2.44930832494289
28,2.44709175570088
29,2.444883028694532
30,2.442682026057773
31,2.440488661990913
32,2.438302871639412
33,2.436124603840185
34,2.43395381639042
35,2.431790472961674
36,2.429634541087033
37,2.427485990848191
38,2.425344794019016
39,2.423210923506858
40,2.421084352988049
41,2.41896505667007
42,2.416853009136318
43,2.414748185244771
44,2.412650560061782
45,2.410560108818803
46,2.408476806884058
47,2.40640062974397
48,2.404331552990946
49,2.402269552315309
50,2.40021460349994
51,2.398166682416688
52,2.396125765023927
53,2.39409182736486
54,2.39206484556633
55,2.390044795837934
56,2.388031654471355
57,2.38602539783983
58,2.384026002397703
59,2.382033444680046
60,2.380047701302309
61,2.378068748959999
62,2.376096564428381
63,2.374131124562177
64,2.372172406295293
65,2.370220386640531
66,2.368275042689318
67,2.366336351611432
68,2.364404290654732
69,2.362478837144891
70,2.360559968485125
71,2.358647662155934
72,2.35674189571483
73,2.354842646796077
74,2.352949893110427
75,2.351063612444863
76,2.349183782662329
77,2.347310381701479
78,2.345443387576414
79,2.343582778376422
80,2.341728532265729
81,2.339880627483232
82,2.338039042342249
83,2.336203755230268
84,2.334374744608684
85,2.332551989012558
86,2.330735467050353
87,2.328925157403694
88,2.327121038827108
89,2.325323090147782
90,2.323531290265312
91,2.321745618151454
92,2.31996605284988
93,2.318192573475925
94,2.316425159216356
95,2.314663789329114
96,2.312908443143076
97,2.311159100057811
98,2.309415739543344
99,2.307678341139904
100,2.305946884457695
101,2.30422134917665
102,2.302501715046195
103,2.300787961885012
104,2.299080069580798
105,2.297378018090035
106,2.29568178743775
107,2.293991357717283
108,2.292306709090052
109,2.290627821785323
110,2.288954676099972
111,2.287287252398262
112,2.285625531111605
113,2.283969492738337
114,2.282319117843487
115,2.28067438705855
116,2.279035281081258
117,2.277401780675358
118,2.275773866670379
119,2.274151519961414
120,2.27253472150889
121,2.270923452338351
122,2.269317693540229
123,2.267717426269624
124,2.266122631746087
125,2.264533291253393
126,2.262949386139325
127,2.261370897815457
128,2.259797807756931
129,2.258230097502242
130,2.256667748653024
131,2.255110742873829
132,2.253559061891915
133,2.252012687497031
134,2.250471601541202
135,2.24893578593852
136,2.247405222664927
137,2.245879893758006
138,2.244359781316767
139,2.242844867501445
140,2.241335134533279
141,2.239830564694314
142,2.238331140327187
143,2.236836843834919
144,2.235347657680717
145,2.233863564387754
146,2.232384546538979
147,2.230910586776902
148,2.229441667803393
149,2.227977772379484
150,2.226518883325155
151,2.225064983519148
152,2.223616055898754
153,2.222172083459616
154,2.220733049255532
155,2.219298936398254
156,2.217869728057288
157,2.216445407459701
158,2.215025957889921
159,2.21361136268954
160,2.212201605257122
161,2.210796669048005
162,2.20939653757411
163,2.208001194403742
164,2.206610623161403
165,2.205224807527599
166,2.203843731238643
167,2.20246737808647
168,2.201095731918446
169,2.199728776637178
170,2.198366496200319
171,2.197008874620392
172,2.195655895964591
173,2.194307544354602
174,2.192963803966409
175,2.191624659030115
176,2.190290093829755
177,2.188960092703109
178,2.187634640041523
179,2.18631372028972
180,2.184997317945621
181,2.183685417560162
182,2.182378003737117
183,2.181075061132911
184,2.179776574456438
185,2.178482528468895
186,2.177192907983586
187,2.175907697865757
188,2.17462688303241
189,2.173350448452132
190,2.172078379144915
191,2.170810660181979
192,2.169547276685602
193,2.16828821382894
194,2.167033456835856
195,2.165782990980746
196,2.164536801588367
197,2.163294874033661
198,2.162057193741589
199,2.160823746186956
200,2.159594516894242
201,2.158369491437429
202,2.157148655439841
203,2.155931994573961
204,2.154719494561276
205,2.153511141172102
206,2.152306920225421
207,2.151106817588707
208,2.149910819177773
209,2.148718910956594
210,2.147531078937148
211,2.14634730917925
212,2.14516758779039
213,2.143991900925569
214,2.142820234787134
215,2.141652575624621
216,2.140488909734592
217,2.139329223460471
218,2.138173503192386
219,2.13702173536701
220,2.135873906467403
221,2.134730003022849
222,2.133590011608702
223,2.132453918846225
224,2.131321711402437
225,2.130193375989954
226,2.129068899366832
227,2.127948268336414
228,2.126831469747176
229,2.125718490492567
230,2.124609317510863
231,2.123503937785006
232,2.122402338342459
233,2.121304506255044
234,2.120210428638804
235,2.119120092653836
236,2.118033485504154
237,2.116950594437529
238,2.115871406745345
239,2.114795909762448
240,2.113724090866997
241,2.112655937480317
242,2.111591437066751
243,2.110530577133511
244,2.109473345230536
245,2.108419728950339
246,2.10736971592787
247,2.106323293840361
248,2.10528045040719
249,2.104241173389733
250,2.10320545059122
251,2.102173269856594
252,2.101144619072366
253,2.100119486166474
254,2.099097859108139
255,2.098079725907731
256,2.097065074616619
257,2.096053893327037
258,2.095046170171943
259,2.094041893324876
260,2.093041050999823
261,2.092043631451078
262,2.091049622973101
263,2.090059013900389
264,2.089071792607328
265,2.088087947508066
266,2.087107467056374
267,2.086130339745506
268,2.085156554108071
269,2.084186098715897
270,2.08321896217989
271,2.082255133149909
272,2.081294600314629
273,2.080337352401407
274,2.079383378176153
275,2.078432666443196
276,2.077485206045153
277,2.076540985862798
278,2.07559999481493
279,2.074662221858248
280,2.073727655987214
281,2.072796286233931
282,2.071868101668011
283,2.070943091396443
284,2.070021244563474
285,2.069102550350472
286,2.068186997975806
287,2.067274576694719
288,2.066365275799195
289,2.065459084617843
290,2.064555992515764
291,2.06365598889443
292,2.062759063191561
293,2.061865204880994
294,2.06097440347257
295,2.060086648512002
296,2.059201929580755
297,2.058320236295928
298,2.057441558310123
299,2.056565885311335
300,2.05569320702282
301,2.054823513202982
302,2.05395679364525
303,2.053093038177957
304,2.052232236664224
305,2.051374379001837
306,2.050519455123133
307,2.049667454994877
308,2.048818368618148
309,2.047972186028219
310,2.047128897294443
311,2.046288492520135
312,2.045450961842451
313,2.044616295432286
314,2.043784483494139
315,2.042955516266014
316,2.042129384019304
317,2.041306077058663
318,2.04048558572191
319,2.039667900379906
320,2.038853011436441
321,2.038040909328123
322,2.037231584524268
323,2.036425027526783
324,2.03562122887006
325,2.034820179120861
326,2.034021868878209
327,2.03322628877328
328,2.032433429469284
329,2.031643281661368
330,2.030855836076498
331,2.030071083473354
332,2.029289014642218
333,2.02850962040487
334,2.027732891614479
335,2.026958819155494
336,2.026187393943541
337,2.025418606925308
338,2.024652449078449
339,2.023888911411473
