#Weibull - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-16.81124283151826,-5.738183037010812,-16.81124283151826,-8.877587439587886
-10.12663110385034,-5.043421648294511,-10.12663110385034,-4.587990362869565
-10.07784093968091,-4.63633797376997,-10.07784093968091,-4.55668111797692
-10.00884806819395,-4.347032951140505,-10.00884806819395,-4.512407548785179
-9.596002852788168,-4.122262040154097,-9.596002852788168,-4.247479726304211
-9.552830680922959,-3.938308688225388,-9.552830680922959,-4.219775615762971
-9.525051116815883,-3.782521751595053,-9.525051116815883,-4.201949129821685
-9.47170513611059,-3.647349614052643,-9.47170513611059,-4.16771636175515
-9.338173743486069,-3.527921318673356,-9.338173743486069,-4.082027634453093
-7.682112514967626,-3.420911001550644,-7.682112514967626,-3.019312895866833
-7.679945666882535,-3.323946451352591,-7.679945666882535,-3.017922402957121
-7.671324923838628,-3.235276107600493,-7.671324923838628,-3.01239036674218
-7.658531572378719,-3.153569809099613,-7.658531572378719,-3.004180716689251
-7.641724454062337,-3.077793594098025,-7.641724454062337,-2.993395383369202
-7.637566443913673,-3.007127799524225,-7.637566443913673,-2.990727137417855
-7.631361667026791,-2.94091164657618,-7.631361667026791,-2.98674545622529
-7.627246434881684,-2.87860465547141,-7.627246434881684,-2.984104661441862
-7.612975040776352,-2.819759105837948,-7.612975040776352,-2.974946533351707
-7.555929093899351,-2.763999952965055,-7.555929093899351,-2.938339451754228
-6.946496107298568,-2.711009901581667,-6.946496107298568,-2.547258852867976
-6.911763300379676,-2.660518125155212,-6.911763300379676,-2.52497038599879
-6.529318843261892,-2.612291611846588,-6.529318843261892,-2.279551101813692
-6.510994611504119,-2.566128435738464,-6.510994611504119,-2.267792218248935
-6.501623726330812,-2.521852461176817,-6.501623726330812,-2.261778806657757
-6.231754257257163,-2.479309128867081,-6.231754257257163,-2.088600268726772
-6.223648843074341,-2.438362068933604,-6.223648843074341,-2.083398925342785
-6.010443513705785,-2.398890353528713,-6.010443513705785,-1.946582458678807
-6.001110924159788,-2.323953364612489,-6.001110924159788,-1.940593621859904
-6.001110924159788,-2.323953364612489,-6.001110924159788,-1.940593621859904
-5.999900025929084,-2.28830511055003,-5.999900025929084,-1.939816573659912
-5.997885114910905,-2.253763414940376,-5.997885114910905,-1.938523580623734
-5.991064627086655,-2.220257640189997,-5.991064627086655,-1.934146790194516
-5.813485739748164,-2.18772366785635,-5.813485739748164,-1.820192246976816
-5.808476545770866,-2.156103119889484,-5.808476545770866,-1.816977785955423
-5.680456649352704,-2.125342692787708,-5.680456649352704,-1.734825853156671
-5.665042646340271,-2.095393585573552,-5.665042646340271,-1.724934498960436
-5.661873071578992,-2.066211006160122,-5.661873071578992,-1.722900544082527
-5.660435670152835,-2.037753743559684,-5.660435670152835,-1.721978146012615
-5.659000331884308,-2.009983795668957,-5.659000331884308,-1.72105707189618
-5.655278065596586,-1.982866044185622,-5.655278065596586,-1.71866844810813
-5.648442379623036,-1.956367969670955,-5.648442379623036,-1.714281904840683
-5.531258760342357,-1.930459400952187,-5.531258760342357,-1.6390837435735
-5.525971073340132,-1.905112294014917,-5.525971073340132,-1.635690570172947
-5.524716210582919,-1.880300536316619,-5.524716210582919,-1.634885309398751
-5.413728218059364,-1.855999773092594,-5.413728218059364,-1.563662957573992
-5.412158182971797,-1.832187252753352,-5.412158182971797,-1.562655446861874
-5.409472415914199,-1.808841688909306,-5.409472415914199,-1.560931957302812
-5.408132232555244,-1.785943136921877,-5.408132232555244,-1.560071945255284
-5.405902577227974,-1.763472883183446,-5.405902577227974,-1.558641148170338
-5.307761825376036,-1.741413345582841,-5.307761825376036,-1.49566302776455
-5.303329908371581,-1.719747983827074,-5.303329908371581,-1.492819012434852
-5.303128923545259,-1.698461218470708,-5.303128923545259,-1.49269003801441
-5.302727075036737,-1.67753835765748,-5.302727075036737,-1.49243216691319
-5.206832676425858,-1.656965530709053,-5.206832676425858,-1.430895558847788
-5.204280724621654,-1.636729627806891,-5.204280724621654,-1.429257940172955
-5.122852597217295,-1.61681824510842,-5.122852597217295,-1.377004515216253
-5.121175869795624,-1.597219634720234,-5.121175869795624,-1.37592853872884
-5.119000318774381,-1.577922659021422,-5.119000318774381,-1.374532461038591
-5.118666038309961,-1.558916748890762,-5.118666038309961,-1.374317949177409
-5.035953102080546,-1.540191865444005,-5.035953102080546,-1.321240046688633
-5.033187698566767,-1.521738464933095,-5.033187698566767,-1.319465453441945
-5.032727540571072,-1.503547466498762,-5.032727540571072,-1.319170164429871
-4.896860279837411,-1.485610222502496,-4.896860279837411,-1.231982482002104
-4.828313737302302,-1.467918491194151,-4.828313737302302,-1.187995327555912
-4.826440492920621,-1.450464411497834,-4.826440492920621,-1.186793243732498
-4.769455380295947,-1.433240479722016,-4.769455380295947,-1.150225200218541
-4.767571475346915,-1.416239528020196,-4.767571475346915,-1.149016275378713
-4.767336236578481,-1.399454704446473,-4.767336236578481,-1.148865319784804
-4.712421376735067,-1.382879454466303,-4.712421376735067,-1.113625782793044
-4.706317367993049,-1.366507503796767,-4.706317367993049,-1.109708765751104
-4.657938251526748,-1.350332842463169,-4.657938251526748,-1.078663295195336
-4.655937303041744,-1.334349709969874,-4.655937303041744,-1.077379262087413
-4.65562172948419,-1.31855258149312,-4.65562172948419,-1.077176754677091
