#Weibull aproximation vs Original set
#W(x), W(CDF) 
1e-08,4.965515955790423e-05
1.020960662306048e-08,5.032055570319827e-05
1.042360673976401e-08,5.099486815751675e-05
1.064209244064725e-08,5.167821639306958e-05
1.086515774652537e-08,5.237072148300825e-05
1.109289864895223e-08,5.307250612252012e-05
1.132541315152813e-08,5.378369465081079e-05
1.156280131207375e-08,5.450441307264242e-05
1.180516528568806e-08,5.523478908131541e-05
1.205260936870841e-08,5.597495208065073e-05
1.230524004359262e-08,5.672503320830469e-05
1.256316602474122e-08,5.74851653588615e-05
1.28264983052806e-08,5.825548320737006e-05
1.309535020482668e-08,5.903612323321372e-05
1.336983741824945e-08,5.982722374420213e-05
1.365007806546014e-08,6.062892490132921e-05
1.393619274224144e-08,6.144136874308703e-05
1.422830457214352e-08,6.226469921100097e-05
1.452653925946781e-08,6.309906217527583e-05
1.483102514336103e-08,6.394460546010894e-05
1.514189325304352e-08,6.480147887022447e-05
1.545927736419478e-08,6.566983421729677e-05
1.578331405652117e-08,6.654982534692877e-05
1.61141427725302e-08,6.744160816574141e-05
1.645190587753661e-08,6.834534066901821e-05
1.679674872092653e-08,6.926118296890493e-05
1.714881969870541e-08,7.018929732216517e-05
1.750827031735723e-08,7.112984815982326e-05
1.787525525904235e-08,7.208300211547503e-05
1.824993244816151e-08,7.304892805504171e-05
1.86324631193156e-08,7.402779710674601e-05
1.902301188668946e-08,7.501978269142118e-05
1.942174681489025e-08,7.602506055326419e-05
1.982883949127072e-08,7.704380879058892e-05
2.024446509976802e-08,7.807620788791159e-05
2.066880249629082e-08,7.912244074737007e-05
2.110203428568597e-08,8.018269272136447e-05
2.154434690031882e-08,8.125715164564173e-05
2.199593068030075e-08,8.234600787182522e-05
2.245697995539776e-08,8.344945430194262e-05
2.292769312865649e-08,8.456768642184365e-05
2.340827276178294e-08,8.570090233650518e-05
2.389892566231048e-08,8.684930280433711e-05
2.43998629725955e-08,8.801309127348667e-05
2.491130026067791e-08,8.919247391714347e-05
2.543345761304648e-08,9.038765967084306e-05
2.596655972934873e-08,9.159886026843811e-05
2.651083601908536e-08,9.282629028051215e-05
2.706652070033241e-08,9.407016715179406e-05
2.763385290053173e-08,9.533071124001591e-05
2.821307675939471e-08,9.660814585465971e-05
2.880444153396298e-08,9.790269729637036e-05
2.940820170587061e-08,9.921459489736772e-05
3.002461709085549e-08,0.0001005440710619698
3.06539529505653e-08,0.000101891361307449
3.12964801067075e-08,0.0001032567043057764
3.195247505759214e-08,0.0001046403419263653
3.262222009711667e-08,0.0001060425192782599
3.330600343624589e-08,0.0001074634847535449
3.40041193270371e-08,0.0001089034900719765
3.471686818926559e-08,0.0001103627903247251
3.544455673970436e-08,0.0001118416440197834
3.618749812411276e-08,0.0001133403131282629
3.694601205199302e-08,0.0001148590631296909
3.772042493417001e-08,0.000116398163059972
3.851107002325569e-08,0.0001179578855584618
3.93182875570577e-08,0.0001195385069163724
4.014242490499318e-08,0.0001211403071257333
4.098383671757262e-08,0.0001227635699287966
4.184288507901584e-08,0.0001244085828681074
4.271993966306777e-08,0.0001260756373377969
4.361537789208006e-08,0.0001277650286349852
4.45295850994266e-08,0.0001294770560117398
4.546295469532399e-08,0.0001312120227284774
4.641588833612782e-08,0.0001329702361070328
4.738879609717651e-08,0.0001347520075857256
4.838209664925958e-08,0.0001365576527740942
4.939621743878326e-08,0.0001383874915085181
5.043159487171359e-08,0.0001402418479093948
5.148867450137498e-08,0.0001421210504378712
5.256791122018419e-08,0.0001440254319542422
5.366976945540476e-08,0.0001459553297767924
5.479472336900293e-08,0.0001479110857417476
5.594325706169378e-08,0.0001498930462631165
5.711586478126435e-08,0.0001519015623944187
5.831305113526219e-08,0.0001539369898908571
5.95353313081437e-08,0.0001559996892719351
6.078323128297236e-08,0.0001580900258854046
6.2057288067765e-08,0.0001602083699717705
6.335804992658255e-08,0.0001623550967300158
6.46860766154632e-08,0.0001645305863836599
6.604193962330306e-08,0.00016673522424826
6.742622241778349e-08,0.0001689694007992459
6.883952069645497e-08,0.0001712335117413089
7.028244264308353e-08,0.0001735279580783455
7.175560918936921e-08,0.0001758531461840684
7.32596542821523e-08,0.0001782094878742813
7.479522515621828e-08,0.0001805974004790434
7.636298261282242e-08,0.00018301730691761
7.796360130405237e-08,0.0001854696357718177
7.959777002314978e-08,0.0001879548213630233
8.126619200091946e-08,0.0001904733038283757
8.296958520834915e-08,0.0001930255291984206
8.470868266557402e-08,0.0001956119494763708
8.648423275731727e-08,0.0001982330227181528
8.829699955494083e-08,0.000200889213112676
9.014776314524918e-08,0.0002035809910646558
9.20373199661823e-08,0.0002063088332773244
