#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,160979.5502998149
2,160979.400129159
3,160979.2529466686
4,160979.108692879
5,160978.9673095092
6,160978.8287394378
7,160978.6929266802
8,160978.5598163658
9,160978.4293547159
10,160978.3014890222
11,160978.176167625
12,160978.053339893
13,160977.9329562021
14,160977.8149679159
15,160977.699327366
16,160977.5859878322
17,160977.4749035244
18,160977.3660295636
19,160977.2593219639
20,160977.1547376146
21,160977.0522342631
22,160976.9517704975
23,160976.8533057301
24,160976.7568001808
25,160976.6622148611
26,160976.5695115585
27,160976.4786528208
28,160976.3896019412
29,160976.3023229433
30,160976.2167805665
31,160976.1329402524
32,160976.0507681296
33,160975.9702310012
34,160975.8912963308
35,160975.8139322296
36,160975.7381074431
37,160975.6637913391
38,160975.5909538946
39,160975.5195656844
40,160975.4495978688
41,160975.3810221818
42,160975.3138109201
43,160975.2479369317
44,160975.1833736047
45,160975.1200948571
46,160975.0580751257
47,160974.997289356
48,160974.9377129923
49,160974.8793219673
50,160974.8220926928
51,160974.76600205
52,160974.7110273801
53,160974.6571464752
54,160974.6043375693
55,160974.5525793298
56,160974.5018508484
57,160974.4521316328
58,160974.4034015986
59,160974.3556410613
60,160974.3088307277
61,160974.2629516888
62,160974.2179854118
63,160974.1739137328
64,160974.1307188493
65,160974.0883833131
66,160974.046890023
67,160974.0062222185
68,160973.9663634724
69,160973.9272976843
70,160973.8890090745
71,160973.8514821771
72,160973.8147018339
73,160973.7786531886
74,160973.7433216805
75,160973.7086930384
76,160973.6747532752
77,160973.6414886824
78,160973.608885824
79,160973.5769315315
80,160973.5456128985
81,160973.5149172753
82,160973.484832264
83,160973.4553457136
84,160973.4264457144
85,160973.3981205942
86,160973.370358913
87,160973.3431494583
88,160973.3164812406
89,160973.2903434896
90,160973.2647256488
91,160973.239617372
92,160973.215008519
93,160973.1908891512
94,160973.1672495277
95,160973.1440801018
96,160973.1213715164
97,160973.0991146009
98,160973.077300367
99,160973.0559200054
100,160973.034964882
101,160973.0144265345
102,160972.9942966691
103,160972.9745671571
104,160972.9552300313
105,160972.9362774833
106,160972.9177018601
107,160972.8994956606
108,160972.8816515336
109,160972.8641622737
110,160972.847020819
111,160972.8302202483
112,160972.8137537779
113,160972.7976147593
114,160972.7817966761
115,160972.7662931417
116,160972.7510978967
117,160972.736204806
118,160972.7216078568
119,160972.7073011559
120,160972.6932789273
121,160972.67953551
122,160972.6660653557
123,160972.6528630265
124,160972.6399231926
125,160972.6272406303
126,160972.61481022
127,160972.6026269438
128,160972.5906858838
129,160972.5789822199
130,160972.5675112279
131,160972.5562682776
