#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,9.752021412623435e-11
1.020960662306048e-08,9.956435675917419e-11
1.042360673976401e-08,1.016512429785621e-10
1.064209244064725e-08,1.037819830074227e-10
1.086515774652537e-08,1.059573540018732e-10
1.109289864895223e-08,1.081782441403334e-10
1.132541315152813e-08,1.104457636458278e-10
1.156280131207375e-08,1.127608006967762e-10
1.180516528568806e-08,1.151242434715982e-10
1.205260936870841e-08,1.17537313215621e-10
1.230524004359262e-08,1.200010091295667e-10
1.256316602474122e-08,1.225163304141574e-10
1.28264983052806e-08,1.250843872924179e-10
1.309535020482668e-08,1.277061789650702e-10
1.336983741824945e-08,1.303830376997439e-10
1.365007806546014e-08,1.331159626971612e-10
1.393619274224144e-08,1.359061752026491e-10
1.422830457214352e-08,1.387547854392324e-10
1.452653925946781e-08,1.416632366968429e-10
1.483102514336103e-08,1.446325281762029e-10
1.514189325304352e-08,1.476641031672443e-10
1.545927736419478e-08,1.507592939375968e-10
1.578331405652117e-08,1.539193217325874e-10
1.61141427725302e-08,1.571455188198456e-10
1.645190587753661e-08,1.60439439511606e-10
1.679674872092653e-08,1.638023050531956e-10
1.714881969870541e-08,1.672357807791514e-10
1.750827031735723e-08,1.707410879348004e-10
1.787525525904235e-08,1.74320002876982e-10
1.824993244816151e-08,1.779738578733259e-10
1.86324631193156e-08,1.817043182583689e-10
1.902301188668946e-08,1.855129383443455e-10
1.942174681489025e-08,1.894013834657926e-10
1.982883949127072e-08,1.933713189572472e-10
2.024446509976802e-08,1.974245211755488e-10
2.066880249629082e-08,2.015627664775366e-10
2.110203428568597e-08,2.057876091754451e-10
2.154434690031882e-08,2.101010476707188e-10
2.199593068030075e-08,2.145048583201969e-10
2.245697995539776e-08,2.190010395253239e-10
2.292769312865649e-08,2.235914786652415e-10
2.340827276178294e-08,2.282780631190917e-10
2.389892566231048e-08,2.330630133329237e-10
2.43998629725955e-08,2.379481056635768e-10
2.491130026067791e-08,2.429356715794029e-10
2.543345761304648e-08,2.480277094818462e-10
2.596655972934873e-08,2.532265508392584e-10
2.651083601908536e-08,2.585344160976888e-10
2.706652070033241e-08,2.639534146808842e-10
2.763385290053173e-08,2.694861001018012e-10
2.821307675939471e-08,2.751346928064891e-10
2.880444153396298e-08,2.80901635285602e-10
2.940820170587061e-08,2.86789592074399e-10
3.002461709085549e-08,2.928008946412319e-10
3.06539529505653e-08,2.989382075213598e-10
3.12964801067075e-08,3.052040842277393e-10
3.195247505759214e-08,3.116014113402343e-10
3.262222009711667e-08,3.181327423718017e-10
3.330600343624589e-08,3.248010749246077e-10
3.40041193270371e-08,3.316090735339117e-10
3.471686818926559e-08,3.385598468241824e-10
3.544455673970436e-08,3.456562813752839e-10
3.618749812411276e-08,3.529014858116852e-10
3.694601205199302e-08,3.602984577355528e-10
3.772042493417001e-08,3.67850638838263e-10
3.851107002325569e-08,3.755610267219822e-10
3.93182875570577e-08,3.834329520557844e-10
4.014242490499318e-08,3.914699675533484e-10
4.098383671757262e-08,3.996755149060505e-10
4.184288507901584e-08,4.080529247829645e-10
4.271993966306777e-08,4.166059719423743e-10
4.361537789208006e-08,4.25338320120261e-10
4.45295850994266e-08,4.342537440749084e-10
4.546295469532399e-08,4.433559075422977e-10
4.641588833612782e-08,4.526490293699226e-10
4.738879609717651e-08,4.621367732937642e-10
4.838209664925958e-08,4.718234691836187e-10
4.939621743878326e-08,4.817132248646772e-10
5.043159487171359e-08,4.918102591844331e-10
5.148867450137498e-08,5.021189020126826e-10
