#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,2.638671715637919e-05
1.020960662306048e-08,2.69397927740167e-05
1.042360673976401e-08,2.750446090737935e-05
1.064209244064725e-08,2.808096452977527e-05
1.086515774652537e-08,2.866955170710561e-05
1.109289864895223e-08,2.927047570400187e-05
1.132541315152813e-08,2.988399509329387e-05
1.156280131207375e-08,3.051037386703204e-05
1.180516528568806e-08,3.114988154995224e-05
1.205260936870841e-08,3.180279331549407e-05
1.230524004359262e-08,3.246939010426164e-05
1.256316602474122e-08,3.314995874481586e-05
1.28264983052806e-08,3.384479207702018e-05
1.309535020482668e-08,3.455418907782892e-05
1.336983741824945e-08,3.527845499051718e-05
1.365007806546014e-08,3.601790145513206e-05
1.393619274224144e-08,3.677284664338476e-05
1.422830457214352e-08,3.754361539476392e-05
1.452653925946781e-08,3.833053935664577e-05
1.483102514336103e-08,3.913395712717982e-05
1.514189325304352e-08,3.995421440028402e-05
1.545927736419478e-08,4.079166411496971e-05
1.578331405652117e-08,4.164666660677607e-05
1.61141427725302e-08,4.251958976286829e-05
1.645190587753661e-08,4.341080918035534e-05
1.679674872092653e-08,4.432070832760537e-05
1.714881969870541e-08,4.524967870933594e-05
1.750827031735723e-08,4.619812003536783e-05
1.787525525904235e-08,4.716644039159945e-05
1.824993244816151e-08,4.815505641642126e-05
1.86324631193156e-08,4.916439347957269e-05
1.902301188668946e-08,5.019488586499588e-05
1.942174681489025e-08,5.124697695768621e-05
1.982883949127072e-08,5.232111943453965e-05
2.024446509976802e-08,5.341777545864179e-05
2.066880249629082e-08,5.453741687866387e-05
2.110203428568597e-08,5.568052543092339e-05
2.154434690031882e-08,5.684759294743991e-05
2.199593068030075e-08,5.803912156687741e-05
2.245697995539776e-08,5.925562395048267e-05
2.292769312865649e-08,6.049762350290866e-05
2.340827276178294e-08,6.176565459714567e-05
2.389892566231048e-08,6.306026280389343e-05
2.43998629725955e-08,6.43820051270394e-05
2.491130026067791e-08,6.573145024213467e-05
2.543345761304648e-08,6.710917874186428e-05
2.596655972934873e-08,6.851578338507025e-05
2.651083601908536e-08,6.99518693518808e-05
2.706652070033241e-08,7.141805450394667e-05
2.763385290053173e-08,7.291496964989541e-05
2.821307675939471e-08,7.444325881678093e-05
2.880444153396298e-08,7.600357952708414e-05
2.940820170587061e-08,7.759660308104266e-05
3.002461709085549e-08,7.922301484541983e-05
3.06539529505653e-08,8.088351454849096e-05
