#Pareto aproximation (linear regression) vs Original set
#ParetoLr(x), ParetoLr(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,0.001278628021541439
5.148867450137498e-08,0.004357914594156242
5.256791122018419e-08,0.007427707021494201
5.366976945540476e-08,0.01048803457617886
5.479472336900293e-08,0.01353892644057864
5.594325706169378e-08,0.01658041170708591
5.711586478126435e-08,0.01961251937839548
5.831305113526219e-08,0.02263527836777901
5.95353313081437e-08,0.02564871749936337
6.078323128297236e-08,0.02865286550840274
6.2057288067765e-08,0.03164775104155426
6.335804992658255e-08,0.03463340265715154
6.46860766154632e-08,0.03760984882547536
6.604193962330306e-08,0.04057711792902696
6.742622241778349e-08,0.04353523826279737
6.883952069645497e-08,0.04648423803453727
7.028244264308353e-08,0.04942414536502759
7.175560918936921e-08,0.05235498828834495
7.32596542821523e-08,0.05527679475213221
7.479522515621828e-08,0.05818959261786172
7.636298261282242e-08,0.06109340966110299
7.796360130405237e-08,0.06398827357178782
7.959777002314978e-08,0.06687421195447241
8.126619200091946e-08,0.06975125232860313
8.296958520834915e-08,0.07261942212877637
8.470868266557402e-08,0.07547874870500171
8.648423275731727e-08,0.07832925932296331
8.829699955494083e-08,0.08117098116427746
9.014776314524918e-08,0.08400394132675471
9.20373199661823e-08,0.08682816682465611
9.396648314954691e-08,0.08964368458895122
9.593608287093146e-08,0.09245052146757637
9.794696670695386e-08,0.09524870422568843
1e-07,0.09803825954592216
1.020960662306048e-07,0.1008192140286429
1.042360673976401e-07,0.1035915941922009
1.064209244064725e-07,0.1063554264731852
1.086515774652537e-07,0.1091107372266735
1.109289864895223e-07,0.1118575527264861
1.132541315152813e-07,0.1145958991654342
1.156280131207375e-07,0.1173258026555705
1.180516528568806e-07,0.120047289228439
1.205260936870841e-07,0.1227603848353216
1.230524004359261e-07,0.1254651153474875
1.256316602474121e-07,0.128161506556438
1.28264983052806e-07,0.1308495841741533
1.309535020482668e-07,0.1335293738333384
1.336983741824945e-07,0.136200901087666
1.365007806546014e-07,0.1388641914120217
1.393619274224144e-07,0.1415192702027456
1.422830457214352e-07,0.1441661627778751
1.452653925946781e-07,0.1468048943773871
1.483102514336103e-07,0.1494354901634365
1.514189325304352e-07,0.1520579752205991
1.545927736419479e-07,0.1546723745561079
1.578331405652117e-07,0.1572787131000933
1.61141427725302e-07,0.1598770157058209
1.645190587753661e-07,0.1624673071499272
1.679674872092653e-07,0.1650496121326575
1.714881969870541e-07,0.1676239552780996
1.750827031735723e-07,0.1701903611344202
1.787525525904236e-07,0.1727488541740988
1.824993244816151e-07,0.1752994587941595
1.86324631193156e-07,0.177842199316406
1.902301188668946e-07,0.1803770999876515
1.942174681489024e-07,0.1829041849799509
1.982883949127071e-07,0.1854234783908315
2.024446509976802e-07,0.1879350042435216
2.066880249629082e-07,0.1904387864871816
2.110203428568597e-07,0.1929348489971301
2.154434690031882e-07,0.1954232155750727
2.199593068030075e-07,0.1979039099493297
2.245697995539772e-07,0.2003769557750607
2.292769312865649e-07,0.2028423766344917
2.340827276178294e-07,0.2053001960371387
2.389892566231048e-07,0.2077504374200325
2.43998629725955e-07,0.2101931241479431
2.491130026067786e-07,0.2126282795136002
2.543345761304648e-07,0.2150559267379181
2.596655972934872e-07,0.2174760889702144
2.651083601908536e-07,0.2198887892884326
2.706652070033241e-07,0.2222940506993621
2.763385290053167e-07,0.2246918961388562
2.82130767593947e-07,0.2270823484720527
2.880444153396298e-07,0.2294654304935899
2.940820170587061e-07,0.2318411649278257
3.002461709085549e-07,0.2342095744290535
3.065395295056524e-07,0.2365706815817181
3.12964801067075e-07,0.2389245089006318
3.195247505759214e-07,0.241271078831188
3.262222009711673e-07,0.243610413749576
3.330600343624589e-07,0.2459425359629941
3.400411932703703e-07,0.2482674677098627
3.471686818926559e-07,0.2505852311600361
3.544455673970435e-07,0.2528958484150134
3.618749812411284e-07,0.2551993415081502
3.694601205199302e-07,0.2574957324048675
3.772042493416994e-07,0.2597850430028628
3.851107002325569e-07,0.2620672951323175
3.93182875570577e-07,0.2643425105561058
4.014242490499326e-07,0.2666107109700016
4.098383671757261e-07,0.2688719180028857
4.184288507901585e-07,0.2711261532169528
4.271993966306776e-07,0.2733734381079156
4.361537789208006e-07,0.2756137941052115
4.45295850994266e-07,0.2778472425722053
4.5462954695324e-07,0.2800738048063935
4.641588833612782e-07,0.2822935020396086
4.738879609717651e-07,0.2845063554382191
4.838209664925957e-07,0.2867123861033343
4.939621743878326e-07,0.2889116150710025
5.043159487171359e-07,0.2911040633124138
5.148867450137498e-07,0.2932897517340993
5.25679112201842e-07,0.2954687011781302
5.366976945540476e-07,0.2976409324223173
5.479472336900293e-07,0.2998064661804082
5.594325706169378e-07,0.3019653231022851
5.711586478126435e-07,0.3041175237741628
5.831305113526218e-07,0.3062630887187829
5.95353313081437e-07,0.3084020383956119
6.078323128297237e-07,0.310534393201034
6.205728806776501e-07,0.3126601734685474
6.335804992658255e-07,0.3147793994689571
6.468607661546321e-07,0.3168920914105685
6.604193962330305e-07,0.3189982694393809
6.742622241778349e-07,0.3210979536392781
6.883952069645496e-07,0.3231911640322205
7.028244264308353e-07,0.3252779205784372
7.175560918936921e-07,0.3273582431766144
7.32596542821523e-07,0.3294321516640868
7.479522515621828e-07,0.3314996658170257
7.636298261282241e-07,0.3335608053506276
7.796360130405236e-07,0.3356155899193033
7.959777002314978e-07,0.3376640391168639
8.126619200091945e-07,0.3397061724767089
8.296958520834915e-07,0.3417420094720112
8.470868266557403e-07,0.3437715695159037
8.648423275731727e-07,0.3457948719616647
8.829699955494083e-07,0.3478119361029008
9.014776314524917e-07,0.3498227811737333
9.20373199661823e-07,0.3518274263489795
9.396648314954691e-07,0.3538258907443359
9.593608287093148e-07,0.3558181934165623
9.794696670695385e-07,0.3578043533636608
1e-06,0.3597843895250593
1.020960662306047e-06,0.3617583207817907
1.042360673976401e-06,0.3637261659566728
1.064209244064725e-06,0.3656879438144897
1.086515774652537e-06,0.3676436730621677
1.109289864895223e-06,0.3695933723489571
1.132541315152813e-06,0.3715370602666069
1.156280131207375e-06,0.373474755349544
1.180516528568805e-06,0.3754064760750498
1.205260936870841e-06,0.3773322408634352
1.230524004359262e-06,0.3792520680782179
1.256316602474121e-06,0.3811659760262961
1.28264983052806e-06,0.3830739829581236
1.309535020482668e-06,0.3849761070678845
1.336983741824945e-06,0.3868723664936654
1.365007806546014e-06,0.3887627793176295
1.393619274224143e-06,0.3906473635661882
1.422830457214352e-06,0.3925261372101734
1.452653925946781e-06,0.3943991181650093
1.483102514336103e-06,0.3962663242908817
1.514189325304352e-06,0.3981277733929107
1.545927736419479e-06,0.3999834832213182
1.57833140565212e-06,0.4018334714715981
1.61141427725302e-06,0.4036777557846855
1.645190587753661e-06,0.4055163537471241
1.679674872092653e-06,0.4073492828912348
1.714881969870541e-06,0.4091765606952817
1.750827031735727e-06,0.4109982045836397
1.787525525904235e-06,0.4128142319269602
