#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,124435.7974822307
2,124435.5078411551
3,124435.2239639368
4,124434.9457358751
5,124434.673044552
6,124434.4057797861
7,124434.1438335891
8,124433.8871001214
9,124433.6354756497
10,124433.3888585049
11,124433.1471490414
12,124432.9102495962
13,124432.67806445
14,124432.4504997881
15,124432.227463663
16,124432.0088659568
17,124431.7946183451
18,124431.5846342606
19,124431.3788288596
20,124431.177118986
21,124430.9794231388
22,124430.7856614391
23,124430.5957555971
24,124430.4096288815
25,124430.2272060874
26,124430.048413507
27,124429.8731788989
28,124429.7014314595
29,124429.533101794
30,124429.3681218891
31,124429.2064250842
32,124429.0479460456
33,124428.8926207401
34,124428.7403864081
35,124428.5911815392
36,124428.4449458473
37,124428.3016202455
38,124428.1611468233
39,124428.0234688222
40,124427.8885306134
41,124427.7562776749
42,124427.6266565697
43,124427.4996149247
44,124427.3751014083
45,124427.253065711
46,124427.133458524
47,124427.0162315201
48,124426.9013373335
49,124426.7887295413
50,124426.678362644
51,124426.570192048
52,124426.464174047
53,124426.3602658041
54,124426.2584253352
55,124426.1586114916
56,124426.0607839438
57,124425.9649031638
58,124425.8709304115
59,124425.778827717
60,124425.6885578661
61,124425.6000843853
62,124425.5133715266
63,124425.428384254
64,124425.3450882278
65,124425.2634497929
66,124425.1834359625
67,124425.1050144074
68,124425.0281534413
69,124424.9528220085
70,124424.8789896714
71,124424.8066265974
72,124424.7357035487
73,124424.6661918686
74,124424.5980634711
75,124424.5312908289
76,124424.465846962
77,124424.401705428
78,124424.3388403107
79,124424.2772262092
80,124424.216838228
81,124424.1576519678
82,124424.0996435145
83,124424.0427894292
84,124423.9870667402
85,124423.9324529326
86,124423.8789259399
87,124423.8264641344
88,124423.7750463185
89,124423.7246517176
90,124423.6752599689
91,124423.6268511161
92,124423.5794055994
93,124423.5329042486
94,124423.4873282746
95,124423.4426592628
96,124423.3988791639
97,124423.3559702893
98,124423.3139153011
99,124423.2726972072
100,124423.2322993534
101,124423.1927054169
102,124423.1538993997
103,124423.1158656221
104,124423.0785887167
105,124423.0420536219
106,124423.0062455755
107,124422.9711501091
108,124422.9367530424
109,124422.9030404776
110,124422.8699987927
111,124422.8376146372
112,124422.8058749265
113,124422.7747668363
114,124422.7442777969
115,124422.7143954889
116,124422.6851078395
117,124422.6564030141
118,124422.6282694148
119,124422.6006956739
120,124422.5736706504
121,124422.547183425
122,124422.5212232954
123,124422.4957797726
124,124422.4708425757
125,124422.446401629
126,124422.4224470571
127,124422.3989691811
128,124422.375958515
129,124422.3534057611
130,124422.331301807
131,124422.3096377216
132,124422.2884047515
133,124422.2675943175
134,124422.247198011
135,124422.2272075912
136,124422.207614981
137,124422.1884122632
138,124422.1695916799
139,124422.151145626
140,124422.1330666484
141,124422.1153474425
142,124422.0979808493
143,124422.0809598506
144,124422.0642775699
145,124422.047927267
146,124422.0319023352
147,124422.0161962988
148,124422.0008028132
149,124421.9857156583
150,124421.9709287368
151,124421.9564360755
152,124421.9422318181
153,124421.9283102254
154,124421.9146656725
155,124421.901292646
156,124421.8881857426
157,124421.875339667
158,124421.8627492283
159,124421.8504093394
160,124421.8383150137
161,124421.8264613658
162,124421.8148436049
163,124421.8034570378
164,124421.7922970633
165,124421.781359172
166,124421.7706389451
167,124421.7601320504
168,124421.7498342436
169,124421.7397413626
170,124421.72984933
171,124421.7201541489
172,124421.7106519018
173,124421.701338749
174,124421.6922109286
175,124421.6832647514
176,124421.6744966037
177,124421.6659029419
178,124421.6574802934
179,124421.6492252563
180,124421.6411344942
181,124421.6332047386
182,124421.6254327846
183,124421.6178154924
184,124421.6103497848
185,124421.6030326445
186,124421.5958611155
187,124421.5888322998
188,124421.5819433577
189,124421.5751915049
190,124421.5685740147
191,124421.5620882122
192,124421.5557314772
193,124421.5495012414
194,124421.5433949874
195,124421.5374102471
196,124421.5315446042
197,124421.5257956868
198,124421.5201611729
199,124421.514638786
200,124421.5092262949
201,124421.503921512
202,124421.4987222942
203,124421.4936265412
204,124421.4886321935
205,124421.4837372333
206,124421.4789396825
207,124421.4742376038
208,124421.4696290959
209,124421.465112297
210,124421.4606853828
211,124421.4563465645
212,124421.4520940882
213,124421.4479262362
214,124421.4438413247
215,124421.4398377024
216,124421.4359137531
217,124421.4320678893
218,124421.4282985589
219,124421.4246042381
220,124421.4209834343
221,124421.4174346843
222,124421.4139565545
223,124421.4105476394
224,124421.4072065621
225,124421.4039319718
226,124421.4007225459
227,124421.3975769876
228,124421.3944940263
229,124421.3914724157
230,124421.3885109347
231,124421.3856083877
232,124421.382763601
233,124421.3799754256
234,124421.3772427354
235,124421.3745644253
236,124421.3719394138
237,124421.3693666397
238,124421.3668450637
239,124421.3643736675
240,124421.3619514523
241,124421.3595774386
242,124421.3572506682
243,124421.3549702002
244,124421.3527351136
245,124421.350544505
246,124421.34839749
247,124421.3462932004
248,124421.344230786
249,124421.3422094138
250,124421.3402282671
251,124421.3382865449
252,124421.3363834629
253,124421.3345182524
254,124421.3326901596
255,124421.3308984457
256,124421.3291423875
257,124421.327421274
258,124421.325734411
259,124421.3240811167
260,124421.3224607224
261,124421.3208725747
262,124421.319316031
263,124421.3177904624
264,124421.3162952529
265,124421.3148297974
266,124421.3133935047
267,124421.3119857945
268,124421.3106060971
269,124421.3092538568
270,124421.3079285252
271,124421.3066295675
272,124421.3053564601
273,124421.3041086868
274,124421.3028857442
275,124421.3016871384
276,124421.3005123847
277,124421.2993610084
278,124421.2982325449
279,124421.2971265373
280,124421.2960425397
281,124421.2949801135
282,124421.2939388296
283,124421.2929182674
284,124421.2919180139
285,124421.2909376661
286,124421.2899768268
287,124421.2890351083
288,124421.2881121302
289,124421.287207519
290,124421.2863209097
291,124421.2854519441
292,124421.284600271
293,124421.2837655457
294,124421.2829474316
295,124421.2821455982
296,124421.2813597209
297,124421.2805894828
298,124421.2798345726
299,124421.2790946849
300,124421.2783695207
301,124421.2776587881
302,124421.2769621985
303,124421.2762794709
304,124421.2756103298
305,124421.2749545042
306,124421.2743117303
307,124421.2736817472
308,124421.2730643008
309,124421.2724591413
310,124421.2718660252
311,124421.2712847112
312,124421.2707149661
313,124421.2701565585
314,124421.269609263
315,124421.2690728592
316,124421.2685471294
317,124421.2680318616
318,124421.2675268484
319,124421.267031884
320,124421.2665467699
321,124421.2660713096
322,124421.2656053109
323,124421.2651485855
324,124421.264700949
325,124421.2642622204
326,124421.2638322224
327,124421.2634107815
328,124421.2629977272
329,124421.2625928924
330,124421.2621961146
331,124421.2618072324
332,124421.2614260888
333,124421.2610525296
334,124421.2606864048
335,124421.2603275652
336,124421.2599758675
337,124421.2596311678
338,124421.2592933279
339,124421.2589622108
340,124421.258637683
341,124421.2583196137
342,124421.2580078739
343,124421.2577023368
344,124421.2574028808
345,124421.2571093834
346,124421.2568217275
347,124421.2565397951
348,124421.2562634738
349,124421.2559926506
350,124421.255727217
351,124421.2554670656
352,124421.2552120913
353,124421.2549621913
354,124421.2547172638
355,124421.2544772108
356,124421.2542419342
357,124421.2540113402
358,124421.2537853344
359,124421.2535638272
360,124421.2533467269
361,124421.2531339475
362,124421.2529254018
363,124421.2527210066
364,124421.2525206793
365,124421.2523243381
366,124421.2521319037
367,124421.2519432991
368,124421.2517584478
369,124421.2515772749
370,124421.2513997074
371,124421.2512256731
372,124421.2510551026
373,124421.2508879265
374,124421.2507240767
375,124421.2505634883
376,124421.2504060948
377,124421.2502518337
378,124421.2501006423
379,124421.2499524596
380,124421.2498072265
381,124421.2496648825
382,124421.2495253718
383,124421.2493886372
384,124421.2492546235
385,124421.249123277
386,124421.2489945433
387,124421.2488683724
388,124421.2487447122
389,124421.2486235129
390,124421.2485047249
391,124421.248388301
392,124421.2482741943
393,124421.2481623579
394,124421.248052747
395,124421.2479453176
396,124421.2478400259
397,124421.2477368295
398,124421.247635687
399,124421.2475365571
400,124421.2474393999
401,124421.2473441761
402,124421.2472508473
403,124421.2471593756
404,124421.247069724
405,124421.2469818569
406,124421.2468957377
407,124421.246811333
408,124421.2467286074
409,124421.2466475286
410,124421.2465680632
411,124421.2464901784
412,124421.2464138441
413,124421.2463390293
414,124421.2462657026
415,124421.2461938352
416,124421.2461233984
417,124421.2460543625
418,124421.2459867008
419,124421.2459203857
420,124421.2458553902
421,124421.2457916882
422,124421.2457292534
423,124421.2456680616
424,124421.2456080877
425,124421.245549307
426,124421.2454916961
427,124421.2454352311
428,124421.2453798906
429,124421.2453256508
430,124421.2452724904
431,124421.2452203882
432,124421.2451693222
433,124421.2451192728
434,124421.2450702199
435,124421.2450221423
436,124421.2449750217
437,124421.2449288392
438,124421.2448835754
439,124421.2448392123
440,124421.2447957319
441,124421.2447531176
442,124421.2447113506
443,124421.2446704149
444,124421.2446302939
445,124421.2445909706
446,124421.2445524306
447,124421.2445146574
448,124421.2444776358
449,124421.2444413513
450,124421.2444057883
451,124421.2443709335
452,124421.2443367721
453,124421.2443032903
454,124421.2442704749
455,124421.2442383127
456,124421.2442067906
457,124421.244175895
458,124421.2441456157
459,124421.2441159378
460,124421.2440868501
461,124421.2440583424
462,124421.2440304014
463,124421.2440030163
464,124421.243976177
465,124421.2439498705
466,124421.2439240888
467,124421.2438988191
468,124421.2438740526
469,124421.2438497793
470,124421.2438259891
471,124421.2438026718
472,124421.2437798187
473,124421.2437574205
474,124421.2437354682
475,124421.2437139522
476,124421.2436928651
477,124421.2436721968
478,124421.2436519399
479,124421.2436320865
480,124421.2436126283
481,124421.2435935573
482,124421.243574865
483,124421.2435565456
484,124421.2435385903
485,124421.2435209926
486,124421.2435037447
487,124421.2434868403
488,124421.2434702723
489,124421.2434540339
490,124421.2434381193
491,124421.2434225206
492,124421.2434072326
493,124421.243392249
494,124421.2433775626
495,124421.2433631695
496,124421.2433490621
497,124421.2433352362
498,124421.2433216851
499,124421.2433084039
500,124421.2432953864
501,124421.2432826284
502,124421.2432701241
503,124421.2432578687
504,124421.243245857
505,124421.2432340846
506,124421.2432225462
507,124421.2432112381
508,124421.2432001541
509,124421.2431892912
510,124421.2431786448
511,124421.2431682092
512,124421.2431579819
513,124421.2431479588
514,124421.2431381342
515,124421.2431285053
516,124421.2431190679
517,124421.2431098184
518,124421.2431007534
519,124421.2430918683
520,124421.2430831607
521,124421.2430746255
522,124421.2430662606
523,124421.243058062
524,124421.2430500265
525,124421.243042151
526,124421.2430344321
527,124421.2430268668
528,124421.2430194526
529,124421.2430121858
530,124421.2430050631
531,124421.2429980818
532,124421.2429912405
533,124421.2429845346
534,124421.2429779628
535,124421.2429715212
536,124421.242965208
537,124421.2429590207
538,124421.2429529559
539,124421.2429470118
540,124421.2429411864
541,124421.242935477
542,124421.2429298806
543,124421.2429243962
544,124421.242919021
545,124421.2429137522
546,124421.2429085884
547,124421.242903528
548,124421.2428985677
549,124421.2428937066
550,124421.2428889414
551,124421.2428842714
552,124421.2428796943
553,124421.2428752087
554,124421.2428708118
555,124421.2428665024
556,124421.2428622793
557,124421.2428581401
558,124421.2428540828
559,124421.242850107
560,124421.2428462097
561,124421.2428423903
562,124421.2428386468
563,124421.242834977
564,124421.2428313815
565,124421.2428278572
566,124421.2428244022
567,124421.2428210168
568,124421.2428176989
569,124421.2428144463
570,124421.2428112591
571,124421.2428081351
572,124421.2428050726
573,124421.242802072
574,124421.2427991312
575,124421.2427962477
576,124421.2427934225
577,124421.2427906532
578,124421.2427879394
579,124421.2427852797
580,124421.2427826727
581,124421.2427801172
582,124421.2427776129
583,124421.2427751582
584,124421.2427727523
585,124421.2427703948
586,124421.2427680841
587,124421.2427658192
588,124421.2427635995
589,124421.2427614234
590,124421.2427592914
591,124421.242757201
592,124421.242755153
593,124421.2427531453
594,124421.2427511779
595,124421.2427492494
596,124421.2427473591
597,124421.2427455067
598,124421.2427436906
599,124421.2427419115
600,124421.2427401675
601,124421.2427384578
602,124421.2427367829
603,124421.2427351406
604,124421.2427335308
605,124421.2427319539
606,124421.2427304081
607,124421.2427288922
608,124421.2427274075
609,124421.2427259518
610,124421.2427245256
611,124421.2427231273
612,124421.2427217575
613,124421.2427204142
614,124421.2427190978
615,124421.2427178079
616,124421.2427165434
617,124421.2427153042
618,124421.2427140891
619,124421.2427128989
620,124421.2427117323
621,124421.2427105883
622,124421.2427094675
623,124421.2427083695
624,124421.2427072927
625,124421.2427062375
626,124421.2427052029
627,124421.2427041893
628,124421.242703196
629,124421.2427022223
630,124421.2427012685
631,124421.2427003328
632,124421.242699416
633,124421.2426985174
634,124421.2426976368
635,124421.2426967737
636,124421.242695928
637,124421.2426950986
638,124421.2426942864
639,124421.2426934897
640,124421.2426927097
641,124421.2426919445
642,124421.2426911941
643,124421.2426904595
644,124421.2426897396
645,124421.2426890334
646,124421.2426883418
647,124421.2426876637
648,124421.2426869988
649,124421.2426863475
650,124421.2426857095
651,124421.2426850836
652,124421.2426844698
653,124421.2426838689
654,124421.2426832802
655,124421.2426827024
656,124421.2426821362
657,124421.2426815819
658,124421.2426810387
659,124421.2426805054
660,124421.2426799834
661,124421.2426794718
662,124421.2426789698
663,124421.242678478
664,124421.2426779961
665,124421.2426775238
666,124421.242677061
667,124421.2426766075
668,124421.242676163
669,124421.2426757271
670,124421.2426753002
671,124421.2426748813
672,124421.2426744711
673,124421.2426740687
674,124421.2426736748
675,124421.2426732883
676,124421.2426729104
677,124421.242672539
678,124421.2426721752
679,124421.2426718187
680,124421.2426714693
681,124421.2426711272
682,124421.2426707915
683,124421.2426704623
684,124421.2426701401
685,124421.2426698241
686,124421.2426695149
687,124421.2426692114
688,124421.2426689136
689,124421.2426686218
690,124421.2426683364
691,124421.2426680565
692,124421.2426677815
693,124421.2426675125
694,124421.2426672491
695,124421.2426669904
696,124421.2426667372
697,124421.242666489
698,124421.2426662459
699,124421.2426660075
700,124421.2426657731
701,124421.2426655445
702,124421.2426653198
703,124421.2426650999
704,124421.2426648837
705,124421.242664673
706,124421.2426644657
707,124421.2426642626
708,124421.2426640637
709,124421.2426638684
710,124421.2426636773
711,124421.2426634899
712,124421.2426633066
713,124421.2426631262
714,124421.2426629495
715,124421.2426627771
716,124421.2426626075
717,124421.2426624414
718,124421.2426622783
719,124421.2426621191
720,124421.2426619624
721,124421.2426618095
722,124421.242661659
723,124421.2426615118
724,124421.2426613677
725,124421.242661226
726,124421.2426610875
727,124421.2426609513
728,124421.2426608186
729,124421.2426606879
730,124421.2426605599
731,124421.2426604349
732,124421.2426603122
733,124421.2426601913
734,124421.2426600731
735,124421.2426599578
736,124421.2426598441
737,124421.2426597329
738,124421.2426596244
739,124421.2426595178
740,124421.2426594127
741,124421.2426593103
742,124421.2426592094
743,124421.2426591113
744,124421.2426590145
745,124421.2426589202
746,124421.2426588271
747,124421.2426587365
748,124421.2426586474
749,124421.2426585598
750,124421.2426584741
751,124421.2426583902
752,124421.2426583084
753,124421.2426582277
754,124421.2426581488
755,124421.2426580709
756,124421.2426579954
757,124421.2426579213
758,124421.2426578481
759,124421.2426577767
760,124421.2426577064
761,124421.2426576381
762,124421.2426575705
763,124421.2426575047
764,124421.2426574402
765,124421.2426573767
766,124421.2426573144
767,124421.2426572537
768,124421.2426571947
769,124421.2426571357
770,124421.2426570786
771,124421.2426570225
772,124421.2426569673
773,124421.2426569133
774,124421.2426568606
775,124421.2426568087
776,124421.2426567584
777,124421.2426567083
778,124421.2426566597
779,124421.2426566118
780,124421.2426565648
781,124421.2426565189
782,124421.2426564736
783,124421.2426564297
784,124421.2426563864
785,124421.242656344
786,124421.2426563025
787,124421.2426562616
788,124421.2426562219
789,124421.2426561825
790,124421.2426561444
791,124421.2426561065
792,124421.2426560702
793,124421.2426560338
794,124421.2426559982
795,124421.2426559638
796,124421.2426559301
