#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,2.245981178816692e-13
1.020960662306048e-08,2.293720768875573e-13
1.042360673976401e-08,2.341460358934455e-13
1.064209244064725e-08,2.390310172017962e-13
1.086515774652537e-08,2.440270208126094e-13
1.109289864895223e-08,2.491340467258851e-13
1.132541315152813e-08,2.544631172440859e-13
1.156280131207375e-08,2.597921877622866e-13
1.180516528568806e-08,2.652322805829499e-13
1.205260936870841e-08,2.707833957060757e-13
1.230524004359262e-08,2.76445533131664e-13
1.256316602474122e-08,2.822186928597148e-13
1.28264983052806e-08,2.881028748902281e-13
1.309535020482668e-08,2.942091015256665e-13
1.336983741824945e-08,3.003153281611048e-13
1.365007806546014e-08,3.066435994014682e-13
1.393619274224144e-08,3.130828929442941e-13
1.422830457214352e-08,3.196332087895826e-13
1.452653925946781e-08,3.262945469373335e-13
1.483102514336103e-08,3.331779296900095e-13
1.514189325304352e-08,3.40172334745148e-13
1.545927736419478e-08,3.47277762102749e-13
1.578331405652117e-08,3.544942117628125e-13
1.61141427725302e-08,3.61932706027801e-13
1.645190587753661e-08,3.695932448977146e-13
1.679674872092653e-08,3.773648060700907e-13
1.714881969870541e-08,3.852473895449293e-13
1.750827031735723e-08,3.93352017624693e-13
1.787525525904235e-08,4.015676680069191e-13
1.824993244816151e-08,4.100053629940703e-13
1.86324631193156e-08,4.18554080283684e-13
1.902301188668946e-08,4.273248421782228e-13
1.942174681489025e-08,4.363176486776865e-13
1.982883949127072e-08,4.454214774796128e-13
2.024446509976802e-08,4.547473508864641e-13
2.066880249629082e-08,4.642952688982405e-13
2.110203428568597e-08,4.740652315149418e-13
2.154434690031882e-08,4.839462164341057e-13
2.199593068030075e-08,4.941602682606572e-13
2.245697995539776e-08,5.044853423896711e-13
2.292769312865649e-08,5.150324611236101e-13
2.340827276178294e-08,5.258016244624741e-13
2.389892566231048e-08,5.369038547087257e-13
2.43998629725955e-08,5.481171072574398e-13
2.491130026067791e-08,5.595524044110789e-13
2.543345761304648e-08,5.713207684721056e-13
2.596655972934873e-08,5.833111771380572e-13
2.651083601908536e-08,5.95523630408934e-13
2.706652070033241e-08,6.079581282847357e-13
2.763385290053173e-08,6.20725693067925e-13
2.821307675939471e-08,6.337153024560394e-13
2.880444153396298e-08,6.470379787515412e-13
2.940820170587061e-08,6.605826996519681e-13
3.002461709085549e-08,6.744604874597826e-13
3.06539529505653e-08,6.885603198725221e-13
3.12964801067075e-08,7.029932191926491e-13
3.195247505759214e-08,7.177591854201637e-13
3.262222009711667e-08,7.328582185550658e-13
3.330600343624589e-08,7.48179296294893e-13
3.40041193270371e-08,7.638334409421077e-13
3.471686818926559e-08,7.7982065249671e-13
3.544455673970436e-08,7.962519532611623e-13
3.618749812411276e-08,8.129052986305396e-13
3.694601205199302e-08,8.298917109073045e-13
3.772042493417001e-08,8.473222123939195e-13
3.851107002325569e-08,8.65085780787922e-13
3.93182875570577e-08,8.83182416089312e-13
4.014242490499318e-08,9.017231406005521e-13
4.098383671757262e-08,9.205969320191798e-13
4.184288507901584e-08,9.399148126476575e-13
4.271993966306777e-08,9.596767824859853e-13
4.361537789208006e-08,9.797718192317006e-13
4.45295850994266e-08,1.000310945187266e-12
4.546295469532399e-08,1.021294160352682e-12
4.641588833612782e-08,1.042721464727947e-12
4.738879609717651e-08,1.0644818360106e-12
4.838209664925958e-08,1.086797318805566e-12
4.939621743878326e-08,1.109667913112844e-12
5.043159487171359e-08,1.13287157432751e-12
5.148867450137498e-08,1.156630347054488e-12
5.256791122018419e-08,1.180833208991316e-12
5.366976945540476e-08,1.205591182440457e-12
5.479472336900293e-08,1.230904267401911e-12
5.594325706169378e-08,1.256661441573215e-12
5.711586478126435e-08,1.282973727256831e-12
5.831305113526219e-08,1.309952146755222e-12
5.95353313081437e-08,1.337374655463464e-12
6.078323128297236e-08,1.36546329798648e-12
6.2057288067765e-08,1.393996029719347e-12
6.335804992658255e-08,1.423194895266988e-12
6.46860766154632e-08,1.453059894629405e-12
6.604193962330306e-08,1.483591027806597e-12
6.742622241778349e-08,1.514677272496101e-12
6.883952069645497e-08,1.546429651000381e-12
7.028244264308353e-08,1.578848163319435e-12
7.175560918936921e-08,1.611932809453265e-12
7.32596542821523e-08,1.64568358940187e-12
7.479522515621828e-08,1.680211525467712e-12
7.636298261282242e-08,1.715405595348329e-12
7.796360130405237e-08,1.751376821346184e-12
7.959777002314978e-08,1.788014181158815e-12
8.126619200091946e-08,1.825539719391145e-12
8.296958520834915e-08,1.863842413740713e-12
8.470868266557402e-08,1.902811241905056e-12
8.648423275731727e-08,1.942779270791561e-12
8.829699955494083e-08,1.983413433492842e-12
9.014776314524918e-08,2.025046796916286e-12
9.20373199661823e-08,2.067457316456967e-12
9.396648314954691e-08,2.11086703671981e-12
9.593608287093146e-08,2.155053913099891e-12
9.794696670695386e-08,2.200239990202135e-12
1e-07,2.246314245724079e-12
1.020960662306048e-07,2.293387701968186e-12
1.042360673976401e-07,2.341460358934455e-12
1.064209244064725e-07,2.39064323892535e-12
1.086515774652537e-07,2.440714297335944e-12
1.109289864895223e-07,2.491895578771164e-12
1.132541315152813e-07,2.544076060928546e-12
1.156280131207375e-07,2.597366766110554e-12
1.180516528568806e-07,2.651878716619649e-12
1.205260936870841e-07,2.707500890153369e-12
1.230524004359261e-07,2.764233286711715e-12
1.256316602474121e-07,2.822186928597148e-12
1.28264983052806e-07,2.881250793507206e-12
1.309535020482668e-07,2.941646926046815e-12
1.336983741824945e-07,3.003375326215973e-12
1.365007806546014e-07,3.06632497171222e-12
1.393619274224144e-07,3.130606884838016e-12
1.422830457214352e-07,3.196221065593363e-12
1.452653925946781e-07,3.26316751397826e-12
1.483102514336103e-07,3.33155725229517e-12
1.514189325304352e-07,3.401390280544092e-12
1.545927736419479e-07,3.472666598725027e-12
1.578331405652117e-07,3.545497229140437e-12
1.61141427725302e-07,3.61977114948786e-12
1.645190587753661e-07,3.695710404372221e-12
1.679674872092653e-07,3.773203971491057e-12
1.714881969870541e-07,3.852251850844368e-12
1.750827031735723e-07,3.932965064734617e-12
1.787525525904236e-07,4.015454635464266e-12
1.824993244816151e-07,4.099609540730853e-12
1.86324631193156e-07,4.18554080283684e-12
1.902301188668946e-07,4.273248421782228e-12
1.942174681489024e-07,4.362843419869478e-12
1.982883949127071e-07,4.454214774796128e-12
2.024446509976802e-07,4.547584531167104e-12
2.066880249629082e-07,4.642952688982405e-12
2.110203428568597e-07,4.740319248242031e-12
2.154434690031882e-07,4.839684208945982e-12
2.199593068030075e-07,4.941047571094259e-12
2.245697995539772e-07,5.044631379291786e-12
2.292769312865649e-07,5.150324611236101e-12
2.340827276178294e-07,5.258349311532129e-12
2.389892566231048e-07,5.368594457877407e-12
2.43998629725955e-07,5.481060050271935e-12
2.491130026067786e-07,5.595968133320639e-12
2.543345761304648e-07,5.713207684721056e-12
2.596655972934872e-07,5.83300074907811e-12
2.651083601908536e-07,5.95523630408934e-12
2.706652070033241e-07,6.08013639435967e-12
2.763385290053167e-07,6.207589997586638e-12
2.82130767593947e-07,6.337708136072706e-12
2.880444153396298e-07,6.470490809817875e-12
2.940820170587061e-07,6.606160063427069e-12
3.002461709085549e-07,6.744604874597826e-12
3.065395295056524e-07,6.885936265632608e-12
3.12964801067075e-07,7.030265258833879e-12
3.195247505759214e-07,7.1777028765041e-12
3.262222009711673e-07,7.328138096340808e-12
3.330600343624589e-07,7.481681940646467e-12
3.400411932703703e-07,7.638556454026002e-12
3.471686818926559e-07,7.79865061417695e-12
3.544455673970435e-07,7.962075443401773e-12
3.618749812411284e-07,8.129052986305396e-12
3.694601205199302e-07,8.299361198282895e-12
3.772042493416994e-07,8.473333146241657e-12
3.851107002325569e-07,8.650968830181682e-12
3.93182875570577e-07,8.83226825010297e-12
4.014242490499326e-07,9.017453450610446e-12
4.098383671757261e-07,9.206413409401648e-12
4.184288507901585e-07,9.3993701710815e-12
4.271993966306776e-07,9.596434757952466e-12
4.361537789208006e-07,9.797607170014544e-12
4.45295850994266e-07,1.000288740726774e-11
4.5462954695324e-07,1.021260853661943e-11
4.641588833612782e-07,1.042665953576716e-11
4.738879609717651e-07,1.064526244931585e-11
4.838209664925957e-07,1.086830625496304e-11
4.939621743878326e-07,1.109612401961613e-11
5.043159487171359e-07,1.13287157432751e-11
5.148867450137498e-07,1.156619244824242e-11
5.25679112201842e-07,1.180866515682055e-11
5.366976945540476e-07,1.20561338690095e-11
5.479472336900293e-07,1.230882062941419e-11
5.594325706169378e-07,1.256683646033707e-11
5.711586478126435e-07,1.283029238408062e-11
5.831305113526218e-07,1.309918840064483e-11
5.95353313081437e-07,1.337374655463464e-11
6.078323128297237e-07,1.365407786835249e-11
6.205728806776501e-07,1.394029336410085e-11
6.335804992658255e-07,1.423250406418219e-11
6.468607661546321e-07,1.453082099089897e-11
6.604193962330305e-07,1.483535516655365e-11
6.742622241778349e-07,1.514632863575116e-11
6.883952069645496e-07,1.546385242079396e-11
7.028244264308353e-07,1.578792652168204e-11
7.175560918936921e-07,1.61188840053228e-11
7.32596542821523e-07,1.645672487171623e-11
7.479522515621828e-07,1.680167116546727e-11
7.636298261282241e-07,1.715383390887837e-11
7.796360130405236e-07,1.751343514655446e-11
7.959777002314978e-07,1.788047487849553e-11
8.126619200091945e-07,1.825528617160899e-11
8.296958520834915e-07,1.863798004819728e-11
8.470868266557403e-07,1.902855650826041e-11
8.648423275731727e-07,1.942745964100823e-11
8.829699955494083e-07,1.983468944644073e-11
9.014776314524917e-07,2.025035694686039e-11
9.20373199661823e-07,2.067490623147705e-11
9.396648314954691e-07,2.110822627798825e-11
9.593608287093148e-07,2.155065015330138e-11
9.794696670695385e-07,2.200239990202135e-11
