#Pareto aproximation (linear regression) vs Original set
#ParetoLr(x), ParetoLr(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,-0.0001697951494130656
5.148867450137498e-08,-0.0005797209512274915
5.256791122018419e-08,-0.0009898147636775434
5.366976945540476e-08,-0.00140007665562325
5.479472336900293e-08,-0.001810506695953285
5.594325706169378e-08,-0.002221104953584296
5.711586478126435e-08,-0.002631871497460914
5.831305113526219e-08,-0.00304280639655663
5.95353313081437e-08,-0.003453909719872694
6.078323128297236e-08,-0.003865181536439
6.2057288067765e-08,-0.004276621915313195
6.335804992658255e-08,-0.004688230925581793
6.46860766154632e-08,-0.00510000863635951
6.604193962330306e-08,-0.005511955116789258
6.742622241778349e-08,-0.005924070436042372
6.883952069645497e-08,-0.006336354663318167
7.028244264308353e-08,-0.006748807867845041
7.175560918936921e-08,-0.007161430118879153
7.32596542821523e-08,-0.007574221485705523
7.479522515621828e-08,-0.007987182037636931
7.636298261282242e-08,-0.008400311844015018
7.796360130405237e-08,-0.008813610974210073
7.959777002314978e-08,-0.009227079497620139
8.126619200091946e-08,-0.009640717483672567
8.296958520834915e-08,-0.01005452500182202
8.470868266557402e-08,-0.0104685021215527
8.648423275731727e-08,-0.010882648912377
8.829699955494083e-08,-0.01129696544383529
9.014776314524918e-08,-0.01171145178549704
9.20373199661823e-08,-0.0121261080069599
9.396648314954691e-08,-0.01254093417785018
9.593608287093146e-08,-0.01295593036782283
9.794696670695386e-08,-0.01337109664656122
1e-07,-0.01378643308377714
1.020960662306048e-07,-0.01420193974921125
1.042360673976401e-07,-0.01461761671263262
1.064209244064725e-07,-0.01503346404383876
1.086515774652537e-07,-0.01544948181265626
1.109289864895223e-07,-0.01586567008893969
1.132541315152813e-07,-0.01628202894257291
1.156280131207375e-07,-0.01669855844346779
1.180516528568806e-07,-0.01711525866156549
1.205260936870841e-07,-0.01753212966683537
1.230524004359261e-07,-0.01794917152927566
1.256316602474121e-07,-0.01836638431891324
1.28264983052806e-07,-0.0187837681058034
1.309535020482668e-07,-0.01920132296003096
1.336983741824945e-07,-0.0196190489517083
1.365007806546014e-07,-0.02003694615097773
1.393619274224144e-07,-0.02045501462800958
1.422830457214352e-07,-0.02087325445300281
1.452653925946781e-07,-0.0212916656961859
1.483102514336103e-07,-0.0217102484278151
1.514189325304352e-07,-0.02212900271817664
1.545927736419479e-07,-0.02254792863758448
1.578331405652117e-07,-0.02296702625638214
1.61141427725302e-07,-0.02338629564494155
1.645190587753661e-07,-0.0238057368736635
1.679674872092653e-07,-0.0242253500129781
1.714881969870541e-07,-0.02464513513334343
1.750827031735723e-07,-0.02506509230524756
1.787525525904236e-07,-0.02548522159920652
1.824993244816151e-07,-0.02590552308576566
1.86324631193156e-07,-0.02632599683549919
1.902301188668946e-07,-0.02674664291901041
1.942174681489024e-07,-0.02716746140693105
1.982883949127071e-07,-0.02758845236992258
2.024446509976802e-07,-0.02800961587867445
2.066880249629082e-07,-0.02843095200390611
2.110203428568597e-07,-0.02885246081636539
2.154434690031882e-07,-0.02927414238682902
2.199593068030075e-07,-0.02969599678610302
2.245697995539772e-07,-0.03011802408502229
2.292769312865649e-07,-0.03054022435445103
2.340827276178294e-07,-0.03096259766528209
2.389892566231048e-07,-0.03138514408843762
2.43998629725955e-07,-0.03180786369486888
2.491130026067786e-07,-0.03223075655555574
2.543345761304648e-07,-0.03265382274150808
2.596655972934872e-07,-0.03307706232376395
2.651083601908536e-07,-0.03350047537339118
2.706652070033241e-07,-0.03392406196148601
2.763385290053167e-07,-0.03434782215917465
2.82130767593947e-07,-0.03477175603761218
2.880444153396298e-07,-0.03519586366798233
2.940820170587061e-07,-0.03562014512149858
3.002461709085549e-07,-0.03604460046940328
3.065395295056524e-07,-0.03646922978296852
3.12964801067075e-07,-0.03689403313349482
3.195247505759214e-07,-0.03731901059231268
3.262222009711673e-07,-0.03774416223078103
3.330600343624589e-07,-0.03816948812028875
3.400411932703703e-07,-0.03859498833225361
3.471686818926559e-07,-0.03902066293812267
3.544455673970435e-07,-0.03944651200937277
3.618749812411284e-07,-0.03987253561750914
3.694601205199302e-07,-0.04029873383406701
3.772042493416994e-07,-0.04072510673061069
3.851107002325569e-07,-0.04115165437873403
3.93182875570577e-07,-0.04157837685005994
4.014242490499326e-07,-0.04200527421624067
4.098383671757261e-07,-0.042432346548958
4.184288507901585e-07,-0.04285959391992322
4.271993966306776e-07,-0.04328701640087651
4.361537789208006e-07,-0.04371461406358823
4.45295850994266e-07,-0.0441423869798574
4.5462954695324e-07,-0.04457033522151299
4.641588833612782e-07,-0.04499845886041287
4.738879609717651e-07,-0.04542675796844509
4.838209664925957e-07,-0.04585523261752633
4.939621743878326e-07,-0.04628388287960372
5.043159487171359e-07,-0.04671270882665279
5.148867450137498e-07,-0.0471417105306795
5.25679112201842e-07,-0.04757088806371867
5.366976945540476e-07,-0.04800024149783511
5.479472336900293e-07,-0.0484297709051229
5.594325706169378e-07,-0.04885947635770571
5.711586478126435e-07,-0.04928935792773692
5.831305113526218e-07,-0.04971941568739924
5.95353313081437e-07,-0.05014964970890512
6.078323128297237e-07,-0.05058006006449633
6.205728806776501e-07,-0.05101064682644507
6.335804992658255e-07,-0.05144141006705194
6.468607661546321e-07,-0.05187234985864819
6.604193962330305e-07,-0.05230346627359439
6.742622241778349e-07,-0.05273475938428041
6.883952069645496e-07,-0.05316622926312631
7.028244264308353e-07,-0.0535978759825817
7.175560918936921e-07,-0.05402969961512571
7.32596542821523e-07,-0.05446170023326702
7.479522515621828e-07,-0.0548938779095447
7.636298261282241e-07,-0.0553262327165267
7.796360130405236e-07,-0.05575876472681163
7.959777002314978e-07,-0.05619147401302671
8.126619200091945e-07,-0.05662436064783027
8.296958520834915e-07,-0.05705742470390951
8.470868266557403e-07,-0.05749066625398136
8.648423275731727e-07,-0.05792408537079297
8.829699955494083e-07,-0.05835768212712122
9.014776314524917e-07,-0.05879145659577301
9.20373199661823e-07,-0.05922540884958449
9.396648314954691e-07,-0.05965953896142207
9.593608287093148e-07,-0.06009384700418208
9.794696670695385e-07,-0.06052833305079064
1e-06,-0.06096299717420361
1.020960662306047e-06,-0.06139783944740684
1.042360673976401e-06,-0.06183285994341636
1.064209244064725e-06,-0.06226805873527752
1.086515774652537e-06,-0.06270343589606631
1.109289864895223e-06,-0.06313899149888846
1.132541315152813e-06,-0.06357472561687905
1.156280131207375e-06,-0.06401063832320397
1.180516528568805e-06,-0.06444672969105869
1.205260936870841e-06,-0.06488299979366863
1.230524004359262e-06,-0.06531944870428963
1.256316602474121e-06,-0.06575607649620707
1.28264983052806e-06,-0.06619288324273653
1.309535020482668e-06,-0.06662986901722379
1.336983741824945e-06,-0.06706703389304436
1.365007806546014e-06,-0.06750437794360442
1.393619274224143e-06,-0.06794190124233945
1.422830457214352e-06,-0.06837960386271558
1.452653925946781e-06,-0.06881748587822889
1.483102514336103e-06,-0.06925554736240547
