#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,275658.9236287192
2,275658.7119135253
3,275658.5019933102
4,275658.2938324302
5,275658.0873959101
6,275657.882649501
7,275657.6795596241
8,275657.4780933664
9,275657.2782184839
10,275657.0799033617
11,275656.8831170048
12,275656.6878290568
13,275656.4940097712
14,275656.3016299551
15,275656.1106610307
16,275655.9210749763
17,275655.7328443249
18,275655.5459421671
19,275655.3603421181
20,275655.1760183327
21,275654.9929454543
22,275654.8110986717
23,275654.6304536143
24,275654.4509864383
25,275654.2726737679
26,275654.0954926781
27,275653.9194206978
28,275653.7444358372
29,275653.5705164928
30,275653.3976415389
31,275653.2257902405
32,275653.0549422824
33,275652.8850777628
34,275652.7161771613
35,275652.5482213594
36,275652.381191609
37,275652.2150695425
38,275652.0498371591
39,275651.8854767907
40,275651.7219711766
41,275651.5593033263
42,275651.3974566559
43,275651.2364148678
44,275651.0761620063
45,275650.9166824183
46,275650.7579607998
47,275650.599982103
48,275650.4427316051
49,275650.2861948724
50,275650.1303577653
51,275649.9752064164
52,275649.8207272385
53,275649.6669069066
54,275649.5137323746
55,275649.3611908471
56,275649.2092697867
57,275649.0579568927
58,275648.9072401314
59,275648.7571077096
60,275648.6075480344
61,275648.4585497679
62,275648.3101018167
63,275648.1621932667
64,275648.0148134555
65,275647.8679519041
66,275647.7215983822
67,275647.5757428174
68,275647.4303753569
69,275647.2854863652
70,275647.1410663581
71,275646.9971060696
72,275646.8535964124
73,275646.7105284766
74,275646.567893524
75,275646.425682992
76,275646.2838885208
77,275646.1425018564
78,275646.0015149671
79,275645.860919935
80,275645.720709024
81,275645.5808746663
82,275645.441409396
83,275645.3023059547
84,275645.1635572007
85,275645.025156122
86,275644.8870958394
87,275644.7493696715
88,275644.6119709905
89,275644.4748933701
90,275644.3381304482
91,275644.20167606
92,275644.0655240639
93,275643.9296685591
94,275643.7941036763
95,275643.6588236991
96,275643.5238230142
97,275643.3890961126
98,275643.2546376181
99,275643.1204422464
100,275642.9865048183
101,275642.8528202569
102,275642.7193835775
103,275642.58618993
104,275642.4532345277
105,275642.3205126653
106,275642.1880197895
107,275642.0557513732
108,275641.9237030298
109,275641.7918704161
110,275641.6602493272
111,275641.5288355877
112,275641.3976251405
113,275641.2666140009
114,275641.135798232
115,275641.0051740477
116,275640.8747376751
117,275640.7444854355
118,275640.6144137265
119,275640.4845190014
120,275640.3547978176
121,275640.2252467594
122,275640.0958625122
123,275639.9666418035
124,275639.8375814654
125,275639.7086783331
126,275639.5799293608
127,275639.4513315201
128,275639.3228818632
129,275639.1945775218
130,275639.0664156407
131,275638.9383934542
132,275638.8105082307
133,275638.6827573144
134,275638.5551380882
135,275638.4276479923
136,275638.3002845022
137,275638.1730451778
138,275638.0459275855
139,275637.9189293818
140,275637.792048252
141,275637.6652818993
142,275637.5386281154
143,275637.4120847058
144,275637.2856495528
145,275637.1593205453
146,275637.0330956376
147,275636.906972818
148,275636.7809500937
149,275636.6550255637
150,275636.5291973195
151,275636.4034634941
152,275636.2778222782
153,275636.1522718683
154,275636.0268105396
155,275635.9014365865
156,275635.7761482892
157,275635.6509440419
158,275635.525822193
159,275635.4007811914
160,275635.275819488
161,275635.1509355388
162,275635.0261278723
163,275634.901395029
164,275634.7767355739
165,275634.6521481113
166,275634.5276312595
167,275634.4031836661
168,275634.2788040327
169,275634.1544910537
170,275634.0302434599
171,275633.906060011
172,275633.7819394888
173,275633.6578806926
174,275633.5338824721
175,275633.4099436688
176,275633.2860631536
177,275633.16223983
178,275633.0384726192
179,275632.9147604564
180,275632.7911023163
181,275632.6674971863
182,275632.5439440507
183,275632.4204419497
184,275632.2969899288
185,275632.1735870217
186,275632.0502323363
187,275631.9269249809
188,275631.8036640563
189,275631.6804486894
190,275631.5572780321
191,275631.434151276
192,275631.3110675946
193,275631.1880261842
194,275631.0650262554
195,275630.9420670728
196,275630.8191478499
197,275630.696267858
198,275630.5734263936
199,275630.4506227245
200,275630.3278561756
201,275630.2051260509
202,275630.0824317033
203,275629.9597724699
204,275629.8371477048
205,275629.7145567785
206,275629.5919990997
207,275629.4694740404
208,275629.3469810216
209,275629.2245194581
210,275629.1020888016
211,275628.9796884689
212,275628.8573179272
213,275628.7349766511
214,275628.6126640912
215,275628.4903797694
216,275628.3681231505
217,275628.2458937721
218,275628.1236911363
219,275628.001514755
220,275627.8793641733
221,275627.7572389575
222,275627.6351386344
223,275627.5130627838
224,275627.3910109644
225,275627.2689827646
226,275627.1469777853
227,275627.0249955994
228,275626.9030358269
229,275626.7810980783
230,275626.6591819589
231,275626.5372871233
232,275626.4154131929
233,275626.2935598021
234,275626.1717266078
235,275626.049913279
236,275625.9281194693
237,275625.8063448464
238,275625.6845890922
239,275625.5628518726
240,275625.44113291
241,275625.3194318625
242,275625.1977484648
243,275625.0760824048
244,275624.9544334149
245,275624.8328011823
246,275624.7111854521
247,275624.5895859745
248,275624.4680024475
249,275624.346434626
250,275624.2248822711
251,275624.1033451111
252,275623.9818229203
253,275623.8603154442
254,275623.7388224598
255,275623.6173437345
256,275623.4958790472
257,275623.3744281663
258,275623.2529908833
259,275623.1315669887
260,275623.0101562738
261,275622.8887585271
262,275622.7673735424
263,275622.6460011504
264,275622.52464115
265,275622.4032933424
266,275622.2819575437
267,275622.1606335856
268,275622.0393212752
269,275621.9180204586
270,275621.7967309597
271,275621.6754526029
