#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,4.052044033642233e-09
1.020960662306048e-08,4.136977538315989e-09
1.042360673976401e-08,4.223691396632034e-09
1.064209244064725e-08,4.312222690039391e-09
1.086515774652537e-08,4.402609721232409e-09
1.109289864895223e-08,4.494891348016949e-09
1.132541315152813e-08,4.589107316377294e-09
1.156280131207375e-08,4.68529803843154e-09
1.180516528568806e-08,4.783504925498505e-09
1.205260936870841e-08,4.88377038809773e-09
1.230524004359262e-08,4.986137502882571e-09
1.256316602474122e-08,5.090650234684801e-09
1.28264983052806e-08,5.197353658559223e-09
1.309535020482668e-08,5.306293626716752e-09
1.336983741824945e-08,5.417516990569027e-09
1.365007806546014e-08,5.531071711750712e-09
1.393619274224144e-08,5.647006640074892e-09
1.422830457214352e-08,5.765371624555371e-09
1.452653925946781e-08,5.886217735451282e-09
1.483102514336103e-08,6.009596709155574e-09
1.514189325304352e-08,6.135561836373427e-09
1.545927736419478e-08,6.264167295988443e-09
1.578331405652117e-08,6.39546837710725e-09
1.61141427725302e-08,6.529521590081799e-09
1.645190587753661e-08,6.666384666509373e-09
1.679674872092653e-08,6.806116559232578e-09
1.714881969870541e-08,6.948777220294744e-09
1.750827031735723e-08,7.094428267073738e-09
1.787525525904235e-08,7.243132094103544e-09
1.824993244816151e-08,7.394952983297287e-09
1.86324631193156e-08,7.549956104746514e-09
1.902301188668946e-08,7.708208182855003e-09
1.942174681489025e-08,7.869777385316468e-09
1.982883949127072e-08,8.034733101069946e-09
2.024446509976802e-08,8.203146384389015e-09
2.066880249629082e-08,8.375089732837182e-09
2.110203428568597e-08,8.55063719829019e-09
2.154434690031882e-08,8.729864275913712e-09
2.199593068030075e-08,8.912848015185659e-09
2.245697995539776e-08,9.099667130918476e-09
2.292769312865649e-08,9.290402225303751e-09
2.340827276178294e-08,9.485135232800701e-09
2.389892566231048e-08,9.683949864225383e-09
2.43998629725955e-08,9.8869319398176e-09
2.491130026067791e-08,1.009416850106248e-08
2.543345761304648e-08,1.030574903193582e-08
2.596655972934873e-08,1.052176434868102e-08
2.651083601908536e-08,1.074230748798755e-08
2.706652070033241e-08,1.096747337392401e-08
2.763385290053173e-08,1.119735881793815e-08
2.821307675939471e-08,1.143206296294608e-08
2.880444153396298e-08,1.167168650617612e-08
2.940820170587061e-08,1.191633280939186e-08
3.002461709085549e-08,1.216610701071374e-08
3.06539529505653e-08,1.242111669075285e-08
3.12964801067075e-08,1.268147153954402e-08
3.195247505759214e-08,1.294728357859043e-08
3.262222009711667e-08,1.321866716086362e-08
3.330600343624589e-08,1.349573919284808e-08
3.40041193270371e-08,1.377861880147435e-08
3.471686818926559e-08,1.406742777820824e-08
3.544455673970436e-08,1.43622904680285e-08
3.618749812411276e-08,1.466333354738225e-08
3.694601205199302e-08,1.497068669031876e-08
3.772042493417001e-08,1.528448223542256e-08
3.851107002325569e-08,1.560485507479115e-08
3.93182875570577e-08,1.593194320914648e-08
4.014242490499318e-08,1.626588730374579e-08
4.098383671757262e-08,1.660683102144844e-08
4.184288507901584e-08,1.695492124476061e-08
4.271993966306777e-08,1.731030763174601e-08
4.361537789208006e-08,1.767314306011514e-08
4.45295850994266e-08,1.804358384926985e-08
4.546295469532399e-08,1.842178931621419e-08
4.641588833612782e-08,1.880792221964356e-08
4.738879609717651e-08,1.920214875994475e-08
4.838209664925958e-08,1.960463846817362e-08
4.939621743878326e-08,2.001556476116662e-08
5.043159487171359e-08,2.043510416438465e-08
5.148867450137498e-08,2.086343753315845e-08
5.256791122018419e-08,2.130074894246548e-08
5.366976945540476e-08,2.174722679715302e-08
5.479472336900293e-08,2.220306305478204e-08
5.594325706169378e-08,2.266845400278328e-08
5.711586478126435e-08,2.314359970334579e-08
5.831305113526219e-08,2.36287048815953e-08
5.95353313081437e-08,2.412397825946044e-08
6.078323128297236e-08,2.462963277771735e-08
6.2057288067765e-08,2.514588615110114e-08
6.335804992658255e-08,2.567296064626134e-08
6.46860766154632e-08,2.621108285971729e-08
6.604193962330306e-08,2.676048449501423e-08
6.742622241778349e-08,2.732140202965638e-08
6.883952069645497e-08,2.789407660408472e-08
7.028244264308353e-08,2.84787549098553e-08
7.175560918936921e-08,2.907568852350551e-08
7.32596542821523e-08,2.968513423962094e-08
7.479522515621828e-08,3.030735429288001e-08
