#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,1.130431424356537e-06
1.020960662306048e-08,1.15412600198983e-06
1.042360673976401e-08,1.17831723311923e-06
1.064209244064725e-08,1.20301552786195e-06
1.086515774652537e-08,1.228231514605049e-06
1.109289864895223e-08,1.253976044446325e-06
1.132541315152813e-08,1.280260196079297e-06
1.156280131207375e-08,1.307095280123072e-06
1.180516528568806e-08,1.334492844673463e-06
1.205260936870841e-08,1.362464679521835e-06
1.230524004359262e-08,1.391022821706223e-06
1.256316602474122e-08,1.420179560618351e-06
1.28264983052806e-08,1.449947443221689e-06
1.309535020482668e-08,1.480339279380516e-06
1.336983741824945e-08,1.511368147744108e-06
1.365007806546014e-08,1.543047400631714e-06
1.393619274224144e-08,1.575390670582877e-06
1.422830457214352e-08,1.608411875908544e-06
1.452653925946781e-08,1.642125226464231e-06
1.483102514336103e-08,1.676545229867266e-06
1.514189325304352e-08,1.711686698269155e-06
1.545927736419478e-08,1.747564753684649e-06
1.578331405652117e-08,1.784194835763309e-06
1.61141427725302e-08,1.821592707118569e-06
1.645190587753661e-08,1.859774461210328e-06
1.679674872092653e-08,1.898756528673218e-06
1.714881969870541e-08,1.938555684422028e-06
1.750827031735723e-08,1.979189055312247e-06
1.787525525904235e-08,2.020674126801403e-06
1.824993244816151e-08,2.063028751164708e-06
1.86324631193156e-08,2.106271154600492e-06
1.902301188668946e-08,2.150419945445847e-06
1.942174681489025e-08,2.195494122281261e-06
1.982883949127072e-08,2.241513081591151e-06
2.024446509976802e-08,2.288496626645653e-06
2.066880249629082e-08,2.336464975605246e-06
2.110203428568597e-08,2.385438770513559e-06
2.154434690031882e-08,2.435439086068136e-06
2.199593068030075e-08,2.486487438946305e-06
2.245697995539776e-08,2.538605796242877e-06
2.292769312865649e-08,2.591816586128282e-06
2.340827276178294e-08,2.646142706508314e-06
2.389892566231048e-08,2.701607535238182e-06
2.43998629725955e-08,2.758234940447579e-06
2.491130026067791e-08,2.816049290088607e-06
2.543345761304648e-08,2.875075463482091e-06
2.596655972934873e-08,2.935338860976522e-06
2.651083601908536e-08,2.996865415383354e-06
2.706652070033241e-08,3.059681603190256e-06
2.763385290053173e-08,3.123814455885388e-06
2.821307675939471e-08,3.189291571392694e-06
2.880444153396298e-08,3.25614112617334e-06
2.940820170587061e-08,3.324391887327138e-06
3.002461709085549e-08,3.394073224805005e-06
3.06539529505653e-08,3.465215124176524e-06
3.12964801067075e-08,3.537848199730576e-06
3.195247505759214e-08,3.612003707242906e-06
3.262222009711667e-08,3.687713557631866e-06
3.330600343624589e-08,3.76501033061416e-06
3.40041193270371e-08,3.843927289137739e-06
3.471686818926559e-08,3.924498392815501e-06
3.544455673970436e-08,4.006758313579439e-06
3.618749812411276e-08,4.090742449780471e-06
3.694601205199302e-08,4.176486941731561e-06
3.772042493417001e-08,4.26402868758391e-06
3.851107002325569e-08,4.353405358425988e-06
3.93182875570577e-08,4.444655415158927e-06
4.014242490499318e-08,4.537818125038839e-06
4.098383671757262e-08,4.6329335779971e-06
4.184288507901584e-08,4.730042704514936e-06
4.271993966306777e-08,4.829187293053927e-06
4.361537789208006e-08,4.930410007486508e-06
4.45295850994266e-08,5.033754406635893e-06
4.546295469532399e-08,5.13926496170658e-06
4.641588833612782e-08,5.246987076490406e-06
4.738879609717651e-08,5.356967106129318e-06
4.838209664925958e-08,5.469252377543476e-06
4.939621743878326e-08,5.583891209637315e-06
5.043159487171359e-08,5.70093293406071e-06
5.148867450137498e-08,5.820427916303217e-06
5.256791122018419e-08,5.942427577898535e-06
5.366976945540476e-08,6.066984417740784e-06
5.479472336900293e-08,6.194152035510214e-06
5.594325706169378e-08,6.323985154099709e-06
5.711586478126435e-08,6.45653964337356e-06
5.831305113526219e-08,6.591872544481348e-06
5.95353313081437e-08,6.730042093949784e-06
6.078323128297236e-08,6.871107748884775e-06
6.2057288067765e-08,7.015130212950638e-06
6.335804992658255e-08,7.162171461794209e-06
6.46860766154632e-08,7.312294770245309e-06
6.604193962330306e-08,7.465564739517205e-06
6.742622241778349e-08,7.622047324629122e-06
6.883952069645497e-08,7.781809863049993e-06
7.028244264308353e-08,7.944921103786307e-06
7.175560918936921e-08,8.111451236580969e-06
7.32596542821523e-08,8.281471922777506e-06
7.479522515621828e-08,8.455056325296084e-06
7.636298261282242e-08,8.632279140829979e-06
7.796360130405237e-08,8.813216631486931e-06
7.959777002314978e-08,8.997946658095834e-06
8.126619200091946e-08,9.186548713069342e-06
8.296958520834915e-08,9.379103955375889e-06
8.470868266557402e-08,9.575695244845583e-06
8.648423275731727e-08,9.776407178141433e-06
8.829699955494083e-08,9.981326124841594e-06
9.014776314524918e-08,1.019054026518695e-05
9.20373199661823e-08,1.040413962716258e-05
9.396648314954691e-08,1.06222161262437e-05
9.593608287093146e-08,1.08448636041425e-05
9.794696670695386e-08,1.107217786944226e-05
1e-07,1.13042567390087e-05
1.020960662306048e-07,1.154120007984538e-05
1.042360673976401e-07,1.178310985205933e-05
1.064209244064725e-07,1.203009015293688e-05
1.086515774652537e-07,1.228224726157467e-05
1.109289864895223e-07,1.253968968473185e-05
1.132541315152813e-07,1.280252820312633e-05
1.156280131207375e-07,1.307087591961853e-05
1.180516528568806e-07,1.334484830772809e-05
1.205260936870841e-07,1.36245632611498e-05
1.230524004359261e-07,1.391014114449085e-05
1.256316602474121e-07,1.42017048452292e-05
1.28264983052806e-07,1.449937982656024e-05
1.309535020482668e-07,1.48032941812426e-05
1.336983741824945e-07,1.511357868688723e-05
1.365007806546014e-07,1.543036686180166e-05
1.393619274224144e-07,1.575379502327667e-05
1.422830457214352e-07,1.60840023452069e-05
1.452653925946781e-07,1.642113091882003e-05
1.483102514336103e-07,1.676532581340595e-05
1.514189325304352e-07,1.711673513871137e-05
1.545927736419479e-07,1.747551010877757e-05
1.578331405652117e-07,1.784180510711053e-05
1.61141427725302e-07,1.821577775273919e-05
1.645190587753661e-07,1.859758896838315e-05
1.679674872092653e-07,1.898740304961954e-05
1.714881969870541e-07,1.938538773538223e-05
1.750827031735723e-07,1.979171428034832e-05
1.787525525904236e-07,2.020655752854594e-05
1.824993244816151e-07,2.063009598840537e-05
1.86324631193156e-07,2.106251190969743e-05
1.902301188668946e-07,2.150399136235936e-05
1.942174681489024e-07,2.195472431554268e-05
1.982883949127071e-07,2.241490472043584e-05
2.024446509976802e-07,2.288473059286478e-05
2.066880249629082e-07,2.33644040990022e-05
2.110203428568597e-07,2.385413164218697e-05
2.154434690031882e-07,2.435412395163095e-05
2.199593068030075e-07,2.486459617301318e-05
2.245697995539772e-07,2.538576796151659e-05
2.292769312865649e-07,2.591786357553083e-05
2.340827276178294e-07,2.646111197401879e-05
2.389892566231048e-07,2.701574691421627e-05
2.43998629725955e-07,2.758200705277325e-05
2.491130026067786e-07,2.816013604811651e-05
2.543345761304648e-07,2.875038266514363e-05
2.596655972934872e-07,2.935300088280357e-05
2.651083601908536e-07,2.996825000278758e-05
2.706652070033241e-07,3.059639476132858e-05
2.763385290053167e-07,3.123770544288806e-05
2.82130767593947e-07,3.189245799672946e-05
2.880444153396298e-07,3.256093415549e-05
2.940820170587061e-07,3.3243421556306e-05
3.002461709085549e-07,3.394021386449175e-05
3.065395295056524e-07,3.465161089999391e-05
3.12964801067075e-07,3.53779187663994e-05
3.195247505759214e-07,3.611944998249683e-05
3.262222009711673e-07,3.687652361672455e-05
3.330600343624589e-07,3.764946542439418e-05
3.400411932703703e-07,3.843860798791177e-05
3.471686818926559e-07,3.924429085977454e-05
3.544455673970435e-07,4.006686070845422e-05
3.618749812411284e-07,4.090667146794402e-05
3.694601205199302e-07,4.176408448941515e-05
3.772042493416994e-07,4.263946869731416e-05
3.851107002325569e-07,4.35332007474587e-05
3.93182875570577e-07,4.444566518913007e-05
4.014242490499326e-07,4.537725463082953e-05
4.098383671757261e-07,4.632836990881017e-05
4.184288507901585e-07,4.729942025971656e-05
4.271993966306776e-07,4.829082349622205e-05
4.361537789208006e-07,4.930300618721795e-05
4.45295850994266e-07,5.033640384066729e-05
4.5462954695324e-07,5.139146109167658e-05
4.641588833612782e-07,5.24686318930101e-05
4.738879609717651e-07,5.356837971060013e-05
4.838209664925957e-07,5.46911777230541e-05
4.939621743878326e-07,5.583750902471429e-05
5.043159487171359e-07,5.700786683404679e-05
5.148867450137498e-07,5.820275470502789e-05
5.25679112201842e-07,5.942268674408169e-05
5.366976945540476e-07,6.066818783112549e-05
5.479472336900293e-07,6.193979384550019e-05
5.594325706169378e-07,6.323805189578646e-05
5.711586478126435e-07,6.456352055572712e-05
5.831305113526218e-07,6.591677010403529e-05
5.95353313081437e-07,6.729838276964273e-05
6.078323128297237e-07,6.870895298249913e-05
6.205728806776501e-07,7.014908762836836e-05
6.335804992658255e-07,7.161940631039698e-05
6.468607661546321e-07,7.312054161545678e-05
6.604193962330305e-07,7.465313938570528e-05
6.742622241778349e-07,7.621785899691869e-05
6.883952069645496e-07,7.781537364137669e-05
7.028244264308353e-07,7.944637061785276e-05
7.175560918936921e-07,8.111155162648931e-05
7.32596542821523e-07,8.281163307122252e-05
7.479522515621828e-07,8.454734636687e-05
7.636298261282241e-07,8.631943825454513e-05
7.796360130405236e-07,8.812867112173439e-05
7.959777002314978e-07,8.997582333081233e-05
8.126619200091945e-07,9.186168955332974e-05
8.296958520834915e-07,9.378708111151823e-05
8.470868266557403e-07,9.575282632701132e-05
8.648423275731727e-07,9.7759770877337e-05
8.829699955494083e-07,9.98087781588497e-05
9.014776314524917e-07,0.0001019007296583219
9.20373199661823e-07,0.0001040365253315301
9.396648314954691e-07,0.0001062170839899457
9.593608287093148e-07,0.0001084433436961962
9.794696670695385e-07,0.0001107162621667435
1e-06,0.0001130368171833318
1.020960662306047e-06,0.0001154060070140961
1.042360673976401e-06,0.0001178248508412194
1.064209244064725e-06,0.0001202943892003594
1.086515774652537e-06,0.0001228156844266248
1.109289864895223e-06,0.0001253898211117654
1.132541315152813e-06,0.0001280179065697995
1.156280131207375e-06,0.0001307010713132994
1.180516528568805e-06,0.0001334404695385594
1.205260936870841e-06,0.0001362372796220868
1.230524004359262e-06,0.0001390927046264201
1.256316602474121e-06,0.0001420079728172707
1.28264983052806e-06,0.0001449843381911009
1.309535020482668e-06,0.0001480230810139149
1.336983741824945e-06,0.0001511255083711527
1.365007806546014e-06,0.0001542929547293515
1.393619274224143e-06,0.000157526782509132
1.422830457214352e-06,0.0001608283826705081
1.452653925946781e-06,0.0001641991753104088
1.483102514336103e-06,0.0001676406102727457
1.514189325304352e-06,0.0001711541677708039
1.545927736419479e-06,0.0001747413590229563
1.57833140565212e-06,0.0001784037269018102
1.61141427725302e-06,0.000182142846597122
1.645190587753661e-06,0.0001859603262914789
1.679674872092653e-06,0.0001898578078511903
1.714881969870541e-06,0.0001938369675316132
1.750827031735727e-06,0.0001978995166961317
1.787525525904235e-06,0.0002020472025516806
1.82499324481615e-06,0.0002062818088983676
1.86324631193156e-06,0.0002106051568953049
1.902301188668946e-06,0.0002150191058425399
1.942174681489028e-06,0.000219525553979083
1.982883949127071e-06,0.0002241264392975895
2.024446509976802e-06,0.0002288237403764715
2.066880249629082e-06,0.0002336194772286637
2.110203428568597e-06,0.0002385157121689296
2.154434690031886e-06,0.000243514550698376
2.199593068030075e-06,0.0002486181424085077
2.245697995539772e-06,0.0002538286819031565
2.292769312865649e-06,0.0002591484097403951
2.340827276178294e-06,0.0002645796133934342
2.389892566231052e-06,0.0002701246282322822
2.43998629725955e-06,0.0002757858385257217
2.491130026067786e-06,0.0002815656784633802
2.543345761304648e-06,0.0002874666332004505
2.596655972934872e-06,0.0002934912399231715
2.651083601908542e-06,0.0002996420889370688
2.706652070033241e-06,0.0003059218247779549
2.763385290053167e-06,0.0003123331473452451
2.821307675939471e-06,0.0003188788130604747
2.880444153396298e-06,0.0003255616360481328
2.940820170587067e-06,0.0003323844893430294
3.002461709085549e-06,0.0003393503061208669
3.065395295056524e-06,0.0003464620809564556
3.129648010670751e-06,0.0003537228711063545
3.195247505759214e-06,0.0003611357978196006
3.262222009711673e-06,0.0003687040476750836
3.330600343624589e-06,0.000376430873946787
3.400411932703702e-06,0.0003843195979978953
3.47168681892656e-06,0.0003923736107034337
3.544455673970436e-06,0.0004005963739028839
3.618749812411284e-06,0.0004089914218829982
3.694601205199302e-06,0.0004175623628915881
3.772042493416993e-06,0.0004263128806825112
3.851107002325569e-06,0.0004352467360929646
3.93182875570577e-06,0.0004443677686538638
4.014242490499326e-06,0.0004536798982337498
4.098383671757261e-06,0.0004631871267160026
4.184288507901576e-06,0.0004728935397124712
4.271993966306777e-06,0.0004828033083116301
4.361537789208005e-06,0.0004929206908632633
4.45295850994266e-06,0.000503250034800784
4.5462954695324e-06,0.0005137957785006364
4.641588833612773e-06,0.000524562453181554
4.738879609717651e-06,0.000535554684841566
4.838209664925957e-06,0.0005467771962374135
4.939621743878326e-06,0.0005582348089029354
5.043159487171359e-06,0.0005699324452110854
5.148867450137487e-06,0.0005818751304779157
5.25679112201842e-06,0.0005940679951103034
5.366976945540476e-06,0.000606516276798641
5.479472336900293e-06,0.0006192253227549349
5.594325706169378e-06,0.0006322005919969786
5.711586478126423e-06,0.0006454476576803758
5.831305113526219e-06,0.0006589722094788586
5.95353313081437e-06,0.0006727800560140107
6.078323128297237e-06,0.0006868771273348395
6.205728806776501e-06,0.0007012694774498618
6.335804992658241e-06,0.0007159632869107035
6.468607661546321e-06,0.000730964865449435
6.604193962330305e-06,0.0007462806546711942
6.742622241778349e-06,0.0007619172308016564
6.883952069645496e-06,0.0007778813074920121
7.028244264308338e-06,0.0007941797386818994
7.175560918936921e-06,0.0008108195215217329
7.32596542821523e-06,0.0008278077993547628
7.479522515621829e-06,0.0008451518647620837
7.636298261282242e-06,0.0008628591626697046
7.796360130405221e-06,0.0008809372935200122
7.959777002314978e-06,0.0008993940165089587
8.126619200091945e-06,0.0009182372528900862
8.296958520834915e-06,0.0009374750893468287
8.470868266557402e-06,0.0009571157814344255
8.648423275731709e-06,0.0009771677570927784
8.829699955494083e-06,0.0009976396202322491
9.014776314524917e-06,0.001018540154392733
9.20373199661823e-06,0.001039878326479227
9.396648314954691e-06,0.001061663290572779
9.593608287093147e-06,0.001083904391822266
9.794696670695386e-06,0.001106611170413996
1e-05,0.001129793365624687
1.020960662306048e-05,0.001153460919957605
1.042360673976401e-05,0.001177623983362963
1.064209244064725e-05,0.001202292917546366
1.086515774652537e-05,0.001227478300364848
1.109289864895223e-05,0.001253190930314174
1.132541315152813e-05,0.001279441831107175
1.156280131207375e-05,0.001306242256347678
1.180516528568806e-05,0.00133360369429858
1.205260936870841e-05,0.001361537872749508
1.230524004359262e-05,0.001390056763983294
1.256316602474121e-05,0.001419172589844031
1.28264983052806e-05,0.001448897826910045
1.309535020482668e-05,0.001479245211772229
1.336983741824945e-05,0.001510227746419734
1.365007806546014e-05,0.001541858703737575
1.393619274224143e-05,0.001574151633114584
1.422830457214352e-05,0.001607120366167947
1.452653925946781e-05,0.001640779022583194
1.483102514336103e-05,0.001675142016074549
1.514189325304352e-05,0.001710224060465837
1.545927736419479e-05,0.00174604017589608
1.578331405652116e-05,0.001782605695151873
1.61141427725302e-05,0.001819936270127887
1.645190587753661e-05,0.001858047878419367
1.679674872092653e-05,0.001896956830048868
1.714881969870541e-05,0.00193667977432932
1.750827031735727e-05,0.00197723370686731
1.787525525904236e-05,0.00201863597670715
1.82499324481615e-05,0.002060904293621824
1.86324631193156e-05,0.002104056735550142
1.902301188668946e-05,0.002148111756184901
1.942174681489028e-05,0.002193088192715575
1.982883949127071e-05,0.002239005273726558
2.024446509976802e-05,0.002285882627255709
2.066880249629082e-05,0.002333740289015229
2.110203428568597e-05,0.002382598710778838
2.154434690031887e-05,0.002432478768937818
2.199593068030075e-05,0.00248340177322981
2.245697995539772e-05,0.002535389475642691
2.292769312865649e-05,0.002588464079498087
2.340827276178294e-05,0.002642648248717183
2.389892566231053e-05,0.002697965117272716
2.43998629725955e-05,0.002754438298830486
2.491130026067786e-05,0.002812091896583602
2.543345761304648e-05,0.002870950513284454
2.596655972934872e-05,0.002931039261476309
2.651083601908542e-05,0.002992383773930629
2.706652070033241e-05,0.003055010214290776
2.763385290053167e-05,0.003118945287929886
2.821307675939471e-05,0.003184216253023342
2.880444153396298e-05,0.00325085093184263
2.940820170587067e-05,0.003318877722272351
3.002461709085549e-05,0.003388325609557041
3.065395295056524e-05,0.00345922417828004
3.12964801067075e-05,0.003531603624578938
3.195247505759214e-05,0.003605494768604056
3.262222009711673e-05,0.003680929067220839
3.330600343624589e-05,0.003757938626964608
3.400411932703703e-05,0.003836556217248765
3.471686818926559e-05,0.003916815283833808
3.544455673970435e-05,0.003998749962559889
3.618749812411284e-05,0.004082395093349067
3.694601205199302e-05,0.004167786234481663
3.772042493416993e-05,0.004254959677150727
3.851107002325569e-05,0.004343952460302059
3.93182875570577e-05,0.004434802385761216
4.014242490499326e-05,0.004527548033656847
4.098383671757261e-05,0.004622228778141557
4.184288507901576e-05,0.004718884803418311
4.271993966306776e-05,0.004817557120077254
4.361537789208006e-05,0.004918287581746505
4.45295850994266e-05,0.005021118902065802
4.5462954695324e-05,0.005126094671984216
4.641588833612772e-05,0.005233259377392385
4.738879609717651e-05,0.005342658417090584
4.838209664925957e-05,0.005454338121101188
4.939621743878326e-05,0.005568345769330185
5.043159487171359e-05,0.005684729610583972
5.148867450137487e-05,0.005803538881947068
5.256791122018419e-05,0.005924823828527104
5.366976945540476e-05,0.006048635723573059
5.479472336900293e-05,0.006175026888972535
5.594325706169377e-05,0.006304050716134824
5.711586478126424e-05,0.00643576168726534
