#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,121589.9992886929
2,121589.4204069822
3,121588.8425046619
4,121588.2655634571
5,121587.689565714
6,121587.1144941707
7,121586.540331946
8,121585.9670622169
9,121585.3946697217
10,121584.823137837
11,121584.2524506344
12,121583.6825935732
13,121583.1135515297
14,121582.5453092646
15,121581.9778524235
16,121581.4111678425
17,121580.845241055
18,121580.2800587284
19,121579.715607957
20,121579.151874224
21,121578.5888457583
22,121578.0265105277
23,121577.4648559701
24,121576.903869412
25,121576.3435402294
26,121575.7838559039
27,121575.2248057042
28,121574.6663786113
29,121574.1085630671
30,121573.5513485259
31,121572.9947257673
32,121572.438682865
33,121571.8832113198
34,121571.3283002994
35,121570.773940701
36,121570.2201230674
37,121569.666837633
38,121569.1140756576
39,121568.5618280285
40,121568.0100867927
41,121567.4588429994
42,121566.9080871658
43,121566.3578130656
44,121565.8080117697
45,121565.2586756615
46,121564.7097962144
47,121564.1613660318
48,121563.6133791479
49,121563.0658266088
50,121562.5187017004
51,121561.9719976143
52,121561.4257073737
53,121560.8798246293
54,121560.3343424594
55,121559.7892545675
56,121559.2445554228
57,121558.7002369617
58,121558.1562948045
59,121557.6127219453
60,121557.0695132303
61,121556.5266628013
62,121555.9841653333
63,121555.4420138875
64,121554.900205016
65,121554.35873281
66,121553.817591389
67,121553.2767765515
68,121552.7362826234
69,121552.1961052777
70,121551.6562395246
71,121551.1166810154
72,121550.577424754
73,121550.0384668818
74,121549.4998017549
75,121548.9614261785
76,121548.423335385
77,121547.8855257227
78,121547.3479921647
79,121546.810732157
80,121546.2737407218
81,121545.7370144845
82,121545.2005491411
83,121544.6643415538
84,121544.1283880479
85,121543.5926854806
86,121543.0572297417
87,121542.5220174641
88,121541.9870456724
89,121541.4523110183
90,121540.9178098312
91,121540.3835393253
92,121539.8494976861
93,121539.3156796076
94,121538.7820836811
95,121538.2487062683
96,121537.7155453183
97,121537.1825972085
98,121536.6498599474
99,121536.1173295295
100,121535.5850051792
101,121535.0528837774
102,121534.5209620897
103,121533.9892383736
104,121533.4577093621
105,121532.926374166
106,121532.3952285353
107,121531.8642720515
108,121531.3335019708
109,121530.8029153958
110,121530.2725098089
111,121529.7422847888
112,121529.2122375156
113,121528.6823653321
114,121528.1526666659
115,121527.6231410547
116,121527.0937831709
117,121526.5645943688
118,121526.0355722974
119,121525.5067133334
120,121524.9780173462
121,121524.4494828454
122,121523.9211068833
123,121523.3928888592
124,121522.8648265229
125,121522.3369182551
126,121521.8091637917
127,121521.2815590905
128,121520.7541048899
129,121520.2267991775
130,121519.6996399795
131,121519.1726267685
132,121518.6457571127
133,121518.1190305312
134,121517.5924451403
135,121517.0659994419
136,121516.5396930243
137,121516.0135248847
138,121515.4874923848
139,121514.9615951522
140,121514.4358313581
141,121513.9102010872
142,121513.3847021866
143,121512.8593340345
144,121512.3340952354
145,121511.8089852846
146,121511.2840020233
147,121510.7591455829
148,121510.2344145085
149,121509.7098077762
150,121509.1853250523
151,121508.660964212
152,121508.1367250114
153,121507.6126060945
154,121507.088607613
155,121506.5647270845
156,121506.040965509
157,121505.5173208049
158,121504.9937929869
159,121504.4703799583
160,121503.9470820599
161,121503.4238983953
162,121502.900828014
163,121502.3778693354
164,121501.8550229708
165,121501.3322872894
166,121500.8096623453
167,121500.2871478022
168,121499.7647412207
169,121499.2424436583
170,121498.720252302
171,121498.1981690764
172,121497.6761929041
173,121497.1543216253
174,121496.6325554655
175,121496.1108949578
176,121495.5893374719
177,121495.0678839171
178,121494.5465335331
179,121494.0252851389
180,121493.504138186
181,121492.9830936733
182,121492.4621494441
183,121491.9413050491
184,121491.4205614785
185,121490.8999166349
186,121490.3793705421
187,121489.858922954
188,121489.3385735388
189,121488.8183213693
190,121488.2981667115
191,121487.7781087202
192,121487.2581462271
193,121486.7382799561
194,121486.2185097719
195,121485.6988338971
196,121485.1792520027
197,121484.659765126
198,121484.1403724077
199,121483.6210730236
200,121483.1018664427
201,121482.5827536181
202,121482.0637325448
203,121481.5448035017
204,121481.0259652439
205,121480.5072197126
206,121479.9885653753
207,121479.4700008155
208,121478.9515281885
209,121478.4331446819
210,121477.9148514902
211,121477.3966476716
212,121476.8785338917
213,121476.3605089841
214,121475.8425727435
215,121475.3247240461
216,121474.8069647777
217,121474.289292969
218,121473.7717088286
219,121473.2542125045
220,121472.7368032263
221,121472.2194815115
222,121471.7022459553
223,121471.1850963818
224,121470.6680338592
225,121470.1510579709
226,121469.6341668502
227,121469.1173621971
228,121468.6006423289
229,121468.0840083159
230,121467.5674587845
231,121467.0509953924
232,121466.5346147589
233,121466.0183193259
234,121465.5021082188
235,121464.9859816956
236,121464.4699379825
237,121463.9539791247
238,121463.4381036258
239,121462.9223112263
240,121462.4066019569
241,121461.890976375
242,121461.3754336412
243,121460.859972905
244,121460.3445946319
245,121459.8292994495
246,121459.3140865765
247,121458.7989556377
248,121458.2839067021
249,121457.7689389749
250,121457.2540537227
251,121456.7392499231
252,121456.2245274677
253,121455.7098866982
254,121455.1953266138
255,121454.6808479698
256,121454.1664497386
257,121453.6521327452
258,121453.1378964618
259,121452.6237407008
260,121452.1096647988
261,121451.5956699359
262,121451.081755082
263,121450.5679208674
264,121450.0541658176
265,121449.5404912569
266,121449.026896352
267,121448.5133809654
268,121447.9999455153
269,121447.4865893552
270,121446.9733129675
271,121446.460115681
272,121445.9469975965
273,121445.4339587274
274,121444.9209977779
275,121444.4081173829
276,121443.8953151832
277,121443.3825915087
278,121442.8699467696
279,121442.3573812436
280,121441.8448933212
281,121441.3324847031
282,121440.8201543258
283,121440.3079017702
284,121439.7957275345
285,121439.2836314586
286,121438.7716140475
287,121438.2596739944
288,121437.7478121726
289,121437.2360276755
290,121436.7243218101
291,121436.2126930767
292,121435.7011425158
293,121435.1896690126
294,121434.6782736503
295,121434.1669551089
296,121433.6557143871
297,121433.1445511808
298,121432.6334653718
299,121432.1224559237
300,121431.611524443
301,121431.1006700356
302,121430.5898925466
303,121430.0791917794
304,121429.5685678777
305,121429.0580220387
306,121428.5475519994
307,121428.0371588166
308,121427.5268418987
309,121427.0166035624
310,121426.5064402439
311,121425.9963544784
312,121425.4863448343
313,121424.9764115455
314,121424.4665543696
315,121423.9567740664
316,121423.447070405
317,121422.9374423193
318,121422.4278912661
319,121421.9184166096
320,121421.4090174971
321,121420.8996950874
322,121420.3904486332
323,121419.8812775687
324,121419.3721838653
325,121418.8631648693
326,121418.3542220673
327,121417.8453561108
328,121417.336565142
329,121416.8278504293
330,121416.3192114432
331,121415.8106477548
332,121415.3021604811
333,121414.7937485424
334,121414.2854126484
335,121413.7771523821
336,121413.2689673195
337,121412.7608573115
338,121412.2528238327
339,121411.7448656977
340,121411.2369835079
341,121410.7291760585
342,121410.2214439418
343,121409.7137871177
344,121409.2062060975
345,121408.6987003189
346,121408.1912700178
347,121407.6839144147
348,121407.176634084
349,121406.6694292817
350,121406.1622997335
351,121405.6552450667
352,121405.148265858
353,121404.6413614789
354,121404.1345326269
355,121403.6277780797
356,121403.1210986782
357,121402.6144944803
358,121402.1079656266
359,121401.6015109175
360,121401.0951317566
361,121400.5888275052
362,121400.0825968731
363,121399.5764422465
364,121399.0703629004
365,121398.5643574628
366,121398.0584268583
367,121397.5525717851
368,121397.0467911594
369,121396.5410842533
370,121396.0354526451
371,121395.5298963519
372,121395.0244139597
373,121394.5190062826
374,121394.0136733361
375,121393.5084144252
376,121393.0032312381
377,121392.4981213915
378,121391.9930864785
379,121391.4881262667
380,121390.9832406809
381,121390.4784290168
382,121389.9736922249
383,121389.4690292292
384,121388.9644412634
385,121388.4599276068
386,121387.9554887161
387,121387.45112302
388,121386.9468319234
389,121386.442615545
390,121385.9384734703
391,121385.4344056262
392,121384.9304121029
393,121384.4264924662
394,121383.9226471111
395,121383.4188757665
396,121382.91517919
397,121382.4115559905
398,121381.908007
399,121381.4045331943
400,121380.9011326451
401,121380.3978063844
402,121379.8945540755
403,121379.3913755066
404,121378.8882722616
405,121378.3852413388
406,121377.8822856193
407,121377.3794034692
408,121376.8765952256
409,121376.3738604822
410,121375.8712009497
411,121375.3686145807
412,121374.8661016922
413,121374.363663576
414,121373.861298475
415,121373.3590080654
416,121372.8567909397
417,121372.3546474927
418,121371.8525781345
419,121371.3505824593
420,121370.8486612757
421,121370.3468133289
422,121369.8450392138
423,121369.3433381209
424,121368.8417118093
425,121368.3401590389
426,121367.8386790046
427,121367.3372730739
428,121366.83594184
429,121366.3346825817
430,121365.8334986915
431,121365.3323873797
432,121364.8313496734
433,121364.3303860126
434,121363.8294951827
435,121363.328678829
436,121362.8279359599
437,121362.3272665683
438,121361.8266696613
439,121361.3261471748
440,121360.8256985285
441,121360.3253229609
442,121359.8250209221
443,121359.324792047
444,121358.8246368297
445,121358.3245548247
446,121357.8245471771
447,121357.3246113431
448,121356.8247494002
449,121356.324961916
450,121355.8252472504
451,121355.3256058619
452,121354.8260375268
453,121354.3265429897
454,121353.8271218355
455,121353.3277733318
456,121352.8284985113
457,121352.3292966438
458,121351.8301687685
459,121351.3311135172
460,121350.8321321198
461,121350.3332226886
462,121349.8343877141
463,121349.3356256053
464,121348.8369367492
465,121348.3383202469
466,121347.8397780283
467,121347.3413089486
468,121346.8429118115
469,121346.3445884414
470,121345.8463389648
471,121345.3481618059
472,121344.850057759
473,121344.3520273334
474,121343.8540692082
475,121343.3561853239
476,121342.8583731356
477,121342.3606344265
478,121341.8629694546
479,121341.3653762737
480,121340.8678570275
481,121340.3704101796
482,121339.8730366838
483,121339.3757362617
484,121338.8785086036
485,121338.3813534567
486,121337.8842717458
487,121337.3872627884
488,121336.8903268104
489,121336.3934632819
490,121335.8966729331
491,121335.399955079
492,121334.9033114996
493,121334.4067397603
494,121333.9102408222
495,121333.4138149092
496,121332.917461121
497,121332.4211812068
498,121331.9249735489
499,121331.4288379488
500,121330.9327761569
501,121330.4367865618
502,121329.9408703119
503,121329.4450262973
504,121328.9492549863
505,121328.453556302
506,121327.9579311166
507,121327.4623779732
508,121326.9668973029
509,121326.4714894911
510,121325.9761541251
511,121325.4808915627
512,121324.9857022397
513,121324.4905850372
514,121323.9955401365
515,121323.5005679
516,121323.005668492
517,121322.5108417138
518,121322.0160867545
519,121321.5214052255
520,121321.0267963907
521,121320.5322593567
522,121320.0377957262
523,121319.543403737
524,121319.0490847278
525,121318.5548375631
526,121318.06066366
527,121317.5665615075
528,121317.072532255
529,121316.578574587
530,121316.0846908076
531,121315.5908781771
532,121315.0971389941
533,121314.6034715298
534,121314.1098762534
535,121313.6163540919
