#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,8.506869986213417e-09
1.020960662306048e-08,8.685179575529389e-09
1.042360673976401e-08,8.867226730657762e-09
1.064209244064725e-08,9.05308961129947e-09
1.086515774652537e-08,9.242848375556889e-09
1.109289864895223e-08,9.436584624822331e-09
1.132541315152813e-08,9.634381625822641e-09
1.156280131207375e-08,9.836324643686112e-09
1.180516528568806e-08,1.004250060887557e-08
1.205260936870841e-08,1.025299800616608e-08
1.230524004359262e-08,1.046790765180106e-08
1.256316602474122e-08,1.068732191633615e-08
1.28264983052806e-08,1.091133527975074e-08
1.309535020482668e-08,1.114004410940339e-08
1.336983741824945e-08,1.137354677105407e-08
1.365007806546014e-08,1.16119438509088e-08
1.393619274224144e-08,1.185533793357507e-08
1.422830457214352e-08,1.21038336020618e-08
1.452653925946781e-08,1.235753799289085e-08
1.483102514336103e-08,1.261656012996326e-08
1.514189325304352e-08,1.288101159069299e-08
1.545927736419478e-08,1.315100617294007e-08
1.578331405652117e-08,1.342666000603288e-08
1.61141427725302e-08,1.370809166179043e-08
1.645190587753661e-08,1.399542237656703e-08
1.679674872092653e-08,1.428877560716302e-08
1.714881969870541e-08,1.458827780798089e-08
1.750827031735723e-08,1.48940577648915e-08
1.787525525904235e-08,1.520624715034558e-08
1.824993244816151e-08,1.552498019030679e-08
1.86324631193156e-08,1.585039399731869e-08
1.902301188668946e-08,1.618262879254928e-08
1.942174681489025e-08,1.652182735067953e-08
1.982883949127072e-08,1.686813577705948e-08
2.024446509976802e-08,1.722170306361903e-08
2.066880249629082e-08,1.758268142193486e-08
2.110203428568597e-08,1.795122606118582e-08
2.154434690031882e-08,1.832749563224212e-08
2.199593068030075e-08,1.871165211664305e-08
2.245697995539776e-08,1.910386071557468e-08
2.292769312865649e-08,1.950429029395906e-08
2.340827276178294e-08,1.99131130473873e-08
2.389892566231048e-08,2.033050516825341e-08
2.43998629725955e-08,2.075664595757587e-08
2.491130026067791e-08,2.119171904624295e-08
2.543345761304648e-08,2.16359115068343e-08
2.596655972934873e-08,2.208941451975477e-08
2.651083601908536e-08,2.255242326221207e-08
2.706652070033241e-08,2.302513701923914e-08
2.763385290053173e-08,2.350775907267177e-08
2.821307675939471e-08,2.400049725626019e-08
2.880444153396298e-08,2.450356362260209e-08
2.940820170587061e-08,2.501717455416497e-08
3.002461709085549e-08,2.554155109635303e-08
3.06539529505653e-08,2.607691884648489e-08
3.12964801067075e-08,2.662350839788274e-08
3.195247505759214e-08,2.718155478476092e-08
3.262222009711667e-08,2.775129814835964e-08
3.330600343624589e-08,2.833298373694504e-08
3.40041193270371e-08,2.892686179478687e-08
3.471686818926559e-08,2.953318800624771e-08
3.544455673970436e-08,3.015222316271604e-08
3.618749812411276e-08,3.078423371771777e-08
3.694601205199302e-08,3.142949156487163e-08
3.772042493417001e-08,3.208827459300068e-08
3.851107002325569e-08,3.27608660199985e-08
3.93182875570577e-08,3.344755550305223e-08
4.014242490499318e-08,3.414863836148641e-08
4.098383671757262e-08,3.486441646494143e-08
4.184288507901584e-08,3.559519767826202e-08
4.271993966306777e-08,3.634129663865338e-08
4.361537789208006e-08,3.71030342005696e-08
4.45295850994266e-08,3.788073832389216e-08
4.546295469532399e-08,3.867474374086299e-08
4.641588833612782e-08,3.948539195608447e-08
4.738879609717651e-08,4.031303191265323e-08
4.838209664925958e-08,4.115801977011557e-08
4.939621743878326e-08,4.202071901548976e-08
5.043159487171359e-08,4.290150112939983e-08
5.148867450137498e-08,4.380074503096409e-08
5.256791122018419e-08,4.471883763290663e-08
5.366976945540476e-08,4.56561740636019e-08
5.479472336900293e-08,4.661315766707474e-08
5.594325706169378e-08,4.759020033606731e-08
5.711586478126435e-08,4.858772240101672e-08
5.831305113526219e-08,4.960615318516659e-08
5.95353313081437e-08,5.064593100456705e-08
6.078323128297236e-08,5.170750327909701e-08
6.2057288067765e-08,5.279132675450882e-08
6.335804992658255e-08,5.389786783549511e-08
6.46860766154632e-08,5.502760280773344e-08
6.604193962330306e-08,5.618101783788632e-08
6.742622241778349e-08,5.735860908462342e-08
6.883952069645497e-08,5.856088347577781e-08
7.028244264308353e-08,5.978835837527896e-08
7.175560918936921e-08,6.104156191621968e-08
7.32596542821523e-08,6.232103344494533e-08
7.479522515621828e-08,6.362732352105382e-08
7.636298261282242e-08,6.496099436148484e-08
7.796360130405237e-08,6.632261972949749e-08
7.959777002314978e-08,6.771278582284879e-08
8.126619200091946e-08,6.913209060765979e-08
8.296958520834915e-08,7.058114492863865e-08
8.470868266557402e-08,7.20605723980583e-08
8.648423275731727e-08,7.357100961780105e-08
8.829699955494083e-08,7.511310673447014e-08
9.014776314524918e-08,7.668752710632276e-08
9.20373199661823e-08,7.829494841349316e-08
9.396648314954691e-08,7.993606232492567e-08
9.593608287093146e-08,8.161157505348626e-08
9.794696670695386e-08,8.332220768902943e-08
1e-07,8.506869619839819e-08
1.020960662306048e-07,8.685179231360252e-08
1.042360673976401e-07,8.867226342079704e-08
1.064209244064725e-07,9.053089267130332e-08
1.086515774652537e-07,9.242848009183291e-08
1.109289864895223e-07,9.436584214039812e-08
1.132541315152813e-07,9.634381259449043e-08
1.156280131207375e-07,9.836324255108053e-08
1.180516528568806e-07,1.004250012037744e-07
1.205260936870841e-07,1.025299756207687e-07
1.230524004359261e-07,1.046790717440516e-07
1.256316602474121e-07,1.068732142783801e-07
1.28264983052806e-07,1.091133474684369e-07
1.309535020482668e-07,1.114004354318965e-07
1.336983741824945e-07,1.137354621594255e-07
1.365007806546014e-07,1.16119432624906e-07
1.393619274224144e-07,1.185533726744126e-07
1.422830457214352e-07,1.21038329803369e-07
1.452653925946781e-07,1.235753731565481e-07
1.483102514336103e-07,1.261655946382945e-07
1.514189325304352e-07,1.288101089125249e-07
1.545927736419479e-07,1.315100539578395e-07
1.578331405652117e-07,1.342665916226338e-07
1.61141427725302e-07,1.37080908069187e-07
1.645190587753661e-07,1.399542145508192e-07
1.679674872092653e-07,1.428877473008683e-07
1.714881969870541e-07,1.458827689759801e-07
1.750827031735723e-07,1.48940568100997e-07
1.787525525904236e-07,1.520624608453147e-07
1.824993244816151e-07,1.552497904677708e-07
1.86324631193156e-07,1.585039286489121e-07
1.902301188668946e-07,1.618262757130395e-07
1.942174681489024e-07,1.652182614053643e-07
1.982883949127071e-07,1.686813452250746e-07
2.024446509976802e-07,1.722170176465809e-07
2.066880249629082e-07,1.758268001195162e-07
2.110203428568597e-07,1.795122459569143e-07
2.154434690031882e-07,1.832749412233881e-07
2.199593068030075e-07,1.871165049571744e-07
2.245697995539772e-07,1.910385905024015e-07
2.292769312865649e-07,1.950428855090891e-07
2.340827276178294e-07,1.991311131543938e-07
2.389892566231048e-07,2.033050326977204e-07
2.43998629725955e-07,2.075664403689004e-07
2.491130026067786e-07,2.119171700343259e-07
2.543345761304648e-07,2.16359093752061e-07
2.596655972934872e-07,2.208941232151318e-07
2.651083601908536e-07,2.255242097515264e-07
2.706652070033241e-07,2.302513459895295e-07
2.763385290053167e-07,2.350775661907889e-07
2.82130767593947e-07,2.400049470274723e-07
2.880444153396298e-07,2.450356091365791e-07
2.940820170587061e-07,2.501717171199402e-07
3.002461709085549e-07,2.554154813205756e-07
3.065395295056524e-07,2.607691582667826e-07
3.12964801067075e-07,2.662350517823597e-07
3.195247505759214e-07,2.718155140968292e-07
3.262222009711673e-07,2.775129465115711e-07
3.330600343624589e-07,2.833298008431129e-07
3.400411932703703e-07,2.892685802002859e-07
3.471686818926559e-07,2.953318403164928e-07
3.544455673970435e-07,3.015221904378862e-07
3.618749812411284e-07,3.078422942115466e-07
3.694601205199302e-07,3.142948715728622e-07
3.772042493416994e-07,3.208826991896174e-07
3.851107002325569e-07,3.276086120163058e-07
3.93182875570577e-07,3.344755042933301e-07
4.014242490499326e-07,3.414863312123373e-07
4.098383671757261e-07,3.486441096933746e-07
4.184288507901585e-07,3.559519198281791e-07
4.271993966306776e-07,3.634129064344904e-07
4.361537789208006e-07,3.710302802772958e-07
4.45295850994266e-07,3.788073191790531e-07
4.5462954695324e-07,3.8674736990707e-07
4.641588833612782e-07,3.948538492837272e-07
4.738879609717651e-07,4.031302458518127e-07
4.838209664925957e-07,4.11580121095767e-07
4.939621743878326e-07,4.202071112180406e-07
5.043159487171359e-07,4.290149286934053e-07
5.148867450137498e-07,4.38007363712245e-07
5.25679112201842e-07,4.471882860679344e-07
5.366976945540476e-07,4.565616466001288e-07
5.479472336900293e-07,4.66131478860099e-07
5.594325706169378e-07,4.759019011091326e-07
5.711586478126435e-07,4.858771177618237e-07
5.831305113526218e-07,4.96061421384475e-07
5.95353313081437e-07,5.064591946934982e-07
6.078323128297237e-07,5.170749121097273e-07
6.205728806776501e-07,5.279131418678418e-07
6.335804992658255e-07,5.389785479037457e-07
6.468607661546321e-07,5.502758921860362e-07
6.604193962330305e-07,5.618100360482714e-07
6.742622241778349e-07,5.73585943186572e-07
6.883952069645496e-07,5.856086808808669e-07
7.028244264308353e-07,5.978834229924956e-07
7.175560918936921e-07,6.104154517405647e-07
7.32596542821523e-07,6.232101599223938e-07
7.479522515621828e-07,6.362730534670291e-07
7.636298261282241e-07,6.496097537667112e-07
7.796360130405236e-07,6.632259998973211e-07
7.959777002314978e-07,6.771276513939384e-07
8.126619200091945e-07,6.913206905823088e-07
8.296958520834915e-07,7.058112249103132e-07
8.470868266557403e-07,7.206054903896586e-07
8.648423275731727e-07,7.357098531501904e-07
8.829699955494083e-07,7.511308131036287e-07
9.014776314524917e-07,7.668750063860585e-07
9.20373199661823e-07,7.829492081334877e-07
9.396648314954691e-07,7.99360335590471e-07
9.593608287093148e-07,8.16115450774646e-07
9.794696670695385e-07,8.332217640294459e-07
1e-06,8.506866365776133e-07
1.020960662306047e-06,8.685175841849357e-07
1.042360673976401e-06,8.867222799358032e-07
1.064209244064725e-06,9.053085577859221e-07
1.086515774652537e-06,9.242844160040065e-07
1.109289864895223e-06,9.436580203914247e-07
1.132541315152813e-06,9.634377079459355e-07
1.156280131207375e-06,9.83631990414402e-07
1.180516528568805e-06,1.004249558067549e-06
1.205260936870841e-06,1.025299283141656e-06
1.230524004359262e-06,1.046790223946381e-06
1.256316602474121e-06,1.068731628528496e-06
