#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,5.877470192761081e-07
1.020960662306048e-08,6.000665824235085e-07
1.042360673976401e-08,6.126443715670504e-07
1.064209244064725e-08,6.254857992660234e-07
1.086515774652537e-08,6.385963917665549e-07
1.109289864895223e-08,6.519817906669445e-07
1.132541315152813e-08,6.656477562483332e-07
1.156280131207375e-08,6.796001693620823e-07
1.180516528568806e-08,6.938450340943092e-07
1.205260936870841e-08,7.083884804304219e-07
1.230524004359262e-08,7.232367666976103e-07
1.256316602474122e-08,7.383962827844925e-07
1.28264983052806e-08,7.538735520284945e-07
1.309535020482668e-08,7.696752348795854e-07
1.336983741824945e-08,7.858081312317466e-07
1.365007806546014e-08,8.022791835315957e-07
1.393619274224144e-08,8.190954796649663e-07
1.422830457214352e-08,8.362642562875777e-07
1.452653925946781e-08,8.537929014895695e-07
1.483102514336103e-08,8.716889583482157e-07
1.514189325304352e-08,8.899601281475711e-07
1.545927736419478e-08,9.086142733760738e-07
1.578331405652117e-08,9.276594215013034e-07
1.61141427725302e-08,9.471037680786054e-07
1.645190587753661e-08,9.669556807478941e-07
1.679674872092653e-08,9.872237022312547e-07
1.714881969870541e-08,1.007916554440769e-06
1.750827031735723e-08,1.02904314214225e-06
1.787525525904235e-08,1.050612556618979e-06
1.824993244816151e-08,1.072634079779533e-06
1.86324631193156e-08,1.095117188265604e-06
1.902301188668946e-08,1.118071557004718e-06
1.942174681489025e-08,1.141507063873171e-06
1.982883949127072e-08,1.165433794025894e-06
2.024446509976802e-08,1.189862043671219e-06
2.066880249629082e-08,1.214802325066877e-06
2.110203428568597e-08,1.240265370627824e-06
2.154434690031882e-08,1.266262137700203e-06
2.199593068030075e-08,1.292803813668364e-06
2.245697995539776e-08,1.319901819951674e-06
2.292769312865649e-08,1.347567817555628e-06
2.340827276178294e-08,1.375813712067853e-06
2.389892566231048e-08,1.404651658432066e-06
2.43998629725955e-08,1.43409406638817e-06
2.491130026067791e-08,1.464153605912344e-06
2.543345761304648e-08,1.494843212213048e-06
2.596655972934873e-08,1.526176092059295e-06
2.651083601908536e-08,1.558165728887673e-06
2.706652070033241e-08,1.590825888575509e-06
2.763385290053173e-08,1.624170625658117e-06
2.821307675939471e-08,1.658214289435023e-06
2.880444153396298e-08,1.692971529854148e-06
2.940820170587061e-08,1.728457303729058e-06
3.002461709085549e-08,1.764686881622346e-06
3.06539529505653e-08,1.801675854062879e-06
3.12964801067075e-08,1.839440138429183e-06
3.195247505759214e-08,1.877995985832825e-06
3.262222009711667e-08,1.917359987779754e-06
3.330600343624589e-08,1.957549083719812e-06
3.40041193270371e-08,1.998580567930119e-06
3.471686818926559e-08,2.040472097619705e-06
3.544455673970436e-08,2.083241699590843e-06
3.618749812411276e-08,2.126907779009812e-06
3.694601205199302e-08,2.171489126290282e-06
3.772042493417001e-08,2.217004926086119e-06
3.851107002325569e-08,2.263474765062945e-06
3.93182875570577e-08,2.310918640446857e-06
4.014242490499318e-08,2.359356968573145e-06
4.098383671757262e-08,2.408810593657051e-06
4.184288507901584e-08,2.459300797008623e-06
4.271993966306777e-08,2.510849305803475e-06
4.361537789208006e-08,2.563478302741728e-06
4.45295850994266e-08,2.617210435484907e-06
4.546295469532399e-08,2.672068826314877e-06
4.641588833612782e-08,2.728077082236879e-06
4.738879609717651e-08,2.785259305082555e-06
4.838209664925958e-08,2.843640101723999e-06
4.939621743878326e-08,2.903244595175991e-06
5.043159487171359e-08,2.964098434476981e-06
5.148867450137498e-08,3.026227806790516e-06
5.256791122018419e-08,3.089659447952364e-06
5.366976945540476e-08,3.154420654127854e-06
5.479472336900293e-08,3.220539293802283e-06
5.594325706169378e-08,3.288043819327235e-06
5.711586478126435e-08,3.356963279799174e-06
5.831305113526219e-08,3.427327332938823e-06
5.95353313081437e-08,3.499166258080777e-06
6.078323128297236e-08,3.572510969385156e-06
6.2057288067765e-08,3.647393028827217e-06
6.335804992658255e-08,3.723844660075137e-06
6.46860766154632e-08,3.801898762034739e-06
6.604193962330306e-08,3.881588923504431e-06
6.742622241778349e-08,3.962949436830954e-06
6.883952069645497e-08,4.046015313674545e-06
7.028244264308353e-08,4.130822299219794e-06
7.175560918936921e-08,4.217406887940811e-06
7.32596542821523e-08,4.305806339144347e-06
7.479522515621828e-08,4.396058693401095e-06
7.636298261282242e-08,4.48820278842188e-06
7.796360130405237e-08,4.582278275822027e-06
7.959777002314978e-08,4.678325638773906e-06
8.126619200091946e-08,4.776386208438232e-06
8.296958520834915e-08,4.876502182615816e-06
8.470868266557402e-08,4.978716643733172e-06
8.648423275731727e-08,5.083073576717112e-06
8.829699955494083e-08,5.189617888978759e-06
9.014776314524918e-08,5.298395428954272e-06
9.20373199661823e-08,5.409453005866816e-06
9.396648314954691e-08,5.522838410487729e-06
9.593608287093146e-08,5.638600435009522e-06
9.794696670695386e-08,5.756788894362153e-06
1e-07,5.877454647751357e-06
1.020960662306048e-07,6.000649620307996e-06
1.042360673976401e-07,6.126426825292519e-06
1.064209244064725e-07,6.254840387520666e-06
1.086515774652537e-07,6.385945566012019e-06
1.109289864895223e-07,6.519798778192865e-06
1.132541315152813e-07,6.65645762387701e-06
1.156280131207375e-07,6.79598091013478e-06
1.180516528568806e-07,6.938428676828146e-06
1.205260936870841e-07,7.083862222145854e-06
1.230524004359261e-07,7.232344129137758e-06
1.256316602474121e-07,7.38393829236017e-06
1.28264983052806e-07,7.538709946075528e-06
1.309535020482668e-07,7.696725691341832e-06
1.336983741824945e-07,7.858053525544584e-06
1.365007806546014e-07,8.022762871151556e-06
1.393619274224144e-07,8.190924605799843e-06
1.422830457214352e-07,8.362611092493921e-06
1.452653925946781e-07,8.537896211358031e-06
1.483102514336103e-07,8.7168553906114e-06
1.514189325304352e-07,8.899565639763907e-06
1.545927736419479e-07,9.086105582367665e-06
1.578331405652117e-07,9.276555489767802e-06
1.61141427725302e-07,9.470997315963459e-06
1.645190587753661e-07,9.669514732690843e-06
1.679674872092653e-07,9.872193165172405e-06
1.714881969870541e-07,1.007911982953136e-05
1.750827031735723e-07,1.029038376965108e-05
1.787525525904236e-07,1.050607589569985e-05
1.824993244816151e-07,1.072628902376582e-05
1.86324631193156e-07,1.095111791471481e-05
1.902301188668946e-07,1.11806593159347e-05
1.942174681489024e-07,1.141501200263573e-05
1.982883949127071e-07,1.165427682014997e-05
2.024446509976802e-07,1.189855672767415e-05
2.066880249629082e-07,1.214795684234549e-05
2.110203428568597e-07,1.240258448442777e-05
2.154434690031882e-07,1.266254922360766e-05
2.199593068030075e-07,1.292796292617915e-05
2.245697995539772e-07,1.319893980300524e-05
2.292769312865649e-07,1.347559645892282e-05
2.340827276178294e-07,1.375805194270274e-05
2.389892566231048e-07,1.404642779812004e-05
2.43998629725955e-07,1.434084811657854e-05
2.491130026067786e-07,1.464143959062358e-05
2.543345761304648e-07,1.494833156767683e-05
2.596655972934872e-07,1.526165610676866e-05
2.651083601908536e-07,1.558154803449341e-05
2.706652070033241e-07,1.590814500318505e-05
2.763385290053167e-07,1.62415875506472e-05
2.82130767593947e-07,1.658201916010515e-05
2.880444153396298e-07,1.692958632193431e-05
2.940820170587061e-07,1.728443859705386e-05
3.002461709085549e-07,1.764672868098671e-05
3.065395295056524e-07,1.801661246958464e-05
3.12964801067075e-07,1.83942491261968e-05
3.195247505759214e-07,1.877980115017053e-05
3.262222009711673e-07,1.917343444657327e-05
3.330600343624589e-07,1.9575318397691e-05
3.400411932703703e-07,1.998562593596986e-05
3.471686818926559e-07,2.040453361829009e-05
3.544455673970435e-07,2.083222170201626e-05
3.618749812411284e-07,2.126887422260193e-05
3.694601205199302e-07,2.171467907241542e-05
3.772042493416994e-07,2.216982808223023e-05
3.851107002325569e-07,2.26345171029374e-05
3.93182875570577e-07,2.310894609047764e-05
4.014242490499326e-07,2.359331919166152e-05
4.098383671757261e-07,2.408784483176607e-05
4.184288507901585e-07,2.459273580446286e-05
4.271993966306776e-07,2.51082093634114e-05
4.361537789208006e-07,2.563448731540685e-05
4.45295850994266e-07,2.617179611608123e-05
4.5462954695324e-07,2.672036696726998e-05
4.641588833612782e-07,2.728043591626594e-05
4.738879609717651e-07,2.78522439578488e-05
4.838209664925957e-07,2.84360371373138e-05
4.939621743878326e-07,2.903206665694213e-05
5.043159487171359e-07,2.964058898347055e-05
5.148867450137498e-07,3.02618659590026e-05
5.25679112201842e-07,3.089616491314118e-05
5.366976945540476e-07,3.15437587783407e-05
5.479472336900293e-07,3.220492620725768e-05
5.594325706169378e-07,3.287995169243274e-05
5.711586478126435e-07,3.356912568863724e-05
5.831305113526218e-07,3.427274473832842e-05
5.95353313081437e-07,3.499111159843693e-05
6.078323128297237e-07,3.57245353713731e-05
6.205728806776501e-07,3.647333163736555e-05
6.335804992658255e-07,3.723782259057451e-05
6.468607661546321e-07,3.801833717753667e-05
6.604193962330305e-07,3.881521123860754e-05
6.742622241778349e-07,3.962878765273459e-05
6.883952069645496e-07,4.045941648433971e-05
7.028244264308353e-07,4.130745513464262e-05
7.175560918936921e-07,4.217326849464964e-05
7.32596542821523e-07,4.305722910280529e-05
7.479522515621828e-07,4.395971730453141e-05
7.636298261282241e-07,4.488112141642908e-05
7.796360130405236e-07,4.582183789292316e-05
7.959777002314978e-07,4.678227149668146e-05
8.126619200091945e-07,4.776283547325288e-05
8.296958520834915e-07,4.876395172825898e-05
8.470868266557403e-07,4.978605100891542e-05
8.648423275731727e-07,5.08295730896613e-05
8.829699955494083e-07,5.189496696089702e-05
9.014776314524917e-07,5.298269102216313e-05
9.20373199661823e-07,5.409321327953798e-05
9.396648314954691e-07,5.522701154658805e-05
9.593608287093148e-07,5.638457364987026e-05
9.794696670695385e-07,5.756639763920823e-05
1e-06,5.877299200096608e-05
1.020960662306047e-06,6.000487587765058e-05
1.042360673976401e-06,6.126257929062184e-05
1.064209244064725e-06,6.254664336802218e-05
1.086515774652537e-06,6.385762057792288e-05
1.109289864895223e-06,6.51960749651348e-05
1.132541315152813e-06,6.656258239456925e-05
1.156280131207375e-06,6.795773079815159e-05
1.180516528568805e-06,6.938212042806313e-05
1.205260936870841e-06,7.083636411464589e-05
1.230524004359262e-06,7.232108753030264e-05
1.256316602474121e-06,7.383692945761577e-05
1.28264983052806e-06,7.538454206501566e-05
1.309535020482668e-06,7.696459118655685e-05
1.336983741824945e-06,7.857775660835564e-05
1.365007806546014e-06,8.022473236080074e-05
1.393619274224143e-06,8.190622701731431e-05
1.422830457214352e-06,8.362296399833102e-05
1.452653925946781e-06,8.53756818827156e-05
1.483102514336103e-06,8.716513472517562e-05
1.514189325304352e-06,8.899209238055761e-05
1.545927736419479e-06,9.085734083480457e-05
1.57833140565212e-06,9.276168254224171e-05
1.61141427725302e-06,9.470593677152195e-05
1.645190587753661e-06,9.669093995690048e-05
1.679674872092653e-06,9.871754605839111e-05
1.714881969870541e-06,0.000100786626928473
1.750827031735727e-06,0.0001028990726869017
1.787525525904235e-06,0.0001050557921032924
1.82499324481615e-06,0.0001072577129878072
