#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,2408218344.849811
2,2404087064.746204
3,2400014108.254617
4,2395998312.172752
5,2392038536.903872
6,2388133665.97741
7,2384282605.579328
8,2380484284.091995
9,2376737651.643426
10,2373041679.665665
11,2369395360.46214
12,2365797706.783804
13,2362247751.413887
14,2358744546.761075
15,2355287164.460958
16,2351874694.985566
17,2348506247.260843
18,2345180948.291875
19,2341897942.795749
20,2338656392.841852
21,2335455477.499478
22,2332294392.492603
23,2329172349.861653
24,2326088577.63216
25,2323042319.490129
26,2320032834.464014
27,2317059396.613138
28,2314121294.722459
29,2311217832.003511
30,2308348325.801443
31,2305512107.307988
32,2302708521.280278
33,2299936925.765351
34,2297196691.830273
35,2294487203.297726
36,2291807856.486966
37,2289158059.96006
38,2286537234.273249
39,2283944811.733384
40,2281380236.159297
41,2278842962.648018
42,2276332457.345743
43,2273848197.223459
44,2271389669.85711
45,2268956373.212242
46,2266547815.43302
47,2264163514.635519
48,2261802998.705225
49,2259465805.098644
50,2257151480.64894
51,2254859581.375519
52,2252589672.297481
53,2250341327.250862
54,2248114128.70959
55,2245907667.610067
56,2243721543.179324
57,2241555362.766664
58,2239408741.678717
59,2237281303.017857
60,2235172677.523886
61,2233082503.41895
62,2231010426.255585
63,2228956098.767869
64,2226919180.725582
65,2224899338.791333
66,2222896246.380593
67,2220909583.524562
68,2218939036.735828
69,2216984298.876749
70,2215045069.030513
71,2213121052.374815
72,2211211960.058095
73,2209317509.078295
74,2207437422.16408
75,2205571427.658461
76,2203719259.404792
77,2201880656.63508
78,2200055363.860558
79,2198243130.764486
80,2196443712.097125
81,2194656867.572851
82,2192882361.76935
83,2191119964.02886
84,2189369448.361429
85,2187630593.350131
86,2185903182.058199
87,2184187001.938062
88,2182481844.742212
89,2180787506.435894
90,2179103787.111557
91,2177430490.905058
92,2175767425.91355
93,2174114404.115053
94,2172471241.289648
95,2170837756.942276
96,2169213774.227106
97,2167599119.873436
98,2165993624.113099
99,2164397120.609346
100,2162809446.387169
101,2161230441.765047
102,2159659950.288064
103,2158097818.662403
104,2156543896.691156
105,2154998037.211446
106,2153460096.032819
107,2151929931.876895
108,2150407406.318241
109,2148892383.726438
110,2147384731.209342
111,2145884318.557477
112,2144391018.189569
113,2142904705.099187
114,2141425256.802463
115,2139952553.286869
116,2138486476.961054
117,2137026912.605671
118,2135573747.325229
119,2134126870.500905
120,2132686173.744325
121,2131251550.852277
122,2129822897.762347
123,2128400112.509458
124,2126983095.183284
125,2125571747.886537
126,2124165974.694097
127,2122765681.612975
128,2121370776.543082
129,2119981169.238805
130,2118596771.271354
131,2117217495.991883
132,2115843258.495348
133,2114473975.585112
134,2113109565.738255
135,2111749949.071606
136,2110395047.308446
137,2109044783.7459
138,2107699083.222989
139,2106357872.089322
140,2105021078.174441
141,2103688630.75777
142,2102360460.539188
143,2101036499.610191
144,2099716681.425644
145,2098400940.776108
146,2097089213.760724
147,2095781437.76065
148,2094477551.413041
149,2093177494.585551
150,2091881208.351359
151,2090588634.964694
152,2089299717.83687
153,2088014401.512794
154,2086732631.647961
155,2085454354.985906
156,2084179519.33613
157,2082908073.552454
158,2081639967.511832
159,2080375152.09358
160,2079113579.159032
161,2077855201.531615
162,2076599972.977314
163,2075347848.18555
164,2074098782.750438
165,2072852733.152422
166,2071609656.740294
167,2070369511.713566
168,2069132257.10521
169,2067897852.764742
170,2066666259.341653
171,2065437438.269173
172,2064211351.748371
173,2062987962.732571
174,2061767234.912087
175,2060549132.699269
176,2059333621.213856
177,2058120666.268615
178,2056910234.355285
179,2055702292.6308
180,2054496808.903789
181,2053293751.621359
182,2052093089.856133
183,2050894793.29357
184,2049698832.21952
185,2048505177.508056
186,2047313800.609527
187,2046124673.538878
188,2044937768.864191
189,2043753059.695467
190,2042570519.673631
191,2041390122.959761
192,2040211844.22454
193,2039035658.637917
194,2037861541.85898
195,2036689470.026039
196,2035519419.746899
197,2034351368.089343
198,2033185292.5718
199,2032021171.154209
200,2030858982.229059
201,2029698704.612626
202,2028540317.536368
203,2027383800.638515
204,2026229133.955816
205,2025076297.915457
206,2023925273.327147
207,2022776041.375361
208,2021628583.611742
209,2020482881.947652
210,2019338918.646888
211,2018196676.318528
212,2017056137.909935
213,2015917286.699899
214,2014780106.291923
215,2013644580.60763
216,2012510693.880325
217,2011378430.648672
218,2010247775.750507
219,2009118714.316774
220,2007991231.765584
221,2006865313.796397
222,2005740946.384318
223,2004618115.774515
224,2003496808.47674
225,2002377011.259977
226,2001258711.147181
227,2000141895.410138
228,1999026551.564421
229,1997912667.364454
230,1996800230.798667
231,1995689230.084766
232,1994579653.66508
233,1993471490.202015
234,1992364728.573597
235,1991259357.869103
236,1990155367.384788
237,1989052746.619683
238,1987951485.271505
239,1986851573.232619
240,1985753000.586104
241,1984655757.601893
242,1983559834.732988
243,1982465222.611753
244,1981371912.046288
245,1980279894.016865
246,1979189159.672451
247,1978099700.32729
248,1977011507.457559
249,1975924572.69809
250,1974838887.839164
251,1973754444.823361
252,1972671235.742485
253,1971589252.834536
254,1970508488.480765
255,1969428935.202767
256,1968350585.659647
257,1967273432.645239
258,1966197469.085381
259,1965122688.035246
260,1964049082.676728
261,1962976646.315881
262,1961905372.380406
263,1960835254.417198
264,1959766286.089931
265,1958698461.176703
266,1957631773.567722
267,1956566217.26304
268,1955501786.370338
269,1954438475.102747
270,1953376277.776721
271,1952315188.80995
272,1951255202.719318
273,1950196314.118896
274,1949138517.717982
275,1948081808.319181
276,1947026180.816517
277,1945971630.193595
278,1944918151.521785
279,1943865739.958459
280,1942814390.745251
281,1941764099.206362
282,1940714860.746889
283,1939666670.851198
284,1938619525.081327
285,1937573419.075415
286,1936528348.546175
287,1935484309.279383
288,1934441297.132413
289,1933399308.032793
290,1932358337.976787
291,1931318383.028018
292,1930279439.316105
293,1929241503.035339
294,1928204570.443381
295,1927168637.85998
296,1926133701.665736
297,1925099758.300862
298,1924066804.263995
299,1923034836.111017
300,1922003850.453902
301,1920973843.959594
302,1919944813.348897
303,1918916755.395395
304,1917889666.92439
305,1916863544.811867
306,1915838385.98347
307,1914814187.413512
308,1913790946.123991
309,1912768659.18364
310,1911747323.706981
311,1910726936.853416
312,1909707495.826322
313,1908688997.872165
314,1907671440.279645
315,1906654820.378845
316,1905639135.540401
317,1904624383.174693
318,1903610560.731048
319,1902597665.696956
320,1901585695.597315
321,1900574647.993674
322,1899564520.483507
323,1898555310.699487
324,1897547016.308795
325,1896539635.012413
326,1895533164.544464
327,1894527602.671544
328,1893522947.192072
329,1892519195.935661
330,1891516346.762487
331,1890514397.56269
332,1889513346.255765
333,1888513190.78999
334,1887513929.141842
335,1886515559.315439
336,1885518079.341992
337,1884521487.279265
338,1883525781.211044
339,1882530959.246622
340,1881537019.520295
341,1880543960.190858
342,1879551779.441127
343,1878560475.477455
344,1877570046.529271
345,1876580490.848618
346,1875591806.709707
347,1874603992.40848
348,1873617046.262173
349,1872630966.608902
350,1871645751.807247
351,1870661400.235844
352,1869677910.292996
353,1868695280.396281
354,1867713508.982167
355,1866732594.505648
356,1865752535.439873
357,1864773330.275789
358,1863794977.521793
359,1862817475.703385
360,1861840823.362834
361,1860865019.05885
362,1859890061.366256
363,1858915948.875677
364,1857942680.193226
365,1856970253.940204
366,1855998668.752798
367,1855027923.281796
368,1854058016.192294
369,1853088946.16342
370,1852120711.888062
371,1851153312.072595
372,1850186745.436623
373,1849221010.712714
374,1848256106.646158
375,1847292031.994705
376,1846328785.52834
377,1845366366.02903
378,1844404772.2905
379,1843444003.118006
380,1842484057.328103
381,1841524933.748437
382,1840566631.21752
383,1839609148.584531
384,1838652484.709102
385,1837696638.461119
386,1836741608.720525
387,1835787394.377125
388,1834833994.3304
389,1833881407.489315
390,1832929632.772145
391,1831978669.106289
392,1831028515.428102
393,1830079170.682715
394,1829130633.823879
395,1828182903.813792
396,1827235979.622942
397,1826289860.229946
398,1825344544.621398
399,1824400031.791718
400,1823456320.743001
401,1822513410.484879
402,1821571300.034365
403,1820629988.415729
404,1819689474.660347
405,1818749757.806583
406,1817810836.899639
407,1816872710.991446
408,1815935379.14052
409,1814998840.411853
410,1814063093.876785
411,1813128138.612885
412,1812193973.703839
413,1811260598.239332
414,1810328011.314942
415,1809396212.032023
416,1808465199.497607
417,1807534972.824292
418,1806605531.130144
419,1805676873.538594
420,1804748999.178341
421,1803821907.183253
422,1802895596.692275
423,1801970066.849336
424,1801045316.803257
425,1800121345.707662
426,1799198152.720893
427,1798275737.00592
428,1797354097.730265
429,1796433234.06591
430,1795513145.189227
431,1794593830.280891
432,1793675288.525808
433,1792757519.113035
434,1791840521.235713
435,1790924294.090985
436,1790008836.879934
437,1789094148.807508
438,1788180229.082453
439,1787267076.917243
440,1786354691.528025
441,1785443072.134541
442,1784532217.960074
443,1783622128.231385
444,1782712802.178649
445,1781804239.035401
446,1780896438.038475
447,1779989398.427946
448,1779083119.447078
449,1778177600.342266
450,1777272840.362985
451,1776368838.761738
452,1775465594.794
453,1774563107.718173
454,1773661376.795535
455,1772760401.290192
456,1771860180.469029
457,1770960713.601666
458,1770061999.960412
459,1769164038.820218
460,1768266829.458637
461,1767370371.155779
462,1766474663.194271
463,1765579704.859214
464,1764685495.438144
465,1763792034.220991
466,1762899320.500042
467,1762007353.569906
468,1761116132.72747
469,1760225657.271867
470,1759335926.504441
471,1758446939.728709
472,1757558696.250333
473,1756671195.377078
474,1755784436.418786
475,1754898418.687339
476,1754013141.496632
477,1753128604.162539
478,1752244806.002884
479,1751361746.337411
480,1750479424.487755
481,1749597839.777412
482,1748716991.531716
483,1747836879.077804
484,1746957501.744596
485,1746078858.862766
486,1745200949.764716
487,1744323773.78455
488,1743447330.258054
489,1742571618.522663
490,1741696637.917447
491,1740822387.78308
492,1739948867.461823
493,1739076076.297497
494,1738204013.635464
495,1737332678.822604
496,1736462071.207297
497,1735592190.139396
498,1734723034.970213
499,1733854605.052498
500,1732986899.740416
501,1732119918.389534
502,1731253660.356794
503,1730388125.000502
504,1729523311.68031
505,1728659219.757193
506,1727795848.593436
507,1726933197.552615
508,1726071265.999583
509,1725210053.300451
510,1724349558.822574
511,1723489781.934535
512,1722630722.006129
513,1721772378.408348
514,1720914750.513368
515,1720057837.694533
516,1719201639.326341
517,1718346154.784432
518,1717491383.445572
519,1716637324.687641
520,1715783977.889619
521,1714931342.431575
522,1714079417.694653
523,1713228203.061061
524,1712377697.914056
525,1711527901.637938
526,1710678813.618032
527,1709830433.24068
528,1708982759.893231
529,1708135792.964026
530,1707289531.842393
531,1706443975.91863
532,1705599124.584001
533,1704754977.230721
534,1703911533.251951
535,1703068792.041782
536,1702226752.995232
537,1701385415.508233
538,1700544778.977621
539,1699704842.80113
540,1698865606.377383
541,1698027069.105882
542,1697189230.386998
543,1696352089.621966
544,1695515646.212876
545,1694679899.562665
546,1693844849.075106
547,1693010494.154807
548,1692176834.207198
549,1691343868.638524
550,1690511596.855841
551,1689680018.267006
552,1688849132.280672
553,1688018938.306279
554,1687189435.754051
555,1686360624.034983
556,1685532502.560844
557,1684705070.74416
558,1683878327.998218
559,1683052273.737052
560,1682226907.37544
561,1681402228.328901
562,1680578236.013684
563,1679754929.846767
564,1678932309.245848
565,1678110373.629342
566,1677289122.416374
567,1676468555.026775
568,1675648670.881079
569,1674829469.40051
570,1674010950.006987
571,1673193112.123115
572,1672375955.172176
573,1671559478.578133
574,1670743681.765618
575,1669928564.159932
576,1669114125.187037
577,1668300364.273556
578,1667487280.846765
579,1666674874.33459
580,1665863144.165606
581,1665052089.769026
582,1664241710.574704
583,1663432006.013129
584,1662622975.515419
585,1661814618.51332
586,1661006934.439201
587,1660199922.72605
588,1659393582.807473
589,1658587914.117687
590,1657782916.091521
591,1656978588.164407
592,1656174929.772382
593,1655371940.352081
594,1654569619.340736
595,1653767966.176175
596,1652966980.296813
597,1652166661.141652
598,1651367008.150282
599,1650568020.762872
600,1649769698.42017
601,1648972040.5635
602,1648175046.634761
603,1647378716.07642
604,1646583048.331513
605,1645788042.843641
606,1644993699.056969
607,1644200016.416221
608,1643406994.36668
609,1642614632.354183
610,1641822929.825122
611,1641031886.226438
612,1640241501.005621
613,1639451773.610707
614,1638662703.490278
615,1637874290.093454
616,1637086532.869898
617,1636299431.26981
618,1635512984.743924
619,1634727192.743509
620,1633942054.720365
621,1633157570.126821
622,1632373738.415735
623,1631590559.040489
624,1630808031.454989
625,1630026155.113666
626,1629244929.471467
627,1628464353.983859
628,1627684428.106827
629,1626905151.29687
630,1626126523.010999
631,1625348542.706738
632,1624571209.842121
633,1623794523.87569
634,1623018484.266493
635,1622243090.474084
636,1621468341.958521
637,1620694238.180363
638,1619920778.600671
639,1619147962.681004
640,1618375789.883418
641,1617604259.670468
642,1616833371.505202
643,1616063124.85116
644,1615293519.172378
645,1614524553.93338
646,1613756228.59918
647,1612988542.635281
648,1612221495.507671
649,1611455086.682827
650,1610689315.627706
