#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
5e-08,-0.7974733888824039,5e-08,-2099.660033874731
0.010014,-0.5773502691896258,0.010014,-807.7056830741137
0.020029,-0.3924710788101026,0.020029,484.3841339579449
0.040058,-0.22824347439015,0.040058,3068.434752563547
0.070101,-0.07493964001908705,0.070101,6944.446172742691
0.08011500000000001,0.07493964001908671,0.08011500000000001,8236.406974316236
0.110158,0.2282434743901498,0.110158,12112.41839449538
0.120173,0.3924710788101026,0.120173,13404.50821152744
0.130188,0.577350269189626,0.130188,14696.5980285595
0.140202,0.7974733888824046,0.140202,15988.55883013304
0.170245,1.077743683512228,0.170245,19864.57025031219
0.180259,1.466730613420976,0.180259,21156.53105188573
0.210303,2.076521396572341,0.210303,25032.67148752339
0.330476,3.2419203757693,0.330476,40536.84618369848
0.430619,6.634566499789362,0.430619,53456.84124580946
0.91131,318309.886177819,0.91131,115473.4110150513
