#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
5e-08,-0.3364722366212129,5e-08,-0.6147826447516802
0.010014,-0.4054651081081643,0.010014,-0.7640534032008331
0.020029,-0.4795730802618862,0.020029,-0.9133398132456474
0.040058,-0.5596157879354228,0.040058,-1.211897727053694
0.070101,-0.6466271649250525,0.070101,-1.659727144624972
0.08011500000000001,-0.7419373447293771,0.08011500000000001,-1.808998648388204
0.110158,-0.8472978603872036,0.110158,-2.256828065959483
0.120173,-0.9650808960435872,0.120173,-2.406114476004297
0.130188,-1.09861228866811,0.130188,-2.555400886049111
0.140202,-1.252762968495369,0.140202,-2.704672389812343
0.170245,-1.435084525289323,0.170245,-3.152501807383621
0.180259,-1.658228076603534,0.180259,-3.301773311146853
0.210303,-1.945910149055315,0.210303,-3.749617634999713
0.330476,-2.351375257163481,0.330476,-5.540950211566409
0.430619,-3.044522437723431,0.430619,-7.033709968043476
0.91131,-35.35050620855721,0.91131,-14.19902536802867
