#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,1.490628047662312e-07
1.020960662306048e-08,1.521872595722229e-07
1.042360673976401e-08,1.553772051021696e-07
1.064209244064725e-08,1.586340139247966e-07
1.086515774652537e-08,1.619590876966726e-07
1.109289864895223e-08,1.653538571622093e-07
1.132541315152813e-08,1.688197832638849e-07
1.156280131207375e-08,1.723583573642884e-07
1.180516528568806e-08,1.759711023563426e-07
1.205260936870841e-08,1.79659572885349e-07
1.230524004359262e-08,1.834253562371657e-07
1.256316602474122e-08,1.872700727822973e-07
1.28264983052806e-08,1.911953771971397e-07
1.309535020482668e-08,1.952029584639803e-07
1.336983741824945e-08,1.9929454142531e-07
1.365007806546014e-08,2.034718865617791e-07
1.393619274224144e-08,2.077367916575312e-07
1.422830457214352e-08,2.120910919112262e-07
1.452653925946781e-08,2.16536661157285e-07
1.483102514336103e-08,2.210754125320236e-07
1.514189325304352e-08,2.257092990287646e-07
1.545927736419478e-08,2.304403149411272e-07
1.578331405652117e-08,2.352704959740493e-07
1.61141427725302e-08,2.402019207980999e-07
1.645190587753661e-08,2.452367114935683e-07
1.679674872092653e-08,2.503770347717094e-07
1.714881969870541e-08,2.55625102529855e-07
1.750827031735723e-08,2.609831732947043e-07
1.787525525904235e-08,2.664535527774348e-07
1.824993244816151e-08,2.720385948729032e-07
1.86324631193156e-08,2.777407032139578e-07
1.902301188668946e-08,2.835623315045055e-07
1.942174681489025e-08,2.895059849628012e-07
1.982883949127072e-08,2.955742212096268e-07
2.024446509976802e-08,3.017696517115809e-07
2.066880249629082e-08,3.080949425582347e-07
2.110203428568597e-08,3.145528155723554e-07
2.154434690031882e-08,3.211460498642182e-07
2.199593068030075e-08,3.278774826087627e-07
2.245697995539776e-08,3.347500107109269e-07
2.292769312865649e-08,3.417665913607593e-07
2.340827276178294e-08,3.489302442538644e-07
2.389892566231048e-08,3.562440519244703e-07
2.43998629725955e-08,3.637111618548516e-07
2.491130026067791e-08,3.713347873635087e-07
2.543345761304648e-08,3.791182089374345e-07
2.596655972934873e-08,3.870647761194945e-07
2.651083601908536e-08,3.951779086186491e-07
2.706652070033241e-08,4.034610976422215e-07
2.763385290053173e-08,4.119179076722546e-07
2.821307675939471e-08,4.20551978019823e-07
2.880444153396298e-08,4.293670241573011e-07
2.940820170587061e-08,4.38366839383697e-07
3.002461709085549e-08,4.475552966010099e-07
3.06539529505653e-08,4.569363498685419e-07
3.12964801067075e-08,4.665140361792552e-07
3.195247505759214e-08,4.762924770140842e-07
3.262222009711667e-08,4.862758803403366e-07
3.330600343624589e-08,4.96468542388051e-07
3.40041193270371e-08,5.068748492043085e-07
3.471686818926559e-08,5.17499278984701e-07
3.544455673970436e-08,5.283464037386665e-07
3.618749812411276e-08,5.394208912878895e-07
3.694601205199302e-08,5.507275073757256e-07
3.772042493417001e-08,5.62271117443558e-07
3.851107002325569e-08,5.740566890732879e-07
3.93182875570577e-08,5.860892938747142e-07
4.014242490499318e-08,5.983741100390461e-07
4.098383671757262e-08,6.109164237821929e-07
4.184288507901584e-08,6.237216326754336e-07
4.271993966306777e-08,6.367952470887062e-07
4.361537789208006e-08,6.501428928551434e-07
4.45295850994266e-08,6.637703139356077e-07
4.546295469532399e-08,6.776833746391375e-07
4.641588833612782e-08,6.918880620654377e-07
4.738879609717651e-08,7.063904889914596e-07
4.838209664925958e-08,7.211968960918469e-07
4.939621743878326e-08,7.363136551585825e-07
5.043159487171359e-08,7.517472712104123e-07
5.148867450137498e-08,7.675043858235142e-07
5.256791122018419e-08,7.835917797960334e-07
5.366976945540476e-08,8.000163759236401e-07
5.479472336900293e-08,8.167852422191757e-07
5.594325706169378e-08,8.339055946882112e-07
5.711586478126435e-08,8.513848007707381e-07
5.831305113526219e-08,8.692303823387704e-07
5.95353313081437e-08,8.874500188049694e-07
6.078323128297236e-08,9.060515505643352e-07
6.2057288067765e-08,9.250429823248751e-07
6.335804992658255e-08,9.444324867713405e-07
6.46860766154632e-08,9.642284075628282e-07
6.604193962330306e-08,9.844392636626509e-07
6.742622241778349e-08,1.005073752335939e-06
6.883952069645497e-08,1.026140753035421e-06
7.028244264308353e-08,1.047649331509248e-06
7.175560918936921e-08,1.069608743686778e-06
7.32596542821523e-08,1.092028439120263e-06
7.479522515621828e-08,1.114918065647785e-06
7.636298261282242e-08,1.138287473390065e-06
7.796360130405237e-08,1.162146718858281e-06
7.959777002314978e-08,1.186506069394966e-06
8.126619200091946e-08,1.21137600739285e-06
8.296958520834915e-08,1.236767235068825e-06
8.470868266557402e-08,1.262690679015854e-06
8.648423275731727e-08,1.289157494976934e-06
8.829699955494083e-08,1.316179072063939e-06
9.014776314524918e-08,1.343767038530785e-06
9.20373199661823e-08,1.371933266325343e-06
9.396648314954691e-08,1.400689876085437e-06
9.593608287093146e-08,1.430049242689968e-06
9.794696670695386e-08,1.460024000032867e-06
1e-07,1.490627047240345e-06
1.020960662306048e-07,1.521871553555876e-06
1.042360673976401e-07,1.553770964557444e-06
1.064209244064725e-07,1.586339007153548e-06
1.086515774652537e-07,1.619589696466583e-06
1.109289864895223e-07,1.653537341161915e-06
1.132541315152813e-07,1.688196549665122e-06
1.156280131207375e-07,1.723582236934362e-06
1.180516528568806e-07,1.759709630455575e-06
1.205260936870841e-07,1.796594276570751e-06
1.230524004359261e-07,1.834252048027452e-06
1.256316602474121e-07,1.872699149751966e-06
1.28264983052806e-07,1.911952126731897e-06
1.309535020482668e-07,1.952027870455453e-06
1.336983741824945e-07,1.992943626683008e-06
1.365007806546014e-07,2.034717002552533e-06
1.393619274224144e-07,2.077365974240131e-06
1.422830457214352e-07,2.120908894731599e-06
1.452653925946781e-07,2.165364501705014e-06
1.483102514336103e-07,2.210751925635357e-06
1.514189325304352e-07,2.257090697899145e-06
1.545927736419479e-07,2.304400759323144e-06
1.578331405652117e-07,2.35270246862207e-06
1.61141427725302e-07,2.402016611391389e-06
1.645190587753661e-07,2.452364408656038e-06
1.679674872092653e-07,2.503767526529366e-06
1.714881969870541e-07,2.556248085094914e-06
1.750827031735723e-07,2.609828668065362e-06
1.787525525904236e-07,2.664532332552483e-06
1.824993244816151e-07,2.720382619059158e-06
1.86324631193156e-07,2.777403561249336e-06
1.902301188668946e-07,2.835619696828218e-06
1.942174681489024e-07,2.895056077756308e-06
1.982883949127071e-07,2.955738280796538e-06
2.024446509976802e-07,3.017692419282625e-06
2.066880249629082e-07,3.080945153666192e-06
2.110203428568597e-07,3.145523702952069e-06
2.154434690031882e-07,3.211455857243806e-06
2.199593068030075e-07,3.278769988623864e-06
2.245697995539772e-07,3.347495064143224e-06
2.292769312865649e-07,3.417660657811794e-06
2.340827276178294e-07,3.489296963810062e-06
2.389892566231048e-07,3.562434808812576e-06
2.43998629725955e-07,3.63710566608777e-06
2.491130026067786e-07,3.713341668154513e-06
2.543345761304648e-07,3.791175621326026e-06
2.596655972934872e-07,3.870641019476651e-06
2.651083601908536e-07,3.951772058474745e-06
2.706652070033241e-07,4.034603651059676e-06
2.763385290053167e-07,4.119171441496761e-06
2.82130767593947e-07,4.205511821564478e-06
2.880444153396298e-07,4.29366194543146e-06
2.940820170587061e-07,4.383659746198809e-06
3.002461709085549e-07,4.475543952220384e-06
3.065395295056524e-07,4.569354103312051e-06
3.12964801067075e-07,4.665130568293208e-06
3.195247505759214e-07,4.762914561862175e-06
3.262222009711673e-07,4.862748162803854e-06
3.330600343624589e-07,4.964674331864316e-06
3.400411932703703e-07,5.068736930291529e-06
3.471686818926559e-07,5.1749807384871e-06
3.544455673970435e-07,5.28345147565723e-06
3.618749812411284e-07,5.394195819130587e-06
3.694601205199302e-07,5.507261424786414e-06
3.772042493416994e-07,5.622696947260586e-06
3.851107002325569e-07,5.740552060928827e-06
3.93182875570577e-07,5.860877481556059e-06
4.014242490499326e-07,5.983724987723704e-06
4.098383671757261e-07,6.109147443367213e-06
4.184288507901585e-07,6.237198820535639e-06
4.271993966306776e-07,6.367934222484273e-06
4.361537789208006e-07,6.50140990743342e-06
4.45295850994266e-07,6.637683312771259e-06
4.5462954695324e-07,6.776813079700794e-06
4.641588833612782e-07,6.918859078774986e-06
4.738879609717651e-07,7.063882435320856e-06
4.838209664925957e-07,7.211945555640753e-06
4.939621743878326e-07,7.363112154545881e-06
5.043159487171359e-07,7.51744728177961e-06
5.148867450137498e-07,7.675017350994295e-06
5.25679112201842e-07,7.835890167617876e-06
5.366976945540476e-07,8.000134958274785e-06
5.479472336900293e-07,8.167822400650948e-06
5.594325706169378e-07,8.339024653913896e-06
5.711586478126435e-07,8.513815389576962e-06
5.831305113526218e-07,8.692269823362686e-06
5.95353313081437e-07,8.874464747288258e-06
6.078323128297237e-07,9.060478563305274e-06
6.205728806776501e-07,9.25039131649541e-06
6.335804992658255e-07,9.444284729487329e-06
6.468607661546321e-07,9.642242237983822e-06
6.604193962330305e-07,9.844349026622012e-06
6.742622241778349e-07,1.005069206527764e-05
6.883952069645496e-07,1.026136014670165e-05
7.028244264308353e-07,1.047644392482283e-05
