#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,7.108402177991024e-08
1.020960662306048e-08,7.257398981774799e-08
1.042360673976401e-08,7.409518865131304e-08
1.064209244064725e-08,7.564827286810072e-08
1.086515774652537e-08,7.723391071134955e-08
1.109289864895223e-08,7.885278452413047e-08
1.132541315152813e-08,8.050559108241373e-08
1.156280131207375e-08,8.21930414840466e-08
1.180516528568806e-08,8.39158620369318e-08
1.205260936870841e-08,8.567479403698286e-08
1.230524004359262e-08,8.747059432323567e-08
1.256316602474122e-08,8.930403583295998e-08
1.28264983052806e-08,9.117590749063709e-08
1.309535020482668e-08,9.308701487409365e-08
1.336983741824945e-08,9.503818021450172e-08
1.365007806546014e-08,9.703024328455712e-08
1.393619274224144e-08,9.906406139847945e-08
1.422830457214352e-08,1.011405096340567e-07
1.452653925946781e-08,1.032604816098015e-07
1.483102514336103e-08,1.054248895959731e-07
1.514189325304352e-08,1.076346649586668e-07
1.545927736419478e-08,1.098907587149256e-07
1.578331405652117e-08,1.121941416437622e-07
1.61141427725302e-08,1.145458050633152e-07
1.645190587753661e-08,1.169467608308494e-07
1.679674872092653e-08,1.193980422309338e-07
1.714881969870541e-08,1.219007040864639e-07
1.750827031735723e-08,1.244558234247961e-07
1.787525525904235e-08,1.270644998108139e-07
1.824993244816151e-08,1.297278556799952e-07
1.86324631193156e-08,1.324470372265907e-07
1.902301188668946e-08,1.352232147366905e-07
1.942174681489025e-08,1.38057582699247e-07
1.982883949127072e-08,1.409513608052748e-07
2.024446509976802e-08,1.439057945029631e-07
2.066880249629082e-08,1.469221549976751e-07
2.110203428568597e-08,1.500017404731935e-07
2.154434690031882e-08,1.531458760917204e-07
2.199593068030075e-08,1.563559147710336e-07
2.245697995539776e-08,1.596332380726651e-07
2.292769312865649e-08,1.629792562019006e-07
2.340827276178294e-08,1.663954090069808e-07
2.389892566231048e-08,1.698831667562573e-07
2.43998629725955e-08,1.734440301381923e-07
2.491130026067791e-08,1.770795314826046e-07
2.543345761304648e-08,1.807912354268026e-07
2.596655972934873e-08,1.845807391376297e-07
2.651083601908536e-08,1.884496733106644e-07
2.706652070033241e-08,1.923997029473767e-07
2.763385290053173e-08,1.964325276881951e-07
2.821307675939471e-08,2.005498831447738e-07
2.880444153396298e-08,2.04753541122038e-07
2.940820170587061e-08,2.090453105063617e-07
3.002461709085549e-08,2.134270381537462e-07
3.06539529505653e-08,2.17900609777999e-07
3.12964801067075e-08,2.224679503948224e-07
3.195247505759214e-08,2.271310254320369e-07
3.262222009711667e-08,2.318918416177596e-07
3.330600343624589e-08,2.367524476465377e-07
3.40041193270371e-08,2.417149350675274e-07
3.471686818926559e-08,2.467814396167611e-07
3.544455673970436e-08,2.519541413281701e-07
