#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
1,30.1137853753213
2,30.05768979548485
3,30.00358433638203
4,29.95007369576429
5,29.8971224411061
6,29.84472411013938
7,29.79287291609899
8,29.74156314557066
9,29.69078914507367
10,29.64054532016606
11,29.59082613482248
12,29.54162611082397
13,29.4929398271545
14,29.44476191940355
15,29.39708707917509
16,29.3499100535027
17,29.30322564427074
18,29.25702870764165
19,29.21131415348912
20,29.16607694483735
21,29.1213120973059
22,29.07701467856067
23,29.03317980777036
24,28.98980265506861
25,28.94687844102197
26,28.9044024361032
27,28.86236996017018
28,28.82077638195022
29,28.77961711852981
30,28.7388876348496
31,28.69858344320476
32,28.65870010275051
33,28.61923321901281
34,28.5801784434041
35,28.54153147274426
36,28.50328804878642
37,28.46544395774777
38,28.42799502984527
39,28.39093713883621
40,28.35426620156362
41,28.31797817750629
42,28.28206906833362
43,28.24653491746509
44,28.21137180963424
45,28.17657587045737
46,28.14214326600655
47,28.10807020238726
48,28.07435292532033
49,28.04098771972831
50,28.00797090932608
51,27.97529885621585
52,27.94296796048625
53,27.91097465981575
54,27.87931542908014
55,27.84798677996407
56,27.81698526057675
57,27.78630745507156
58,27.75594998326977
59,27.72590950028799
60,27.69618269616969
61,27.66676629552049
62,27.63765705714724
63,27.60885177370092
64,27.58034727132324
65,27.55214040929694
66,27.5242280796997
67,27.49660720706174
68,27.46927474802694
69,27.44222769101751
70,27.41546305590219
71,27.38897789366782
72,27.36276928609452
73,27.33683434543401
74,27.3111702140916
75,27.28577406431114
76,27.26064309786361
77,27.23577454573873
78,27.21116566783985
79,27.18681375268208
80,27.16271611709346
81,27.13887010591943
82,27.11527309173018
83,27.0919224745312
84,27.06881568147673
85,27.04595016658644
86,27.02332341046468
87,27.00093292002312
88,26.97877622820586
89,26.95685089371771
90,26.93515450075516
91,26.91368465874022
92,26.89243900205701
93,26.87141518979109
94,26.85061090547156
95,26.83002385681582
96,26.80965177547697
97,26.78949241679392
98,26.76954355954402
99,26.74980300569834
100,26.73026858017952
101,26.71093813062205
102,26.69180952713516
103,26.67288066206807
104,26.65414944977791
105,26.63561382639979
106,26.61727174961937
107,26.59912119844797
108,26.58116017299982
109,26.56338669427162
110,26.54579880392464
111,26.52839456406884
112,26.51117205704941
113,26.4941293852354
114,26.47726467081071
115,26.46057605556714
116,26.44406170069969
117,26.42771978660387
118,26.41154851267532
119,26.39554609711133
120,26.37971077671456
121,26.36404080669873
122,26.34853446049644
123,26.33319002956881
124,26.31800582321737
125,26.30298016839768
126,26.28811140953502
127,26.27339790834195
128,26.25883804363784
129,26.24443021117024
130,26.23017282343802
131,26.21606430951664
132,26.20210311488485
133,26.18828770125357
134,26.17461654639632
135,26.16108814398153
136,26.14770100340655
137,26.13445364963336
138,26.12134462302616
139,26.10837247919044
140,26.09553578881392
141,26.08283313750895
142,26.07026312565679
143,26.05782436825331
144,26.04551549475641
145,26.03333514893503
146,26.0212819887197
147,26.00935468605467
148,25.99755192675157
149,25.9858724103446
150,25.97431484994729
151,25.96287797211066
152,25.9515605166829
153,25.94036123667058
154,25.92927889810117
155,25.91831227988718
156,25.9074601736915
157,25.89672138379436
158,25.88609472696154
159,25.87557903231398
160,25.86517314119879
161,25.85487590706161
162,25.84468619532023
163,25.83460288323962
164,25.82462485980816
165,25.81475102561533
166,25.80498029273049
167,25.79531158458302
168,25.78574383584372
169,25.77627599230741
170,25.76690701077683
171,25.75763585894759
172,25.74846151529453
173,25.73938296895911
174,25.73039921963806
175,25.72150927747311
176,25.71271216294202
177,25.70400690675053
178,25.69539254972568
179,25.68686814271007
180,25.67843274645723
181,25.67008543152821
182,25.66182527818917
183,25.65365137630998
184,25.64556282526396
185,25.6375587338287
186,25.62963822008777
187,25.62180041133365
188,25.61404444397149
189,25.60636946342397
190,25.5987746240372
191,25.59125908898747
192,25.58382203018908
193,25.57646262820309
194,25.56918007214706
195,25.56197355960564
196,25.55484229654224
197,25.54778549721149
198,25.54080238407261
199,25.53389218770391
200,25.52705414671782
201,25.52028750767711
202,25.51359152501183
203,25.50696546093719
204,25.50040858537226
205,25.49392017585951
206,25.48749951748521
207,25.48114590280068
208,25.47485863174434
209,25.46863701156452
210,25.46248035674323
211,25.45638798892054
212,25.45035923681986
213,25.444393436174
214,25.43848992965195
215,25.43264806678649
216,25.42686720390246
217,25.4211467040459
218,25.41548593691383
219,25.40988427878481
220,25.40434111245024
221,25.39885582714632
222,25.39342781848675
223,25.38805648839618
224,25.38274124504425
225,25.37748150278047
226,25.37227668206961
227,25.36712620942785
228,25.36202951735966
229,25.35698604429517
230,25.35199523452841
231,25.34705653815597
232,25.3421694110165
233,25.33733331463069
234,25.33254771614196
235,25.32781208825776
236,25.32312590919146
237,25.31848866260486
238,25.31389983755129
239,25.30935892841934
240,25.30486543487708
241,25.30041886181703
242,25.29601871930156
243,25.29166452250887
244,25.28735579167963
245,25.28309205206409
246,25.27887283386978
247,25.27469767220975
248,25.27056610705131
249,25.26647768316541
250,25.2624319500764
251,25.2584284620125
252,25.25446677785656
253,25.25054646109755
254,25.24666707978244
255,25.24282820646856
256,25.23902941817657
257,25.23527029634385
258,25.23155042677829
259,25.22786939961279
260,25.22422680925998
261,25.22062225436761
262,25.2170553377743
263,25.21352566646575
264,25.21003285153148
265,25.20657650812197
266,25.20315625540625
267,25.19977171652993
268,25.19642251857369
269,25.19310829251218
270,25.18982867317337
271,25.1865832991983
272,25.18337181300129
273,25.18019386073052
274,25.17704909222904
275,25.17393716099619
276,25.17085772414942
277,25.16781044238655
278,25.1647949799483
279,25.16181100458139
280,25.15885818750185
281,25.15593620335886
282,25.15304473019886
283,25.15018344943007
284,25.14735204578744
285,25.14455020729784
286,25.14177762524575
287,25.13903399413921
288,25.13631901167616
289,25.13363237871115
290,25.13097379922237
291,25.12834298027901
292,25.12573963200904
293,25.1231634675672
294,25.12061420310346
295,25.11809155773171
296,25.11559525349879
297,25.11312501535393
298,25.11068057111839
299,25.10826165145549
300,25.1058679898409
301,25.10349932253333
302,25.10115538854544
303,25.0988359296151
304,25.09654069017688
305,25.09426941733397
306,25.09202186083025
307,25.08979777302277
308,25.0875969088544
309,25.0854190258269
310,25.08326388397415
311,25.0811312458357
312,25.07902087643069
313,25.07693254323184
314,25.07486601613994
315,25.07282106745841
316,25.07079747186826
317,25.06879500640326
318,25.06681345042535
319,25.06485258560036
320,25.06291219587392
321,25.0609920674477
322,25.05909198875579
323,25.05721175044145
324,25.05535114533399
325,25.05350996842601
326,25.05168801685073
327,25.0498850898597
328,25.04810098880066
329,25.04633551709565
330,25.04458848021934
331,25.04285968567762
332,25.04114894298637
333,25.0394560636505
334,25.03778086114314
335,25.03612315088513
336,25.03448275022463
337,25.03285947841706
338,25.03125315660514
339,25.02966360779918
340,25.02809065685762
341,25.02653413046768
342,25.02499385712632
343,25.02346966712128
344,25.02196139251243
345,25.02046886711327
346,25.01899192647254
347,25.01753040785622
348,25.01608415022951
349,25.0146529942391
350,25.01323678219567
