#Pareto - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-16.81124283151826,-0.3364722366212129,-16.81124283151826,0.5007899044980153
-4.603771165074384,-0.4054651081081643,-4.603771165074384,-3.125187195619425
-3.910574055663041,-0.4795730802618862,-3.910574055663041,-3.331087066884524
-3.217426875103096,-0.5596157879354228,-3.217426875103096,-3.536972107816466
-2.657818219708106,-0.6466271649250525,-2.657818219708106,-3.703192290417213
-2.524292176522294,-0.7419373447293771,-2.524292176522294,-3.742853441234538
-2.205839580136861,-0.8472978603872036,-2.205839580136861,-3.837443201794096
-2.118822907737104,-0.9650808960435872,-2.118822907737104,-3.863289705482264
-2.038775719353823,-1.09861228866811,-2.038775719353823,-3.887066068019677
-1.964671039148161,-1.252762968495369,-1.964671039148161,-3.909077331349156
-1.770516702959404,-1.435084525289323,-1.770516702959404,-3.966746863267391
-1.7133605734117,-1.658228076603534,-1.7133605734117,-3.983723909992063
-1.559205931039997,-1.945910149055315,-1.559205931039997,-4.029512359753784
-1.107221239573752,-2.351375257163481,-1.107221239573752,-4.163765068720968
-0.8425315705478573,-3.044522437723431,-0.8425315705478573,-4.242385663120033
-0.09287215420546611,-35.35050620855721,-0.09287215420546611,-4.465056495444542
