#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,47256273.02350014
2,47210906.67906722
3,47166206.78544413
4,47122161.52878793
5,47078759.33531464
6,47035988.86603673
7,46993839.01162019
8,46952298.8873582
9,46911357.82825926
10,46871005.3842465
11,46831231.31546605
12,46792025.5877018
13,46753378.36789415
14,46715280.01976018
15,46677721.09951316
16,46640692.35167897
17,46604184.70500709
18,46568189.26847431
19,46532697.32737862
20,46497700.3395215
21,46463189.93147644
22,46429157.89494178
23,46395596.1831758
24,46362496.90751239
25,46329852.33395512
26,46297654.87984833
27,46265897.11062296
28,46234571.73661596
29,46203671.60996109
30,46173189.72154975
31,46143119.19806018
32,46113453.29905351
33,46084185.41413484
34,46055309.06017827
35,46026817.87861419
36,45998705.63277736
37,45970966.20531444
38,45943593.59564966
39,45916581.91750731
40,45889925.39648952
41,45863618.3677084
42,45837655.27347101
43,45812030.66101608
44,45786739.18030141
45,45761775.58184043
46,45737134.71458711
47,45712811.52386827
48,45688801.04936137
49,45665098.42311807
50,45641698.86763116
51,45618597.69394472
52,45595790.29980638
53,45573272.16786041
54,45551038.86388101
55,45529086.03504489
56,45507409.40824189
57,45486004.7884232
58,45464868.05698618
59,45443995.17019476
60,45423382.15763479
61,45403025.12070365
62,45382920.23113295
63,45363063.72954402
64,45343451.92403521
65,45324081.18880009
66,45304947.96277642
67,45286048.74832448
68,45267380.10993462
69,45248938.67296317
70,45230721.12239607
71,45212724.2016395
72,45194944.71133718
73,45177379.50821341
74,45160025.50394142
75,45142879.6640365
76,45125939.00677325
77,45109200.60212646
78,45092661.57073503
79,45076319.08288847
80,45060170.35753548
81,45044212.66131395
82,45028443.30760223
83,45012859.65559069
84,44997459.10937371
85,44982239.11706109
86,44967197.16990875
87,44952330.80146828
88,44937637.58675474
89,44923115.14143249
90,44908761.12101848
91,44894573.22010276
92,44880549.17158569
93,44866686.74593159
94,44852983.75043832
95,44839438.02852256
96,44826047.45902042
97,44812809.95550293
98,44799723.46560618
99,44786785.97037581
100,44773995.48362535
101,44761350.05130838
102,44748847.75090378
103,44736486.6908144
104,44724265.00977813
105,44712180.87629169
106,44700232.48804645
107,44688418.0713763
108,44676735.8807171
109,44665184.19807758
110,44653761.33252128
111,44642465.61965948
112,44631295.42115483
113,44620249.1242351
114,44609325.14121763
115,44598521.90904307
116,44587837.88881957
117,44577271.56537583
118,44566821.44682391
119,44556486.06413095
120,44546263.97069979
121,44536153.74195834
122,44526153.97495738
123,44516263.28797685
124,44506480.32014001
125,44496803.73103584
126,44487232.20034897
127,44477764.42749734
128,44468399.1312774
129,44459135.04951635
130,44449970.93873165
131,44440905.5737975
132,44431937.74761805
133,44423066.2708073
134,44414289.97137555
135,44405607.6944221
136,44397018.3018344
137,44388520.67199299
138,44380113.69948266
139,44371796.29480929
140,44363567.38412248
141,44355425.9089437
142,44347370.82589988
143,44339401.1064624
144,44331515.73669126
145,44323713.71698435
146,44315994.06183176
147,44308355.79957491
148,44300797.97217048
149,44293319.63495914
150,44285919.85643863
151,44278597.71804145
152,44271352.31391702
153,44264182.75071795
154,44257088.14739054
155,44250067.63496954
156,44243120.35637666
157,44236245.46622332
158,44229442.13061692
159,44222709.52697118
160,44216046.84381989
161,44209453.28063448
162,44202928.04764496
163,44196470.36566441
164,44190079.4659168
165,44183754.58986813
166,44177494.98906079
167,44171299.92495108
168,44165168.66874988
169,44159100.50126634
170,44153094.7127544
171,44147150.60276245
172,44141267.47998568
173,44135444.66212122
174,44129681.47572611
175,44123977.25607771
176,44118331.34703711
177,44112743.10091462
178,44107211.87833821
179,44101737.04812407
180,44096317.98714969
181,44090954.08022948
182,44085644.71999223
183,44080389.30676137
184,44075187.24843697
185,44070037.96038024
186,44064940.86529992
187,44059895.39314084
188,44054900.98097452
189,44049957.07289172
190,44045063.11989696
191,44040218.57980492
192,44035422.91713873
193,44030675.60303005
194,44025976.11512104
195,44021323.93746794
196,44016718.56044649
197,44012159.48065898
198,44007646.20084292
199,44003178.22978143
200,43998755.0822151
201,43994376.27875541
202,43990041.34579983
203,43985749.81544814
204,43981501.2254204
205,43977295.11897637
206,43973131.04483619
207,43969008.55710251
208,43964927.21518397
209,43960886.58372002
210,43956886.23250695
211,43952925.73642524
212,43949004.67536823
213,43945122.63417176
214,43941279.20254535
215,43937473.97500423
216,43933706.55080269
217,43929976.53386855
218,43926283.53273863
219,43922627.16049546
220,43919007.03470477
221,43915422.77735443
222,43911874.01479398
223,43908360.37767547
224,43904881.50089516
225,43901437.02353605
226,43898026.58881166
227,43894649.84401042
228,43891306.44044116
229,43887996.03337946
230,43884718.28201473
231,43881472.84939831
232,43878259.40239239
233,43875077.61161961
234,43871927.15141363
235,43868807.69977047
236,43865718.93830039
237,43862660.55218098
238,43859632.23011053
239,43856633.66426241
240,43853664.55024017
241,43850724.58703311
242,43847813.47697286
243,43844930.92569039
244,43842076.64207383
245,43839250.33822687
246,43836451.72942782
247,43833680.53408933
248,43830936.4737187
249,43828219.27287878
250,43825528.6591495
251,43822864.36308997
252,43820226.1182012
253,43817613.66088925
254,43815026.73042915
255,43812465.0689291
256,43809928.42129546
257,43807416.53519807
258,43804929.16103621
259,43802466.05190501
260,43800026.96356234
261,43797611.65439624
262,43795219.88539279
263,43792851.42010441
264,43790506.02461883
265,43788183.46752818
266,43785883.51989876
267,43783605.95524132
268,43781350.54948143
269,43779117.08093064
270,43776905.33025785
271,43774715.08046117
272,43772546.11684009
273,43770398.22696816
274,43768271.20066603
275,43766164.82997477
276,43764078.9091297
277,43762013.23453451
278,43759967.60473571
279,43757941.82039763
280,43755935.68427745
281,43753949.00120089
282,43751981.57803801
283,43750033.22367945
284,43748103.74901303
285,43746192.96690054
286,43744300.69215498
287,43742426.74151806
288,43740570.93363795
289,43738733.08904743
290,43736913.03014224
291,43735110.58115984
292,43733325.56815831
293,43731557.81899565
294,43729807.16330931
295,43728073.432496
296,43726356.45969172
297,43724656.07975211
298,43722972.12923309
299,43721304.44637172
300,43719652.8710672
301,43718017.2448623
302,43716397.41092499
303,43714793.21403012
304,43713204.50054171
305,43711631.11839504
306,43710072.91707931
307,43708529.7476203
308,43707001.46256347
309,43705487.91595703
310,43703988.96333537
311,43702504.46170276
312,43701034.26951705
313,43699578.24667379
314,43698136.25449049
315,43696708.15569089
316,43695293.81438979
317,43693893.09607772
318,43692505.86760598
319,43691131.99717194
320,43689771.3543042
321,43688423.80984839
322,43687089.23595278
323,43685767.50605413
324,43684458.49486395
325,43683162.07835463
326,43681878.1337459
327,43680606.53949142
328,43679347.17526556
329,43678099.92195029
330,43676864.6616222
331,43675641.27753989
332,43674429.65413116
333,43673229.67698069
334,43672041.23281766
335,43670864.20950358
336,43669698.49602034
337,43668543.98245818
338,43667400.56000417
339,43666268.1209304
340,43665146.55858264
341,43664035.76736899
342,43662935.6427487
343,43661846.08122104
344,43660766.98031447
345,43659698.23857579
346,43658639.75555947
347,43657591.43181701
348,43656553.16888669
349,43655524.86928312
350,43654506.4364871
351,43653497.77493554
352,43652498.7900115
353,43651509.38803437
354,43650529.47625013
355,43649558.96282168
356,43648597.75681947
357,43647645.76821195
358,43646702.90785636
359,43645769.08748957
360,43644844.2197189
361,43643928.21801326
362,43643020.99669414
363,43642122.47092698
364,43641232.55671238
365,43640351.17087759
366,43639478.23106794
367,43638613.65573857
368,43637757.36414603
369,43636909.27634011
370,43636069.31315578
371,43635237.39620509
372,43634413.44786926
373,43633597.39129089
374,43632789.15036612
375,43631988.64973703
376,43631195.81478399
377,43630410.57161821
378,43629632.84707426
379,43628862.56870279
380,43628099.66476327
381,43627344.0642167
382,43626595.69671869
383,43625854.49261225
384,43625120.38292097
385,43624393.29934211
