#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-170.2938317252249,5e-08,-1101.425681001383
0.000273,-85.14397976096635,0.000273,-1099.826876765877
0.000281,-56.75939077881429,0.000281,-1099.780016777293
0.000283,-42.56611747468973,0.000283,-1099.768301780147
0.000379,-34.04937036616511,0.000379,-1099.205981917137
0.000441,-28.37088627441971,0.000441,-1098.84281700561
0.000448,-24.31426667879798,0.000448,-1098.801814515598
0.000457,-21.27131230544864,0.000457,-1098.749097028441
0.000465,-18.90413465687129,0.000465,-1098.702237039857
0.000467,-17.01000062373175,0.000467,-1098.690522042711
0.000476,-15.45989821750638,0.000476,-1098.637804555554
0.00049,-14.16781943680226,0.00049,-1098.555799575531
0.000564,-13.07422027229818,0.000564,-1098.122344681128
0.000569,-12.13656928099634,0.000569,-1098.093057188263
0.000585,-11.32367673077185,0.000585,-1097.999337211094
0.0005910000000000001,-10.61215031571627,0.0005910000000000001,-1097.964192219656
0.000605,-9.984101795476407,0.000605,-1097.882187239634
0.000625,-9.425618088146377,0.000625,-1097.765037268174
0.000678,-8.925715175930213,0.000678,-1097.454589843804
0.000687,-8.475605839104816,0.000687,-1097.401872356646
0.000961,-7.697607369307987,0.000961,-1095.796917747639
0.000961,-7.697607369307987,0.000961,-1095.796917747639
0.001078,-7.359090193883494,0.001078,-1095.111590414595
0.001084,-7.048618472473653,0.001084,-1095.076445423157
0.001087,-6.762826648158641,0.001087,-1095.058872927438
0.001149,-6.498866937733711,0.001149,-1094.695708015911
0.001166,-6.254313447678149,0.001166,-1094.596130540169
0.001175,-6.027086836701762,0.001175,-1094.543413053012
0.001219,-5.815394565350332,0.001219,-1094.285683115799
0.001578,-5.617683095689711,0.001578,-1092.182841128085
0.001739,-5.432599342663405,0.001739,-1091.239783857829
0.001913,-5.258959353320433,0.001913,-1090.220579106123
0.001937,-5.095722680728576,0.001937,-1090.079999140371
0.002148,-4.941971280137887,0.002148,-1088.844066941463
0.002273,-4.79689202294449,0.002273,-1088.111879619836
0.002343,-4.659762124993289,0.002343,-1087.701854719724
0.002438,-4.529936937858424,0.002438,-1087.145392355287
0.002441,-4.40683966781589,0.002441,-1087.127819859568
0.002513,-4.289952676512382,0.002513,-1086.706079962311
0.002564,-4.178810086533547,0.002564,-1086.407347535087
0.002609,-4.072991469083862,0.002609,-1086.143760099301
0.00261,-3.972116433426258,0.00261,-1086.137902600728
0.002886,-3.875839971283348,0.002886,-1084.521232994574
0.002895,-3.783848436092788,0.002895,-1084.468515507417
0.002946,-3.695856058361611,0.002946,-1084.169783080193
0.002959,-3.6116019155393,0.002959,-1084.093635598744
0.002973,-3.530847288715294,0.002973,-1084.011630618721
0.003044,-3.453373349729058,0.003044,-1083.595748220037
0.003045,-3.378979131490885,0.003045,-1083.589890721464
0.003096,-3.307479741863944,0.003096,-1083.29115829424
0.00313,-3.238704787677591,0.00313,-1083.092003342757
0.003131,-3.172496980585047,0.003131,-1083.086145844184
0.003165,-3.108710900748272,0.003165,-1082.886990892702
0.003168,-3.047211897890898,0.003168,-1082.869418396983
0.003175,-2.987875112236079,0.003175,-1082.828415906971
0.003178,-2.930584600343606,0.003178,-1082.810843411252
0.003221,-2.87523255296392,0.003221,-1082.558970972612
0.003234,-2.821718593803547,0.003234,-1082.482823491163
0.003239,-2.769949149602259,0.003239,-1082.453535998298
0.003254,-2.671300182381095,0.003254,-1082.365673519703
0.003254,-2.671300182381095,0.003254,-1082.365673519703
0.003342,-2.624262698151411,0.003342,-1081.850213645277
0.003344,-2.578652927032846,0.003344,-1081.838498648131
0.003355,-2.534403832485023,0.003355,-1081.774066163828
0.003357,-2.491452501285232,0.003357,-1081.762351166682
0.003369,-2.449739831144226,0.003369,-1081.692061183805
0.003472,-2.409210246296493,0.003472,-1081.088738830784
0.003542,-2.369811438185273,0.003542,-1080.678713930673
0.003556,-2.331494128696487,0.003556,-1080.596708950651
0.003576,-2.294211853686666,0.003576,-1080.47955897919
0.003619,-2.257920764804066,0.003619,-1080.22768654055
0.003654,-2.222579447824479,0.003654,-1080.022674090495
0.003679,-2.188148755918111,0.003679,-1079.876236626169
0.003708,-2.154591656435139,0.003708,-1079.706369167551
0.003731,-2.089959840422909,0.003731,-1079.571646700372
0.003731,-2.089959840422909,0.003731,-1079.571646700372
0.003745,-2.058820415504667,0.003745,-1079.48964172035
0.003756,-2.02842493601404,0.003756,-1079.425209236046
0.003802,-1.998745033834614,0.003802,-1079.155764301687
0.003853,-1.969753757459059,0.003853,-1078.857031874463
0.003883,-1.941425484531554,0.003883,-1078.681306917273
