#Exponential - Cost J(iterations) convergence
#iterations, J(iterations)
1,1.916506516834635
2,1.892399903106856
3,1.868795392194221
4,1.845681943846742
5,1.823048765912126
6,1.800885308714028
7,1.779181259558081
8,1.757926537362808
9,1.737111287412555
10,1.716725876229686
11,1.696760886563316
12,1.677207112491934
13,1.658055554637322
14,1.639297415487244
15,1.620924094824414
16,1.602927185259352
17,1.585298467864734
18,1.568029907908947
19,1.551113650686585
20,1.534542017443679
21,1.518307501395511
22,1.502402763834897
23,1.486820630328887
24,1.471554087001872
25,1.456596276903128
26,1.441940496456868
27,1.427580191992949
28,1.413508956356371
29,1.399720525593796
30,1.386208775715323
31,1.37296771952981
32,1.359991503552076
33,1.347274404980336
34,1.334810828742284
35,1.322595304608256
36,1.310622484369936
37,1.298887139083144
38,1.287384156373214
39,1.276108537801561
40,1.265055396292039
41,1.254219953615723
42,1.243597537932799
43,1.233183581390251
44,1.222973617774086
45,1.212963280214844
46,1.203148298945199
47,1.193524499108445
48,1.18408779861673
49,1.174834206057888
50,1.165759818649783
51,1.156860820241066
52,1.148133479357301
53,1.139574147291424
54,1.131179256237532
55,1.122945317467005
56,1.114868919546012
57,1.106946726593453
58,1.099175476578413
59,1.091551979656243
60,1.084073116542373
61,1.076735836923016
62,1.069537157901907
63,1.062474162482275
64,1.055543998083231
65,1.048743875089801
66,1.042071065435833
67,1.035522901219034
68,1.029096773347404
69,1.022790130216355
70,1.016600476415815
71,1.010525371466639
72,1.004562428585659
73,0.9987093134787181
74,0.992963743161062
75,0.9873234848044561
76,0.9817863546104255
77,0.9763502167090266
78,0.9710129820825615
79,0.9657726075136813
80,0.9606270945573088
81,0.9555744885358527
82,0.9506128775571747
83,0.9457403915547993
84,0.9409552013498527
85,0.9362555177342482
86,0.9316395905746228
87,0.9271057079365639
88,0.9226521952286583
89,0.9182774143659179
90,0.9139797629521365
91,0.9097576734807536
92,0.9056096125538008
93,0.9015340801185193
94,0.8975296087212513
95,0.8935947627782092
96,0.8897281378627397
97,0.8859283600087098
98,0.8821940850296472
99,0.8785239978532762
100,0.8749168118711035
101,0.8713712683027062
102,0.8678861355743938
103,0.8644602087119128
104,0.86109230874688
105,0.8577812821366277
106,0.8545260001971605
107,0.8513253585489226
108,0.8481782765750886
109,0.8450836968920874
110,0.8420405848320902
111,0.839047927937181
112,0.8361047354649519
113,0.833210037905264
114,0.8303628865079108
115,0.8275623528209504
116,0.8248075282394544
117,0.82209752356444
118,0.8194314685717566
119,0.8168085115906958
120,0.8142278190921101
121,0.8116885752858195
122,0.8091899817270987
123,0.8067312569320362
124,0.8043116360015676
125,0.801930370253981
126,0.7995867268657069
127,0.7972799885202044
128,0.7950094530647566
129,0.792774433174999
130,0.790574256027004
131,0.7884082629767514
132,0.7862758092468153
133,0.784176263620107
134,0.7821090081405097
135,0.7800734378202533
136,0.7780689603538715
137,0.7760949958385974
138,0.7741509765010472
139,0.7722363464300516
140,0.7703505613154948
141,0.7684930881930261
142,0.7666634051945094
143,0.7648610013040819
144,0.7630853761196916
145,0.7613360396199986
146,0.7596125119365047
147,0.7579143231308051
148,0.7562410129768398
149,0.7545921307480343
150,0.7529672350092155
151,0.7513658934131991
152,0.7497876825019394
153,0.7482321875121383
154,0.7466990021852147
155,0.7451877285815354
156,0.7436979768988061
157,0.7422293652945359
158,0.7407815197124773
159,0.7393540737129548
160,0.7379466683069932
161,0.7365589517941563
162,0.7351905796040218
163,0.7338412141411959
164,0.7325105246338004
165,0.7311981869853474
166,0.7299038836299246
167,0.7286273033906188
168,0.7273681413411041
169,0.7261260986703209
170,0.7249008825501791
171,0.7236922060062143
172,0.7224997877911314
173,0.7213233522611719
174,0.7201626292552367
175,0.7190173539767081
176,0.7178872668779043
177,0.7167721135471119
178,0.7156716445981324
179,0.7145856155622936
180,0.7135137867828627
181,0.7124559233118092
182,0.7114117948088707
183,0.7103811754428584
184,0.7093638437951604
185,0.7083595827653905
186,0.707368179479134
187,0.7063894251977421
188,0.7054231152301308
189,0.7044690488465387
190,0.7035270291941972
191,0.7025968632148719
192,0.7016783615642354
193,0.7007713385330235
194,0.6998756119699419
195,0.6989910032062792
196,0.6981173369821888
197,0.6972544413746056
198,0.6964021477267526
199,0.6955602905792112
200,0.6947287076025132
201,0.6939072395312218
202,0.6930957300994715
203,0.6922940259779273
204,0.6915019767121393
205,0.6907194346622539
206,0.6899462549440565
207,0.6891822953713116
208,0.6884274163993763
209,0.6876814810700523
210,0.6869443549576518
211,0.6862159061162538
212,0.6854960050281141
213,0.6847845245532148
214,0.684081339879917
215,0.6833863284767013
216,0.6826993700449645
217,0.6820203464728521
218,0.6813491417901035
219,0.6806856421238852
220,0.680029735655593
221,0.6793813125785981
222,0.6787402650569165
223,0.6781064871847859
224,0.6774798749471201
225,0.6768603261808318
226,0.6762477405369955
227,0.6756420194438397
228,0.6750430660705409
229,0.6744507852918112
230,0.6738650836532527
231,0.6732858693374679
232,0.6727130521309063
233,0.6721465433914307
234,0.6715862560165895
235,0.6710321044125752
236,0.6704840044638571
237,0.6699418735034733
238,0.6694056302839626
239,0.6688751949489294
240,0.66835048900522
241,0.6678314352957034
242,0.6673179579726365
243,0.6668099824716059
244,0.6663074354860323
245,0.6658102449422225
246,0.6653183399749579
247,0.6648316509036113
248,0.6643501092087736
249,0.6638736475093844
250,0.6634021995403527
251,0.6629357001306576
252,0.6624740851819197
253,0.662017291647427
254,0.661565257511614
255,0.6611179217699772
256,0.6606752244094199
257,0.6602371063890151
258,0.6598035096211812
259,0.6593743769532535
260,0.658949652149456
261,0.6585292798732459
262,0.6581132056700436
263,0.6577013759503201
264,0.6572937379730488
265,0.6568902398295056
266,0.656490830427411
267,0.6560954594754086
268,0.6557040774678707
269,0.6553166356700242
270,0.6549330861033902
271,0.6545533815315305
272,0.6541774754460911
273,0.6538053220531432
274,0.6534368762598078
275,0.6530720936611597
276,0.6527109305274087
277,0.6523533437913464
278,0.6519992910360559
279,0.6516487304828789
280,0.6513016209796307
281,0.6509579219890645
282,0.6506175935775711
283,0.6502805964041175
284,0.6499468917094102
285,0.6496164413052885
286,0.6492892075643318
287,0.648965153409685
288,0.6486442423050924
289,0.6483264382451379
290,0.6480117057456849
291,0.6477000098345128
292,0.6473913160421477
293,0.6470855903928785
294,0.6467827993959565
295,0.6464829100369784
296,0.6461858897694427
297,0.6458917065064758
298,0.6456003286127326
299,0.6453117248964563
300,0.6450258646017009
301,0.6447427174007135
302,0.644462253386467
303,0.6441844430653462
304,0.6439092573499808
305,0.6436366675522232
306,0.6433666453762656
307,0.6430991629118979
308,0.6428341926278989
309,0.642571707365561
310,0.6423116803323419
311,0.6420540850956469
312,0.6417988955767309
313,0.6415460860447246
314,0.6412956311107781
315,0.6410475057223189
316,0.6408016851574273
317,0.6405581450193193
318,0.6403168612309392
319,0.6400778100296604
320,0.6398409679620873
321,0.6396063118789612
322,0.6393738189301651
323,0.639143466559826
324,0.6389152325015131
325,0.6386890947735275
