#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-0.0009341429917969075,5e-08,-0.5736058061039967
4.2e-05,-0.001869159422703536,4.2e-05,-0.5736689711531453
7.8e-05,-0.00280505092760861,7.8e-05,-0.5737231771547985
7.9e-05,-0.003741819145995388,7.9e-05,-0.5737246828770666
0.000273,-0.004679465721958902,0.000273,-0.5740167929970864
0.000278,-0.005617992304223261,0.000278,-0.5740243216084272
0.000281,-0.006557400546159052,0.000281,-0.5740288387752316
0.000282,-0.007497692105800813,0.000282,-0.5740303444974997
0.000283,-0.008438868645864595,0.000283,-0.5740318502197679
0.000285,-0.0093809318337656,0.000285,-0.5740348616643042
0.000289,-0.0103238833416359,0.000289,-0.5740408845533768
0.000329,-0.01126772484634227,0.000329,-0.5741011134441024
0.000379,-0.01221245802950403,0.000379,-0.5741763995575097
0.000441,-0.01315808457751109,0.000441,-0.5742697543381345
0.000448,-0.01410460618154193,0.000448,-0.5742802943940115
0.000457,-0.01505202453758184,0.000457,-0.5742938458944249
0.000458,-0.01600034134644108,0.000458,-0.574295351616693
0.000465,-0.01694955831377332,0.000465,-0.57430589167257
0.000467,-0.01789967715009365,0.000467,-0.5743089031171063
0.000469,-0.01885069957079769,0.000469,-0.5743119145616425
0.000474,-0.01980262729617975,0.000474,-0.5743194431729833
0.000476,-0.02075546205145163,0.000476,-0.5743224546175196
0.000486,-0.02170920556676133,0.000486,-0.574337511840201
0.00049,-0.02266385957721195,0.00049,-0.5743435347292736
0.000498,-0.02361942582288059,0.000498,-0.5743555805074188
0.000514,-0.02553330200516476,0.000514,-0.574379672063709
0.000514,-0.02553330200516476,0.000514,-0.574379672063709
0.000515,-0.02649161544697634,0.000515,-0.5743811777859772
0.000528,-0.02745084813443656,0.000528,-0.574400752175463
0.000538,-0.0284110018327799,0.000538,-0.5744158093981445
0.000549,-0.02937207831233043,0.000549,-0.5744323723430941
0.000564,-0.03033407934852138,0.000564,-0.5744549581771162
0.000569,-0.03129700672191482,0.000569,-0.5744624867884569
0.000585,-0.03226086221822144,0.000585,-0.5744865783447473
0.0005910000000000001,-0.03419136474827931,0.0005910000000000001,-0.5744956126783561
0.0005910000000000001,-0.03419136474827931,0.0005910000000000001,-0.5744956126783561
0.000605,-0.03515801537937432,0.000605,-0.5745166927901101
0.000625,-0.03612560132811021,0.000625,-0.5745468072354729
0.000627,-0.03709412440624071,0.000627,-0.5745498186800092
0.000635,-0.03806358643078882,0.000635,-0.5745618644581544
0.000661,-0.03903398922406729,0.000661,-0.5746010132371261
0.000669,-0.04000533461369913,0.000669,-0.5746130590152713
0.000677,-0.04097762443263832,0.000677,-0.5746251047934164
0.000678,-0.0419508605191905,0.000678,-0.5746266105156845
0.000687,-0.04292504471703389,0.000687,-0.5746401620160979
0.000961,-0.04487626484829563,0.000961,-0.5750527299175692
0.000961,-0.04487626484829563,0.000961,-0.5750527299175692
0.00098,-0.04585330449612224,0.00098,-0.5750813386406639
0.001078,-0.04683129968409897,0.001078,-0.575228899422942
0.001084,-0.04781025228308315,0.001084,-0.5752379337565509
0.001087,-0.04879016416943194,0.001087,-0.5752424509233552
0.001104,-0.04977103722502389,0.001104,-0.5752680482019137
0.001149,-0.05075287333728064,0.001149,-0.5753358057039802
0.001166,-0.05173567439918875,0.001166,-0.5753614029825387
0.001175,-0.05271944230932149,0.001175,-0.575374954482952
0.001219,-0.05370417897186099,0.001219,-0.5754412062627502
0.001431,-0.05468988629662021,0.001431,-0.5757604193835967
0.001491,-0.0556765661990653,0.001491,-0.5758507627196853
0.001578,-0.05666422060033782,0.001578,-0.5759817605570138
0.001714,-0.05765285142727726,0.001714,-0.5761865387854813
0.001739,-0.05864246061244353,0.001739,-0.5762241818421849
0.001887,-0.05963305009413971,0.001887,-0.5764470287378701
0.001913,-0.06062462181643474,0.001913,-0.5764861775168418
0.001937,-0.06161717772918637,0.001937,-0.5765223148512774
0.001954,-0.06261071978806414,0.001954,-0.5765479121298358
0.001985,-0.06360524995457252,0.001985,-0.5765945895201482
0.002148,-0.06460077019607414,0.002148,-0.5768400222498556
0.002273,-0.06559728248581312,0.002273,-0.5770282375333735
0.002325,-0.06659478880293854,0.002325,-0.577106535091317
0.002343,-0.06759329113252806,0.002343,-0.5771336380921436
0.002365,-0.06859279146561158,0.002365,-0.5771667639820428
0.002412,-0.06959329179919511,0.002412,-0.5772375329286455
0.002432,-0.07059479413628465,0.002432,-0.5772676473740084
0.002433,-0.07159730048591029,0.002433,-0.5772691530962765
0.002438,-0.07260081286315039,0.002438,-0.5772766817076173
0.002441,-0.07360533328915585,0.002441,-0.5772811988744216
0.002469,-0.07461086379117457,0.002469,-0.5773233590979296
0.002481,-0.07561740640257601,0.002481,-0.5773414277651474
0.002498,-0.07662496316287581,0.002498,-0.5773670250437059
0.002513,-0.07763353611776061,0.002513,-0.577389610877728
0.002564,-0.07864312731911299,0.002564,-0.5774664027134033
0.002609,-0.07965373882503649,0.002609,-0.5775341602154698
0.00261,-0.08066537269988078,0.00261,-0.577535665937738
0.002723,-0.081678031014267,0.002723,-0.5777058125540382
0.00275,-0.08269171584511316,0.00275,-0.577746467055278
0.002852,-0.0837064292756597,0.002852,-0.5779000507266286
0.002886,-0.08472217339549515,0.002886,-0.5779512452837455
0.002888,-0.08573895030058203,0.002888,-0.5779542567282818
0.002895,-0.08675676209328267,0.002895,-0.5779647967841588
0.002946,-0.08777561088238547,0.002946,-0.5780415886198341
0.002959,-0.08879549878313095,0.002959,-0.57806116300932
0.002973,-0.08981642791723818,0.002973,-0.578082243121074
0.002974,-0.09083840041293122,0.002974,-0.5780837488433422
0.00299,-0.09186141840496581,0.00299,-0.5781078403996325
0.002998,-0.09288548403465606,0.002998,-0.5781198861777777
0.003013,-0.09391059944990136,0.003013,-0.5781424720117998
0.003022,-0.09493676680521343,0.003022,-0.5781560235122131
0.003044,-0.09596398826174347,0.003044,-0.5781891494021122
0.003045,-0.09699226598730945,0.003045,-0.5781906551243804
0.003056,-0.09802160215642361,0.003056,-0.57820721806933
0.003096,-0.09905199895032002,0.003096,-0.5782674469600557
0.003119,-0.1000834585569823,0.003119,-0.578302078572223
0.003124,-0.1011159831711715,0.003124,-0.5783096071835637
0.00313,-0.1021495749944542,0.00313,-0.5783186415171726
0.003131,-0.1031842362352305,0.003131,-0.5783201472394407
0.003165,-0.1042199691087626,0.003165,-0.5783713417965576
0.003168,-0.1052567758372029,0.003168,-0.5783758589633621
0.003175,-0.1062946586496229,0.003175,-0.5783863990192391
0.003178,-0.107333619782042,0.003178,-0.5783909161860434
0.0032,-0.108373661477456,0.0032,-0.5784240420759427
0.003221,-0.1094147859858666,0.003221,-0.5784556622435737
0.003234,-0.1104569955643103,0.003234,-0.5784752366330596
0.003239,-0.1115002924768879,0.003239,-0.5784827652444002
0.003248,-0.1125446789947942,0.003248,-0.5784963167448135
0.003254,-0.1146367299670182,0.003254,-0.5785053510784224
0.003254,-0.1146367299670182,0.003254,-0.5785053510784224
0.003285,-0.1156843989994619,0.003285,-0.5785520284687349
0.003294,-0.1167331667935463,0.003294,-0.5785655799691481
0.003299,-0.1177830356563831,0.003299,-0.5785731085804888
0.003342,-0.1188340079023581,0.003342,-0.578637854638019
0.003344,-0.1198860858531619,0.003344,-0.5786408660825553
0.003355,-0.1209392718378206,0.003355,-0.5786574290275048
0.003357,-0.1219935681927266,0.003357,-0.5786604404720411
0.003369,-0.1230489772616702,0.003369,-0.5786785091392589
0.003373,-0.1241055013958701,0.003373,-0.5786845320283315
0.003404,-0.1251631429540057,0.003404,-0.5787312094186439
0.003412,-0.1272817878142909,0.003412,-0.578743255196789
0.003412,-0.1272817878142909,0.003412,-0.578743255196789
0.003415,-0.1283427958713854,0.003415,-0.5787477723635935
0.003472,-0.1294049308623688,0.003472,-0.5788335985328776
0.003482,-0.1304681951836988,0.003482,-0.5788486557555591
0.003503,-0.1315325912394855,0.003503,-0.5788802759231901
0.003542,-0.1325981214415237,0.003542,-0.5789389990916477
0.003556,-0.1336647882093262,0.003556,-0.5789600792034018
0.003576,-0.1347325939701563,0.003576,-0.5789901936487646
0.003589,-0.1358015411590614,0.003589,-0.5790097680382504
0.003619,-0.1368716322189057,0.003619,-0.5790549397062947
0.00364,-0.1379428696004046,0.00364,-0.5790865598739258
0.003654,-0.1390152557621572,0.003654,-0.5791076399856798
0.003679,-0.1400887931706813,0.003679,-0.5791452830423834
0.003685,-0.1411634843004467,0.003685,-0.5791543173759922
0.003689,-0.1422393316339098,0.003689,-0.5791603402650648
0.003708,-0.1433163376615478,0.003708,-0.5791889489881595
0.003718,-0.1443945048818932,0.003718,-0.579204006210841
0.003731,-0.1465543329353231,0.003731,-0.5792235806003269
0.003731,-0.1465543329353231,0.003731,-0.5792235806003269
0.003745,-0.1476359988060642,0.003745,-0.5792446607120809
0.003756,-0.1487188359448962,0.003756,-0.5792612236570305
0.003802,-0.1498028468911545,0.003802,-0.579330486881365
0.003823,-0.1508880341924415,0.003823,-0.579362107048996
0.003829,-0.1519744004046623,0.003829,-0.5793711413826049
0.003847,-0.1530619480920613,0.003847,-0.5793982443834315
0.003848,-0.1541506798272578,0.003848,-0.5793997501056997
0.003849,-0.1552405981912834,0.003849,-0.5794012558279678
0.003853,-0.156331705773618,0.003853,-0.5794072787170403
0.003883,-0.157424005172227,0.003883,-0.5794524503850846
0.003887,-0.1585174989935983,0.003887,-0.5794584732741572
0.003897,-0.1596121898527798,0.003897,-0.5794735304968387
0.003906,-0.1607080803734169,0.003906,-0.579487081997252
0.003914,-0.1618051731877899,0.003914,-0.5794991277753971
0.003915,-0.1629034709368525,0.003915,-0.5795006334976652
0.003916,-0.1640029762702694,0.003916,-0.5795021392199334
0.003918,-0.165103691846455,0.003918,-0.5795051506644697
0.003923,-0.1662056203326117,0.003923,-0.5795126792758104
0.003931,-0.1673087644047689,0.003931,-0.5795247250539556
0.003935,-0.1684131267478221,0.003935,-0.5795307479430282
0.003936,-0.1695187100555718,0.003936,-0.5795322536652963
0.003947,-0.1706255170307628,0.003947,-0.5795488166102458
0.003955,-0.1717335503851246,0.003955,-0.579560862388391
0.003959,-0.1728428128394103,0.003959,-0.5795668852774636
0.003966,-0.1739533071234375,0.003966,-0.5795774253333406
0.003969,-0.1750650359761279,0.003969,-0.5795819425001451
0.003976,-0.1761780021455486,0.003976,-0.579592482556022
0.003982,-0.1772922083889521,0.003982,-0.5796015168896309
0.003987,-0.1784076574728177,0.003987,-0.5796090455009716
0.003999,-0.1795243521728928,0.003999,-0.5796271141681894
0.00404,-0.1806422952742341,0.00404,-0.5796888487811832
0.004055,-0.1817614895712492,0.004055,-0.5797114346152054
0.004068,-0.1828819378677388,0.004068,-0.5797310090046912
0.00407,-0.1840036429769389,0.00407,-0.5797340204492275
0.004071,-0.1851266077215627,0.004071,-0.5797355261714957
0.004095,-0.1862508349338436,0.004095,-0.5797716635059311
0.004102,-0.1873763274555781,0.004102,-0.5797822035618081
0.004122,-0.1885030881381687,0.004122,-0.579812318007171
0.004131,-0.1896311198426672,0.004131,-0.5798258695075843
0.004136,-0.1907604254398186,0.004136,-0.579833398118925
0.004152,-0.1918910078101047,0.004152,-0.5798574896752153
0.004158,-0.1930228698437881,0.004158,-0.5798665240088242
0.004165,-0.1941560144409568,0.004165,-0.5798770640647012
0.004173,-0.1952904445115686,0.004173,-0.5798891098428464
0.004178,-0.196426162975496,0.004178,-0.579896638454187
0.004185,-0.1975631727625711,0.004185,-0.579907178510064
0.004194,-0.1987014768126315,0.004194,-0.5799207300104773
0.004195,-0.1998410780755651,0.004195,-0.5799222357327455
0.004196,-0.2009819795113567,0.004196,-0.5799237414550136
0.004199,-0.2021241840901337,0.004199,-0.5799282586218181
0.004224,-0.2032676947922127,0.004224,-0.5799659016785217
0.004225,-0.2044125146081459,0.004225,-0.5799674074007898
0.004239,-0.2055586465387685,0.004239,-0.5799884875125438
0.00424,-0.2067060935952453,0.00424,-0.5799899932348119
0.004245,-0.2078548587991187,0.004245,-0.5799975218461526
0.004272,-0.209004945182356,0.004272,-0.5800381763473925
0.004276,-0.2101563557873979,0.004276,-0.5800441992364651
0.004297,-0.2113090936672062,0.004297,-0.5800758194040961
0.00433,-0.2124631618853129,0.00433,-0.5801255082389448
0.004338,-0.2136185635158687,0.004338,-0.58013755401709
0.004339,-0.2147753016436924,0.004339,-0.5801390597393582
0.004352,-0.2159333793643201,0.004352,-0.5801586341288441
0.004359,-0.2170927997840549,0.004359,-0.580169174184721
0.00436,-0.2182535660200172,0.00436,-0.5801706799069891
0.004387,-0.2194156812001946,0.004387,-0.580211334408229
0.004407,-0.2205791484634927,0.004407,-0.5802414488535919
0.004408,-0.2217439709597857,0.004408,-0.5802429545758601
0.004423,-0.2229101518499682,0.004423,-0.5802655404098822
0.004425,-0.2240776943060059,0.004425,-0.5802685518544185
0.004433,-0.2252466015109878,0.004433,-0.5802805976325637
0.00444,-0.2264168766591781,0.00444,-0.5802911376884407
0.004484,-0.2287615436184323,0.004484,-0.580357389468239
0.004484,-0.2287615436184323,0.004484,-0.580357389468239
0.00449,-0.2299359418743739,0.00449,-0.5803664238018478
0.004557,-0.2311117209633858,0.004557,-0.5804673071938135
0.004574,-0.2322888841364007,0.004574,-0.5804929044723719
0.004575,-0.2334674346558449,0.004575,-0.58049441019464
0.004585,-0.2346473757956936,0.004585,-0.5805094674173215
0.004592,-0.2358287108415247,0.004592,-0.5805200074731984
0.004595,-0.2370114430905741,0.004595,-0.5805245246400029
0.004607,-0.2381955758517909,0.004607,-0.5805425933072206
0.004633,-0.2405680562054212,0.004633,-0.5805817420861924
0.004633,-0.2405680562054212,0.004633,-0.5805817420861924
0.00467,-0.2417564104747999,0.00467,-0.5806374538101137
0.004672,-0.2429461786103886,0.004672,-0.58064046525465
0.004675,-0.2441373639805418,0.004675,-0.5806449824214543
0.004679,-0.2465239999582726,0.004679,-0.5806510053105269
0.004679,-0.2465239999582726,0.004679,-0.5806510053105269
0.00468,-0.2477194573630463,0.00468,-0.5806525110327951
0.004681,-0.2489163455968924,0.004681,-0.5806540167550632
0.004708,-0.2501146680890011,0.004708,-0.5806946712563031
0.004724,-0.2513144282809052,0.004724,-0.5807187628125934
0.004727,-0.2525156296265393,0.004727,-0.5807232799793979
0.004736,-0.2549223696571043,0.004736,-0.5807368314798111
0.004736,-0.2549223696571043,0.004736,-0.5807368314798111
0.004738,-0.2561279153124529,0.004738,-0.5807398429243474
0.004743,-0.2573349160624882,0.004743,-0.5807473715356881
0.004744,-0.2585433754240565,0.004744,-0.5807488772579563
0.004758,-0.2597532969267698,0.004758,-0.5807699573697103
0.004763,-0.2609646841130669,0.004763,-0.5807774859810511
0.004784,-0.2621775405382761,0.004784,-0.580809106148682
0.004792,-0.263391869770678,0.004792,-0.5808211519268272
0.004817,-0.2646076753915679,0.004817,-0.5808587949835308
