#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1e-08,1.505722257988396e-08
1.020960662306048e-08,1.537283189634309e-08
1.042360673976401e-08,1.569505669873905e-08
1.064209244064725e-08,1.602403543188302e-08
1.086515774652537e-08,1.635990987125524e-08
1.109289864895223e-08,1.670282434584891e-08
1.132541315152813e-08,1.705292662634861e-08
1.156280131207375e-08,1.741036725899647e-08
1.180516528568806e-08,1.777530012070372e-08
1.205260936870841e-08,1.814788219700603e-08
1.230524004359262e-08,1.852827380410815e-08
1.256316602474122e-08,1.891663869990623e-08
1.28264983052806e-08,1.931314397296546e-08
1.309535020482668e-08,1.971796026456474e-08
1.336983741824945e-08,2.013126176869662e-08
1.365007806546014e-08,2.055322634308965e-08
1.393619274224144e-08,2.098403550920835e-08
1.422830457214352e-08,2.142387478532015e-08
1.452653925946781e-08,2.187293335342844e-08
1.483102514336103e-08,2.23314046143841e-08
1.514189325304352e-08,2.279948563277401e-08
1.545927736419478e-08,2.327737791407714e-08
1.578331405652117e-08,2.376528718261994e-08
1.61141427725302e-08,2.426342327055409e-08
1.645190587753661e-08,2.477200067296792e-08
1.679674872092653e-08,2.52912382148196e-08
1.714881969870541e-08,2.582135938400398e-08
1.750827031735723e-08,2.636259210930803e-08
1.787525525904235e-08,2.69151695375669e-08
1.824993244816151e-08,2.747932925650787e-08
1.86324631193156e-08,2.805531418292873e-08
1.902301188668946e-08,2.864337222963087e-08
1.942174681489025e-08,2.924375619439701e-08
1.982883949127072e-08,2.985672475919188e-08
2.024446509976802e-08,3.048254149096152e-08
2.066880249629082e-08,3.112147572981172e-08
2.110203428568597e-08,3.177380236696337e-08
2.154434690031882e-08,3.243980239986399e-08
2.199593068030075e-08,3.311976204400935e-08
2.245697995539776e-08,3.381397417623333e-08
2.292769312865649e-08,3.452273755755186e-08
2.340827276178294e-08,3.524635694418521e-08
2.389892566231048e-08,3.598514386471408e-08
2.43998629725955e-08,3.673941639803502e-08
2.491130026067791e-08,3.750949884029353e-08
2.543345761304648e-08,3.829572270408477e-08
2.596655972934873e-08,3.909842649640893e-08
2.651083601908536e-08,3.991795538560439e-08
2.706652070033241e-08,4.075466208952605e-08
2.763385290053173e-08,4.160890676452311e-08
2.821307675939471e-08,4.248105700543903e-08
2.880444153396298e-08,4.337148806765612e-08
2.940820170587061e-08,4.428058320016248e-08
3.002461709085549e-08,4.52087335345297e-08
3.06539529505653e-08,4.615633852900203e-08
3.12964801067075e-08,4.712380585747411e-08
3.195247505759214e-08,4.811155207562479e-08
3.262222009711667e-08,4.912000206580558e-08
3.330600343624589e-08,5.014958981419682e-08
