#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1e-08,3.448960372853804e-08
1.020960662306048e-08,3.521252867066949e-08
1.042360673976401e-08,3.595060649175252e-08
1.064209244064725e-08,3.670415504863911e-08
1.086515774652537e-08,3.747349841543013e-08
1.109289864895223e-08,3.825896777165383e-08
1.132541315152813e-08,3.906090106919891e-08
1.156280131207375e-08,3.987964336538141e-08
1.180516528568806e-08,4.071554704498936e-08
1.205260936870841e-08,4.156897193130504e-08
1.230524004359262e-08,4.244028506406039e-08
1.256316602474122e-08,4.332986158761543e-08
1.28264983052806e-08,4.423808408482444e-08
1.309535020482668e-08,4.5165343687259e-08
1.336983741824945e-08,4.611203918702955e-08
1.365007806546014e-08,4.707857803598614e-08
1.393619274224144e-08,4.806537612367379e-08
1.422830457214352e-08,4.907285822142171e-08
1.452653925946781e-08,5.010145787132103e-08
1.483102514336103e-08,5.115161749724706e-08
1.514189325304352e-08,5.222378929303773e-08
1.545927736419478e-08,5.331843444533746e-08
1.578331405652117e-08,5.443602413279791e-08
1.61141427725302e-08,5.557703919301105e-08
1.645190587753661e-08,5.674197078864296e-08
1.679674872092653e-08,5.793131996334466e-08
1.714881969870541e-08,5.914559875197511e-08
1.750827031735723e-08,6.038532973651201e-08
1.787525525904235e-08,6.165104615707406e-08
1.824993244816151e-08,6.294329291112177e-08
1.86324631193156e-08,6.426262588732357e-08
1.902301188668946e-08,6.560961307577884e-08
1.942174681489025e-08,6.698483401290645e-08
1.982883949127072e-08,6.838888044757852e-08
2.024446509976802e-08,6.982235656316504e-08
2.066880249629082e-08,7.128587942162312e-08
2.110203428568597e-08,7.278007851940771e-08
2.154434690031882e-08,7.430559711973928e-08
2.199593068030075e-08,7.586309158646998e-08
2.245697995539776e-08,7.745323227226208e-08
2.292769312865649e-08,7.907670318552107e-08
2.340827276178294e-08,8.073420321164093e-08
2.389892566231048e-08,8.242644555789269e-08
2.43998629725955e-08,8.41541583085359e-08
2.491130026067791e-08,8.591808509095245e-08
2.543345761304648e-08,8.771898507564657e-08
2.596655972934873e-08,8.955763297624486e-08
2.651083601908536e-08,9.143482015971927e-08
2.706652070033241e-08,9.335135453536481e-08
2.763385290053173e-08,9.530806066582187e-08
2.821307675939471e-08,9.730578054423233e-08
2.880444153396298e-08,9.934537414935107e-08
2.940820170587061e-08,1.014277187794121e-07
3.002461709085549e-08,1.035537108284856e-07
3.06539529505653e-08,1.057242651203438e-07
3.12964801067075e-08,1.079403156856173e-07
3.195247505759214e-08,1.102028159838397e-07
3.262222009711667e-08,1.125127399026482e-07
3.330600343624589e-08,1.148710813136944e-07
3.40041193270371e-08,1.172788550718451e-07
3.471686818926559e-08,1.197370974592715e-07
