#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
1,1.914983330791582
2,1.895460637138051
3,1.880412123635449
4,1.868390899473138
5,1.858421557124758
6,1.849846513463151
7,1.842222429243551
8,1.83525038610849
9,1.828728819331578
10,1.822521790065674
11,1.816537597857136
12,1.810714363470187
13,1.805010310354706
14,1.799397213440828
15,1.793855983009166
16,1.788373687802479
17,1.7829415483212
18,1.777553584113982
19,1.772205701922298
20,1.766895081002083
21,1.761619758770599
22,1.756378351491337
23,1.75116986598724
24,1.745993572715567
25,1.740848920206292
26,1.735735477383405
27,1.730652894681932
28,1.725600877835036
29,1.720579170201973
30,1.715587540853368
31,1.710625776537516
32,1.705693676262833
33,1.700791047643882
34,1.695917704436202
35,1.691073464872528
36,1.686258150539233
37,1.681471585616939
38,1.676713596366628
39,1.671984010781251
40,1.667282658348917
41,1.662609369891297
42,1.657963977452757
43,1.653346314223686
44,1.648756214486892
45,1.644193513579556
46,1.639658047865696
47,1.635149654715705
48,1.630668172490696
49,1.626213440530073
50,1.621785299141309
51,1.617383589591206
52,1.613008154098179
53,1.608658835825227
54,1.604335478873393
55,1.600037928275552
56,1.595766029990437
57,1.591519630896835
58,1.58729857878791
59,1.583102722365618
60,1.578931911235195
61,1.574785995899712
62,1.570664827754672
63,1.566568259082663
64,1.562496143048041
65,1.558448333691657
66,1.554424685925615
67,1.550425055528071
68,1.546449299138052
69,1.542497274250322
70,1.538568839210268
71,1.534663853208826
72,1.530782176277428
73,1.526923669282988
74,1.523088193922912
75,1.519275612720145
76,1.515485789018236
77,1.511718586976449
78,1.507973871564885
79,1.504251508559646
80,1.500551364538025
81,1.496873306873722
82,1.49321720373209
83,1.489582924065411
84,1.485970337608196
85,1.48237931487252
86,1.478809727143378
87,1.475261446474069
88,1.471734345681615
89,1.468228298342201
90,1.464743178786641
91,1.461278862095874
92,1.457835224096489
93,1.454412141356274
94,1.451009491179788
95,1.447627151603966
96,1.444265001393749
97,1.440922920037734
98,1.437600787743859
99,1.434298485435108
100,1.431015894745237
101,1.427752898014542
102,1.424509378285634
103,1.421285219299249
104,1.41808030549008
105,1.414894521982637
106,1.411727754587127
107,1.408579889795361
108,1.405450814776689
109,1.40234041737395
110,1.399248586099459
111,1.396175210131002
112,1.393120179307874
113,1.390083384126922
114,1.387064715738622
