#Pareto - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-16.81124283151826,-0.001870907935811731,-16.81124283151826,4.672810735614306
-8.206038762779315,-0.003745322730162053,-8.206038762779315,0.9928446887142193
-8.177155888630528,-0.00562325755436212,-8.177155888630528,0.9804930936381018
-8.170063660321036,-0.007504725654067693,-8.170063660321036,0.9774601429762333
-7.877974352881847,-0.009389740349839032,-7.877974352881847,0.8525498299316414
-7.726465682517428,-0.01127831503770719,-7.726465682517428,0.7877580181049471
-7.710717325549289,-0.01317046318974512,-7.710717325549289,0.7810233237880801
-7.690827167070069,-0.01506619835464418,-7.690827167070069,0.7725174118670726
-7.673473152376918,-0.01696553415829667,-7.673473152376918,0.7650960672553624
-7.669181300295377,-0.01886848430438281,-7.669181300295377,0.7632606813874361
-7.650092703732854,-0.02077506257496441,-7.650092703732854,0.7550975528117587
-7.621105166859602,-0.0226852828310837,-7.621105166859602,0.7427011993232506
-7.480456306466215,-0.02459915901336778,-7.480456306466215,0.6825535227953772
-7.471630123837944,-0.02651670514263961,-7.471630123837944,0.6787790565379441
-7.443898710732418,-0.02843793532053351,-7.443898710732418,0.6669198771569897
-7.433694540558176,-0.03036286373011794,-7.433694540558176,0.662556122447858
-7.410282099933433,-0.03229150463652354,-7.410282099933433,0.6525439268176449
-7.377758908227873,-0.03422387238757738,-7.377758908227873,0.6386355708673106
-7.296363270023878,-0.03615998141444379,-7.296363270023878,0.603827194149714
-7.283176265741925,-0.0380998462322704,-7.283176265741925,0.5981878475833486
-6.947536148993982,-0.04199090172523706,-6.947536148993982,0.4546532813204691
-6.947536148993982,-0.04199090172523706,-6.947536148993982,0.4546532813204691
-6.832647806495332,-0.04394212185649884,-6.832647806495332,0.4055219421677396
-6.827097375964683,-0.0458971566923021,-6.827097375964683,0.4031483324618796
-6.824333670843065,-0.0478560211776351,-6.824333670843065,0.4019664498557316
-6.768863280115518,-0.04981873034548383,-6.768863280115518,0.378244856171833
-6.754176191053836,-0.05178529931752471,-6.754176191053836,0.3719640069737142
-6.746487131386015,-0.05375574330482346,-6.746487131386015,0.3686758248127635
-6.709724428483002,-0.05573007760854098,-6.709724428483002,0.3529544662726645
-6.451597056558454,-0.05770831762064673,-6.451597056558454,0.2425677796967247
-6.354445043609991,-0.05969047882463796,-6.354445043609991,0.20102127990631
-6.259082588524021,-0.0616765767962674,-6.259082588524021,0.1602400742472518
-6.246614894557278,-0.06366662720427743,-6.246614894557278,0.1549083366017228
-6.143218102335519,-0.06566064581114185,-6.143218102335519,0.1106912928576089
-6.086654734111731,-0.06765864847381481,-6.086654734111731,0.08650229363119655
-6.056323119456478,-0.06966065114448791,-6.056323119456478,0.07353115300659718
-6.016577247923057,-0.07166666987135369,-6.016577247923057,0.05653405955255719
-6.015347487571314,-0.07367672079937779,-6.015347487571314,0.05600815960828065
-5.986278020420682,-0.07569082017107905,-5.986278020420682,0.04357676910768538
-5.966186739923714,-0.07770898432731625,-5.966186739923714,0.03498484851207984
-5.948788272827546,-0.07973122970808408,-5.948788272827546,0.02754449408578541
-5.948405057647535,-0.0817575728533165,-5.948405057647535,0.02738061431723704
