#Weibull - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-16.81124283151826,-6.281331438773772,-16.81124283151826,-7.444396442197316
-8.206038762779315,-5.587247489447664,-8.206038762779315,-3.019135618848384
-8.177155888630528,-5.180844146993106,-8.177155888630528,-3.004282484580405
-8.170063660321036,-4.892222369652448,-8.170063660321036,-3.000635277630106
-7.877974352881847,-4.668137637918614,-7.877974352881847,-2.85042717578794
-7.726465682517428,-4.484873420159731,-7.726465682517428,-2.77251323231773
-7.710717325549289,-4.32977859378123,-7.710717325549289,-2.76441457636878
-7.690827167070069,-4.195301563951497,-7.690827167070069,-2.754185982324387
-7.673473152376918,-4.076571395341428,-7.673473152376918,-2.7452616104285
-7.669181300295377,-3.970262245859923,-7.669181300295377,-2.74305450822333
-7.650092703732854,-3.87400192621318,-7.650092703732854,-2.733238120620424
-7.621105166859602,-3.78603889818622,-7.621105166859602,-2.718331163125181
-7.480456306466215,-3.705043023076654,-7.480456306466215,-2.646001920637066
-7.471630123837944,-3.629980361856582,-7.471630123837944,-2.641463020700166
-7.443898710732418,-3.560031274413329,-7.443898710732418,-2.627202029907652
-7.433694540558176,-3.494535005141643,-7.433694540558176,-2.621954494329629
-7.410282099933433,-3.432951097696983,-7.410282099933433,-2.609914552516739
-7.377758908227873,-3.374831855389766,-7.377758908227873,-2.593189370295003
-7.296363270023878,-3.319802257439383,-7.296363270023878,-2.551331335777943
-7.283176265741925,-3.267545032756041,-7.283176265741925,-2.544549865755837
-6.947536148993982,-3.170302309755074,-6.947536148993982,-2.37194558495967
-6.947536148993982,-3.170302309755074,-6.947536148993982,-2.37194558495967
-6.832647806495332,-3.124881923330443,-6.832647806495332,-2.312863792470201
-6.827097375964683,-3.081352109535831,-6.827097375964683,-2.310009461232522
-6.824333670843065,-3.039558334566327,-6.824333670843065,-2.308588214751406
-6.768863280115518,-2.999364254308579,-6.768863280115518,-2.280062343083328
-6.754176191053836,-2.96064896695366,-6.754176191053836,-2.272509448426267
-6.746487131386015,-2.92330476549989,-6.746487131386015,-2.268555318548044
-6.709724428483002,-2.887235284820628,-6.709724428483002,-2.249649950631423
-6.451597056558454,-2.852353962986283,-6.451597056558454,-2.116906910804929
-6.354445043609991,-2.81858275497686,-6.354445043609991,-2.066946097165175
